TYPE	VALUE	ERROR
AVE	0.456646	0
AVE	0.502985	0.032766
AVE	0.476028	0.0310096
AVE	0.496012	0.0289899
AVE	0.495708	0.0231935
AVE	0.492962	0.0194899
AVE	0.495493	0.0168691
AVE	0.494858	0.0147724
AVE	0.501828	0.0146837
AVE	0.506394	0.0139072
AVE	0.50445	0.0127781
AVE	0.50699	0.0119629
AVE	0.506744	0.0110452
AVE	0.507175	0.0102647
AVE	0.505479	0.00971949
AVE	0.508615	0.00960456
AVE	0.50896	0.00904577
AVE	0.507601	0.00864469
AVE	0.507688	0.00819014
AVE	0.505419	0.00808886
AVE	0.504399	0.00776767
AVE	0.503605	0.00745508
AVE	0.502794	0.00717489
AVE	0.503193	0.00688698
AVE	0.504293	0.00669878
AVE	0.504593	0.00644787
AVE	0.505569	0.00628246
AVE	0.505949	0.00606955
AVE	0.506554	0.00589031
AVE	0.506531	0.00569401
AVE	0.505764	0.00556165
AVE	0.504886	0.00545676
AVE	0.506219	0.0054517
AVE	0.504607	0.00552455
AVE	0.504065	0.00539325
AVE	0.503789	0.00525045
AVE	0.504829	0.00521037
AVE	0.504561	0.00508011
AVE	0.504497	0.00495025
AVE	0.50366	0.00489685
AVE	0.503773	0.00477873
AVE	0.503827	0.00466526
AVE	0.503878	0.00455704
AVE	0.503199	0.00450371
AVE	0.50301	0.00440761
AVE	0.502786	0.00431746
AVE	0.502452	0.00423851
AVE	0.502301	0.0041529
AVE	0.502522	0.00407404
AVE	0.502191	0.004006
AVE	0.502344	0.00393039
AVE	0.501825	0.00388898
AVE	0.502225	0.00383613
AVE	0.501589	0.00381753
AVE	0.501251	0.00376299
AVE	0.50102	0.00370287
AVE	0.501545	0.00367495
AVE	0.501032	0.00364723
AVE	0.500675	0.00360289
AVE	0.500854	0.00354732
AVE	0.499879	0.00362088
AVE	0.500704	0.00365529
AVE	0.500697	0.00359727
AVE	0.500935	0.00354893
AVE	0.501261	0.00350929
AVE	0.50124	0.00345618
AVE	0.502142	0.00352012
AVE	0.501995	0.00347139
AVE	0.502403	0.0034449
AVE	0.503536	0.00357731
AVE	0.503753	0.00353351
AVE	0.503759	0.00348444
AVE	0.50398	0.00344372
AVE	0.50309	0.00351021
AVE	0.503112	0.00346347
AVE	0.50356	0.00344675
AVE	0.503015	0.00344481
AVE	0.50354	0.00344035
AVE	0.503935	0.00341937
AVE	0.504052	0.00337866
AVE	0.504752	0.00340871
AVE	0.505084	0.00338326
AVE	0.504825	0.00335244
AVE	0.504764	0.00331309
AVE	0.504186	0.00332408
AVE	0.504168	0.00328548
AVE	0.504057	0.00324959
AVE	0.503582	0.00324717
AVE	0.503382	0.00321682
AVE	0.503583	0.00318735
AVE	0.502754	0.00325842
AVE	0.502306	0.00325371
AVE	0.502027	0.00323066
AVE	0.502016	0.00319631
AVE	0.501609	0.00318848
AVE	0.501519	0.00315654
AVE	0.501633	0.00312605
AVE	0.501401	0.00310276
AVE	0.501149	0.00308161
AVE	0.501214	0.00305148
VAR	0.0890399	0
VAR	0.0936191	0.00323795
VAR	0.0876198	0.00535295
VAR	0.0889464	0.00417587
VAR	0.0867139	0.00389199
VAR	0.0852591	0.0035047
VAR	0.0840464	0.00320698
VAR	0.0847467	0.00288158
VAR	0.0836774	0.00275268
VAR	0.0834513	0.00248668
VAR	0.0846859	0.00254878
VAR	0.0848619	0.00234245
VAR	0.085203	0.00218695
VAR	0.0846059	0.00211068
VAR	0.0845063	0.00197231
VAR	0.0850369	0.00191908
VAR	0.0842032	0.00197902
VAR	0.0845239	0.00189489
VAR	0.0843695	0.00180144
VAR	0.0850092	0.00182139
VAR	0.0848088	0.00174564
VAR	0.0846183	0.00167666
VAR	0.0845317	0.001606
VAR	0.0845532	0.00153922
VAR	0.0846485	0.0014806
VAR	0.0842996	0.00146418
VAR	0.0845109	0.00142512
VAR	0.0843018	0.00138949
VAR	0.08408	0.00135916
VAR	0.0842106	0.00132011
VAR	0.0842668	0.00127872
VAR	0.084554	0.00127061
VAR	0.0846628	0.00123676
VAR	0.0849451	0.00123219
VAR	0.0846711	0.00122708
VAR	0.0846966	0.00119326
VAR	0.0845736	0.00116733
VAR	0.0845633	0.00113666
VAR	0.0844152	0.00111712
VAR	0.0845043	0.00109273
VAR	0.0842218	0.00110199
VAR	0.0841498	0.0010781
VAR	0.0839102	0.00107934
VAR	0.0840134	0.00105973
VAR	0.0839672	0.00103718
VAR	0.0840125	0.00101563
VAR	0.0840238	0.00099408
VAR	0.0840943	0.00097586
VAR	0.0842817	0.000973775
VAR	0.0843446	0.000956328
VAR	0.0843382	0.000937598
VAR	0.0843677	0.000920032
VAR	0.0843662	0.000902675
VAR	0.0845159	0.000898283
VAR	0.0844388	0.000885252
VAR	0.0845669	0.000878664
VAR	0.0847403	0.000880188
VAR	0.0845299	0.000889796
VAR	0.0844288	0.000880445
VAR	0.0846083	0.000883891
VAR	0.0845961	0.000869486
VAR	0.08464	0.000856569
VAR	0.0846889	0.00084437
VAR	0.0843653	0.000891048
VAR	0.0844116	0.000878547
VAR	0.0844199	0.000865274
VAR	0.0847117	0.00090024
VAR	0.0847493	0.000887785
VAR	0.08473	0.000875129
VAR	0.0846445	0.000866789
VAR	0.0845463	0.000860132
VAR	0.0845911	0.000849355
VAR	0.0845472	0.000838855
VAR	0.0845119	0.000828262
VAR	0.0843866	0.000826631
VAR	0.0843506	0.000816538
VAR	0.0841446	0.000831518
VAR	0.0840398	0.000827441
VAR	0.0841207	0.000820917
VAR	0.084177	0.000812586
VAR	0.0841929	0.000802708
VAR	0.0841294	0.000795425
VAR	0.0841484	0.000786067
VAR	0.0841147	0.000777429
VAR	0.0839629	0.000782962
VAR	0.083994	0.000774475
VAR	0.0838782	0.000774185
VAR	0.0837091	0.000783636
VAR	0.0834739	0.00080934
VAR	0.0834476	0.000800777
VAR	0.0833944	0.000793737
VAR	0.0833649	0.000785658
VAR	0.0833519	0.000777319
VAR	0.0833589	0.000769081
VAR	0.0833117	0.000762427
VAR	0.0831659	0.000768315
VAR	0.0830796	0.000765226
VAR	0.0830292	0.000759076
VAR	0.0830135	0.000751571
VAR	0.0832638	0.000784639
