j	chi_j
0	81.8
1	77.44
2	95.34
3	91.43
4	91.45
5	102.66
6	81.55
7	115.28
8	116.37
9	82.17
10	96.02
11	96.26
12	95.67
13	84.16
14	108.27
15	113.54
16	93.29
17	117.19
18	128.15
19	93.41
20	98.68
21	73.63
22	78.66
23	75.95
24	100.85
25	96.22
26	95.45
27	82.21
28	87.27
29	110.97
30	78.09
31	74.35
32	96.44
33	85.92
34	116.64
35	103.63
36	119.2
37	115.65
38	77.96
39	79.32
40	103.15
41	100.44
42	97.42
43	87.06
44	93.77
45	94.79
46	107.03
47	116.54
48	81.13
49	108.12
50	104.44
51	77.83
52	120.71
53	69.1
54	109.91
55	129.53
56	106.54
57	112.32
58	96.01
59	109.7
60	130.63
61	111.37
62	113.04
63	81.68
64	95.54
65	89.46
66	76.72
67	89.25
68	99.08
69	125.98
70	112.93
71	87.66
72	91.21
73	98.32
74	98.87
75	93.78
76	96.91
77	65.98
78	89.89
79	99.21
80	93.22
81	88.99
82	105.57
83	104.32
84	111.59
85	114.03
86	57.75
87	97.81
88	131.18
89	107.93
90	89.61
91	108.35
92	112.4
93	86.98
94	115.71
95	106.16
96	93.48
97	127.85
98	102.38
99	66.09
