N	real_index	SN
1	0	0.879663
1	1	0.229586
1	2	0.533577
1	3	1.77341
1	4	-1.7114
1	5	0.145072
1	6	-4.85625
1	7	-1.4392
1	8	-0.0656342
1	9	-1.06981
1	10	0.384379
1	11	-1.82907
1	12	0.00583648
1	13	-0.435163
1	14	0.627503
1	15	0.635223
1	16	-5.97772
1	17	10.6744
1	18	3.8374
1	19	-17.7219
1	20	0.793048
1	21	-0.328321
1	22	0.12043
1	23	-54.08
1	24	-2.66526
1	25	-2.11688
1	26	-1.0676
1	27	0.467162
1	28	0.612506
1	29	-0.604799
1	30	-0.200915
1	31	0.0833308
1	32	0.734577
1	33	4.94903
1	34	2.57099
1	35	-28.5513
1	36	0.930884
1	37	2.06919
1	38	0.283398
1	39	5.74641
1	40	-8.03437
1	41	-0.0116683
1	42	-5.56754
1	43	4.18966
1	44	-0.52412
1	45	4.95672
1	46	-4.00311
1	47	0.620936
1	48	-1.4973
1	49	-2.27474
1	50	-1.93977
1	51	1.09236
1	52	-0.170611
1	53	-1.0098
1	54	-0.013166
1	55	-1.99134
1	56	1.46203
1	57	0.330677
1	58	-4890.76
1	59	0.545425
1	60	-2.76623
1	61	5.70693
1	62	2.63234
1	63	-0.985815
1	64	1.36099
1	65	-1.96718
1	66	0.126821
1	67	-1.75594
1	68	-0.236836
1	69	-9.72735
1	70	0.0397384
1	71	0.336335
1	72	3.20603
1	73	0.304892
1	74	-4.12686
1	75	-0.262912
1	76	-0.527659
1	77	-14.0953
1	78	1.00909
1	79	9.89321
1	80	1.57717
1	81	-2.40378
1	82	0.348155
1	83	3.01559
1	84	0.922753
1	85	-0.0104638
1	86	0.201195
1	87	-0.70356
1	88	-0.0313013
1	89	0.55754
1	90	-0.36614
1	91	-0.478705
1	92	-0.450521
1	93	-3.3197
1	94	1.16801
1	95	-1.37568
1	96	0.216339
1	97	0.376284
1	98	-32.123
1	99	-0.901853
1	100	7.20985
1	101	-4.89326
1	102	-0.311215
1	103	-1.77519
1	104	-2.07049
1	105	0.862152
1	106	2.01003
1	107	-1.62046
1	108	2.43432
1	109	-9.13033
1	110	1.96398
1	111	-1.10457
1	112	3.33285
1	113	-0.836972
1	114	1.32224
1	115	1.66498
1	116	-1.04485
1	117	2.35595
1	118	0.85665
1	119	0.502536
1	120	8.65227
1	121	-0.354279
1	122	-0.130984
1	123	0.0317649
1	124	0.133405
1	125	0.606664
1	126	0.086429
1	127	3.98382
1	128	-0.166744
1	129	-0.269459
1	130	-1.20357
1	131	-1.36001
1	132	20.0308
1	133	1.23857
1	134	-1.45578
1	135	0.471992
1	136	-22.9559
1	137	-0.174726
1	138	-0.161273
1	139	-0.449471
1	140	10.0487
1	141	-0.0585638
1	142	2.09531
1	143	-0.0896579
1	144	-3.74971
1	145	2.66546
1	146	-0.88716
1	147	2.91264
1	148	-5.01225
1	149	-0.00432344
1	150	3.35603
1	151	-0.0967146
1	152	0.0382291
1	153	0.740552
1	154	-0.756701
1	155	0.6182
1	156	3.0261
1	157	2.80244
1	158	-0.05562
1	159	0.335462
1	160	-4.76907
1	161	-0.176047
1	162	-0.272249
1	163	-0.0106502
1	164	-0.661343
1	165	4.28843
1	166	-0.675346
1	167	0.372162
1	168	0.739963
1	169	-0.0387242
1	170	1.46198
1	171	0.325687
1	172	5.18099
1	173	0.485845
1	174	0.696343
1	175	1.26462
1	176	-0.793719
1	177	-5.38116
1	178	1.52215
1	179	-3.05657
1	180	-1.21534
1	181	-0.0288578
1	182	11.3321
1	183	-8.22085
1	184	1.84286
1	185	0.0788665
1	186	-0.716984
1	187	0.513457
1	188	0.373808
1	189	-3.61812
1	190	0.873431
1	191	1.38956
1	192	5.66283
1	193	-1.27042
1	194	-0.00171477
1	195	-0.740953
1	196	-0.353086
1	197	0.0453396
1	198	-0.702563
1	199	0.517982
1	200	-1.18889
1	201	0.165949
1	202	-3.00676
1	203	-0.900118
1	204	-6.89225
1	205	1.57717
1	206	-17.5916
1	207	-0.600143
1	208	-0.791421
1	209	1.07765
1	210	0.770739
1	211	0.299597
1	212	3.61451
1	213	-0.425194
