block	ave	block_ave	err
0	0.456646	0.456646	0
1	0.549323	0.502985	0.0463381
2	0.422115	0.476028	0.0379788
3	0.555964	0.496012	0.0334746
4	0.494492	0.495708	0.0259311
5	0.479229	0.492961	0.0213501
6	0.510679	0.495493	0.0182208
7	0.490414	0.494858	0.0157924
8	0.557589	0.501828	0.0155744
9	0.547491	0.506394	0.0146595
10	0.48501	0.50445	0.0134017
11	0.534923	0.50699	0.0124948
12	0.503797	0.506744	0.0114962
13	0.51278	0.507175	0.0106521
14	0.481731	0.505479	0.0100606
15	0.555651	0.508615	0.00991954
16	0.514478	0.50896	0.00932417
17	0.484501	0.507601	0.00889531
18	0.509257	0.507688	0.00841457
19	0.462306	0.505419	0.008299
20	0.484008	0.504399	0.00795949
21	0.486928	0.503605	0.00763052
22	0.484959	0.502794	0.00733614
23	0.512356	0.503193	0.00703511
24	0.530694	0.504293	0.00683692
25	0.512104	0.504593	0.00657556
26	0.53094	0.505569	0.00640214
27	0.5162	0.505949	0.00618093
28	0.523487	0.506554	0.00599457
29	0.505871	0.506531	0.00579135
30	0.482777	0.505764	0.00565359
31	0.47766	0.504886	0.00554407
32	0.548863	0.506219	0.00553623
33	0.451411	0.504607	0.00560763
34	0.485628	0.504065	0.00547199
35	0.49416	0.503789	0.00532493
36	0.542239	0.504829	0.00528224
37	0.494671	0.504561	0.0051483
38	0.502061	0.504497	0.00501497
39	0.470992	0.50366	0.00495924
40	0.508311	0.503773	0.0048381
41	0.506052	0.503827	0.00472181
42	0.505988	0.503878	0.00461097
43	0.474018	0.503199	0.00455578
44	0.49468	0.50301	0.00445741
45	0.492725	0.502786	0.00436517
46	0.487078	0.502452	0.00428434
47	0.495203	0.502301	0.00419685
48	0.513143	0.502522	0.00411626
49	0.485962	0.502191	0.00404667
50	0.510024	0.502344	0.0039695
51	0.475333	0.501825	0.00392692
52	0.523029	0.502225	0.00387284
53	0.467855	0.501589	0.00385337
54	0.483036	0.501251	0.00379767
55	0.488321	0.50102	0.00373638
56	0.530949	0.501545	0.00370761
57	0.471785	0.501032	0.00367909
58	0.479938	0.500675	0.00363382
59	0.511448	0.500854	0.00357725
60	0.441333	0.499879	0.00365093
61	0.551037	0.500704	0.00368513
62	0.500251	0.500697	0.00362617
63	0.51593	0.500935	0.00357699
64	0.52214	0.501261	0.00353661
65	0.499915	0.50124	0.00348267
66	0.561616	0.502142	0.00354668
67	0.492184	0.501995	0.0034972
68	0.530104	0.502403	0.00347014
69	0.581747	0.503536	0.00360314
70	0.518958	0.503753	0.00355866
71	0.504167	0.503759	0.0035089
72	0.519898	0.50398	0.00346755
73	0.438149	0.50309	0.00353417
74	0.504743	0.503112	0.0034868
75	0.537156	0.50356	0.00346965
76	0.461589	0.503015	0.0034674
77	0.543925	0.50354	0.00346261
78	0.534726	0.503935	0.00344122
79	0.513359	0.504052	0.00339997
80	0.56076	0.504752	0.00342994
81	0.531974	0.505084	0.00340408
82	0.483539	0.504825	0.00337282
83	0.499713	0.504764	0.00333299
84	0.455667	0.504186	0.00334381
85	0.502583	0.504168	0.00330475
86	0.494515	0.504057	0.00326843
87	0.462267	0.503582	0.00326578
88	0.485822	0.503382	0.00323504
89	0.521479	0.503583	0.00320521
90	0.428118	0.502754	0.00327647
91	0.461501	0.502306	0.00327154
92	0.476362	0.502027	0.00324817
93	0.501018	0.502016	0.00321345
94	0.463345	0.501609	0.0032054
95	0.492972	0.501519	0.00317311
96	0.512576	0.501633	0.00314229
97	0.478882	0.501401	0.00311871
98	0.476484	0.501149	0.00309729
99	0.507658	0.501214	0.00306686
100	0.498991	0.501192	0.00303642
101	0.438661	0.500579	0.00306837
102	0.511602	0.500686	0.00304032
103	0.466371	0.500356	0.00302897
104	0.467357	0.500042	0.0030164
105	0.476696	0.499822	0.00299591
106	0.507134	0.49989	0.00296857
107	0.502624	0.499915	0.00294106
108	0.497933	0.499897	0.00291401
109	0.509553	0.499985	0.00288873
110	0.492955	0.499922	0.00286329
111	0.52831	0.500175	0.00284891
112	0.498432	0.50016	0.00282362
113	0.486511	0.50004	0.00280131
114	0.4823	0.499886	0.00278112
115	0.516587	0.50003	0.0027608
116	0.485017	0.499901	0.00274011
117	0.541434	0.500253	0.00273949
118	0.512915	0.50036	0.00271845
119	0.476332	0.50016	0.00270313
120	0.5297	0.500404	0.00269179
121	0.488401	0.500305	0.00267145
122	0.491811	0.500236	0.00265054
123	0.502543	0.500255	0.00262915
124	0.498546	0.500241	0.00260806
125	0.465471	0.499965	0.00260196
126	0.468001	0.499713	0.00259363
127	0.487061	0.499615	0.00257518
128	0.545029	0.499967	0.00257928
129	0.57096	0.500513	0.00261698
130	0.48758	0.500414	0.0025988
131	0.493993	0.500365	0.0025795
132	0.53294	0.50061	0.00257172
133	0.476602	0.500431	0.00255873
134	0.505546	0.500469	0.00253999
135	0.494201	0.500423	0.00252167
136	0.503206	0.500443	0.00250328
137	0.531964	0.500672	0.00249554
138	0.458715	0.50037	0.00249585
139	0.493249	0.500319	0.00247848
140	0.459001	0.500026	0.00247822
141	0.514507	0.500128	0.00246282
142	0.504119	0.500156	0.0024457
143	0.417163	0.49958	0.0024961
144	0.553523	0.499952	0.00250659
145	0.469648	0.499744	0.002498
146	0.527258	0.499931	0.002488
147	0.520386	0.500069	0.00247499
148	0.494811	0.500034	0.00245858
149	0.505208	0.500069	0.00244238
150	0.514576	0.500165	0.00242805
151	0.52032	0.500297	0.00241566
152	0.55198	0.500635	0.00242348
153	0.574622	0.501115	0.00245516
154	0.534546	0.501331	0.00244878
155	0.522798	0.501469	0.00243692
156	0.557247	0.501824	0.00244728
157	0.523286	0.50196	0.00243553
158	0.521732	0.502084	0.00242336
159	0.502887	0.502089	0.00240817
160	0.498118	0.502065	0.00239329
161	0.512404	0.502128	0.00237933
162	0.508201	0.502166	0.00236498
163	0.515391	0.502246	0.0023519
164	0.494125	0.502197	0.00233812
165	0.474732	0.502032	0.00232987
