block	ave	block_ave	err
0	3.12134	3.12134	0
1	3.17146	3.1464	0.0250574
2	3.14775	3.14685	0.0144738
3	3.10017	3.13518	0.015521
4	3.11891	3.13193	0.0124552
5	3.14837	3.13467	0.0105323
6	3.13541	3.13477	0.00890208
7	3.11587	3.13241	0.00806333
8	3.13112	3.13227	0.00711264
9	3.15644	3.13468	0.00680559
10	3.10438	3.13193	0.00674402
11	3.108	3.12994	0.00647123
12	3.21673	3.13661	0.00894467
13	3.11769	3.13526	0.00839068
14	3.1391	3.13552	0.0078155
15	3.05869	3.13071	0.00874662
16	3.15644	3.13223	0.00835423
17	3.1428	3.13282	0.00789832
18	3.12805	3.13256	0.00747526
19	3.1305	3.13246	0.0070924
20	3.10198	3.13101	0.00690063
21	3.14218	3.13152	0.00659907
22	3.16018	3.13276	0.0064276
23	3.12683	3.13252	0.00615892
24	3.15582	3.13345	0.00598051
25	3.15023	3.13409	0.00578201
26	3.14157	3.13437	0.00557062
27	3.15023	3.13494	0.00539777
28	3.12805	3.1347	0.00521372
29	3.13972	3.13487	0.0050397
30	3.10619	3.13394	0.00496141
31	3.15644	3.13465	0.00485504
32	3.1391	3.13478	0.00470756
33	3.17397	3.13593	0.00471023
34	3.12744	3.13569	0.0045801
35	3.17523	3.13679	0.00458459
36	3.18852	3.13819	0.00467303
37	3.14157	3.13828	0.00454926
38	3.16581	3.13898	0.00448697
39	3.108	3.13821	0.0044414
40	3.13112	3.13803	0.00433517
41	3.12622	3.13775	0.00424003
42	3.09059	3.13666	0.00428306
43	3.17209	3.13746	0.00426135
44	3.18725	3.13857	0.00431001
45	3.08582	3.13742	0.00436844
46	3.13787	3.13743	0.00427449
47	3.108	3.13682	0.00422916
48	3.16706	3.13744	0.00418769
49	3.18916	3.13847	0.00423147
50	3.17902	3.13926	0.00422319
51	3.13787	3.13924	0.00414126
52	3.12989	3.13906	0.0040662
53	3.19489	3.1401	0.00412194
54	3.09358	3.13925	0.00413374
55	3.14095	3.13928	0.00405937
56	3.12622	3.13905	0.00399409
57	3.17839	3.13973	0.00398279
58	3.15644	3.14001	0.00392494
59	3.10499	3.13943	0.00390287
60	3.1068	3.13889	0.00387546
61	3.14095	3.13893	0.00381258
62	3.13173	3.13881	0.00375332
63	3.1183	3.13849	0.00370808
64	3.15831	3.1388	0.0036633
65	3.14651	3.13891	0.00360926
66	3.16018	3.13923	0.00356913
67	3.18598	3.13992	0.00358283
68	3.15582	3.14015	0.00353803
69	3.15147	3.14031	0.00349087
70	3.1746	3.14079	0.00347508
71	3.08226	3.13998	0.00352161
72	3.1746	3.14046	0.00350526
73	3.10318	3.13995	0.00349407
74	3.1702	3.14035	0.00347068
75	3.1746	3.14081	0.00345423
76	3.15706	3.14102	0.00341561
77	3.18471	3.14158	0.00341776
78	3.13112	3.14144	0.00337682
79	3.15706	3.14164	0.00334005
80	3.18471	3.14217	0.00334115
81	3.14651	3.14222	0.00330057
82	3.12683	3.14204	0.00326584
83	3.20963	3.14284	0.00332554
84	3.1074	3.14243	0.00331253
85	3.18598	3.14293	0.00331273
86	3.17649	3.14332	0.00329707
87	3.18155	3.14375	0.00328821
88	3.15644	3.1439	0.00325418
89	3.14033	3.14386	0.00321806
90	3.14157	3.14383	0.0031826
91	3.17965	3.14422	0.00317181
92	3.14899	3.14427	0.00313793
93	3.15582	3.14439	0.0031068
94	3.12622	3.1442	0.00307987
95	3.12561	3.14401	0.00305377
96	3.1391	3.14396	0.00302255
97	3.09418	3.14345	0.00303436
98	3.16081	3.14363	0.00300867
99	3.08761	3.14307	0.00303065
