hit	xmin	xmax	ymin	ymax
0	-0.754701	-1.1101	0.169918	0.653334
0	0.143669	0.35526	0.705029	0.143576
0	-0.257007	-0.385031	0.836567	0.250384
0	0.0917158	0.681056	0.0173017	0.1299
0	-0.533686	-1.13348	0.193293	0.177426
1	-0.0114806	0.0530451	0.257893	-0.338627
0	0.233619	0.833614	0.580468	0.582811
0	-0.261299	-0.578705	0.651955	0.142786
0	-0.75808	-1.34316	0.680137	0.813102
0	-0.092985	-0.35173	0.765764	0.224422
1	0.97095	1.41383	0.399022	-0.00576726
0	-0.435615	-1.02381	0.48153	0.599968
1	0.804523	1.27647	0.135893	-0.234607
1	0.278225	0.00429808	0.201218	-0.332602
0	-0.200177	0.394515	0.326858	0.247223
1	0.0529277	0.350112	0.576023	1.09725
1	-0.440111	-0.151465	0.936537	1.46254
1	-0.977712	-1.30846	0.830226	1.33083
0	-0.479133	0.116867	0.856702	0.925869
1	0.247255	0.448358	0.704587	1.26988
0	-0.921168	-0.913401	0.61281	0.01286
1	0.984622	1.20403	0.0565693	-0.501874
0	-0.116918	0.170615	0.936633	0.410016
1	0.353751	-0.189781	0.82428	1.07839
0	-0.87983	-0.500766	0.131838	0.596929
0	0.783549	0.540019	0.446211	0.994566
0	0.516618	-0.0833465	0.449376	0.442888
0	-0.703727	-0.213545	0.793687	0.447679
1	0.396613	0.0864201	0.601655	1.11525
0	0.313035	0.682641	0.296364	0.769007
