block	ave	block_ave	err
0	0.0890399	0.0890399	0
1	0.0981982	0.0936191	0.00457916
2	0.0756212	0.0876198	0.00655601
3	0.0929264	0.0889464	0.00482189
4	0.0777839	0.0867139	0.00435138
5	0.0779849	0.0852591	0.00383921
6	0.0767701	0.0840464	0.00346394
7	0.0896494	0.0847467	0.00308054
8	0.0751224	0.0836774	0.00291966
9	0.0814163	0.0834513	0.0026212
10	0.0970328	0.0846859	0.00267318
11	0.0867979	0.0848619	0.00244661
12	0.0892959	0.085203	0.00227625
13	0.0768437	0.0846059	0.00219036
14	0.0831121	0.0845063	0.00204154
15	0.0929955	0.0850369	0.00198202
16	0.070864	0.0842032	0.00203993
17	0.0899764	0.0845239	0.00194982
18	0.0815901	0.0843695	0.0018508
19	0.0971626	0.0850092	0.00186871
20	0.0808017	0.0848088	0.00178875
21	0.0806167	0.0846183	0.00171612
22	0.0826274	0.0845317	0.00164209
23	0.0850462	0.0845532	0.00157233
24	0.0869358	0.0846485	0.00151113
25	0.0755778	0.0842996	0.00149318
26	0.0900059	0.0845109	0.00145227
27	0.0786553	0.0843018	0.00141498
28	0.0778699	0.08408	0.00138322
29	0.0879979	0.0842106	0.00134268
30	0.085951	0.0842668	0.00129986
31	0.0934582	0.084554	0.00129094
32	0.0881435	0.0846628	0.00125593
33	0.0942628	0.0849451	0.00125072
34	0.0753535	0.0846711	0.001245
35	0.085591	0.0846966	0.00121019
36	0.0801455	0.0845736	0.00118344
37	0.08418	0.0845633	0.00115192
38	0.078789	0.0844152	0.00113172
39	0.0879783	0.0845043	0.00110666
40	0.0729229	0.0842218	0.00111568
41	0.0811995	0.0841498	0.00109117
42	0.0738443	0.0839102	0.00109211
43	0.0884517	0.0840134	0.00107198
44	0.0819357	0.0839672	0.0010489
45	0.0860518	0.0840125	0.00102685
46	0.0845438	0.0840238	0.00100483
47	0.0874033	0.0840943	0.000986187
48	0.0932776	0.0842817	0.000983866
49	0.0874259	0.0843446	0.000966037
50	0.0840184	0.0843382	0.000946927
51	0.0858749	0.0843677	0.000929009
52	0.0842874	0.0843662	0.000911313
53	0.0924492	0.0845159	0.000906718
54	0.0802763	0.0844388	0.000893411
55	0.0916125	0.0845669	0.000886616
56	0.0944496	0.0847403	0.000888012
57	0.0725391	0.0845299	0.000897568
58	0.0785624	0.0844288	0.000888002
59	0.0952023	0.0846083	0.00089135
60	0.0838607	0.0845961	0.000876702
61	0.0873172	0.08464	0.000863561
62	0.0877234	0.0846889	0.000851152
63	0.0639753	0.0843653	0.000898092
64	0.0873803	0.0844116	0.000885383
65	0.0849548	0.0844199	0.000871904
66	0.103975	0.0847117	0.000907034
67	0.0872665	0.0847493	0.000894385
68	0.0834148	0.08473	0.00088154
69	0.0787487	0.0846445	0.000873047
70	0.0776679	0.0845463	0.000866254
71	0.087776	0.0845911	0.000855315
72	0.0813834	0.0845472	0.000844661
73	0.0819344	0.0845119	0.000833916
74	0.0751201	0.0843866	0.000832197
75	0.0816496	0.0843506	0.000821964
76	0.0684871	0.0841446	0.000836971
77	0.0759671	0.0840398	0.000832796
78	0.0904348	0.0841207	0.000826162
79	0.0886269	0.084177	0.000817712
80	0.0854609	0.0841929	0.000807709
81	0.0789877	0.0841294	0.00080032
82	0.0857014	0.0841484	0.000790845
83	0.0813223	0.0841147	0.000782098
84	0.0712118	0.0839629	0.000787609
85	0.0866355	0.083994	0.000779017
86	0.073917	0.0838782	0.000778673
87	0.0689981	0.0837091	0.000788127
88	0.062782	0.0834739	0.000813925
89	0.0810992	0.0834475	0.000805263
90	0.0786139	0.0833944	0.000798134
91	0.0806783	0.0833649	0.000789963
92	0.0821506	0.0833519	0.000781532
93	0.0840101	0.0833589	0.000773205
94	0.0788836	0.0833117	0.000766472
95	0.0693069	0.0831659	0.000772348
96	0.0747947	0.0830796	0.000769201
97	0.0781394	0.0830292	0.000762978
98	0.0814754	0.0830135	0.000755395
99	0.108047	0.0832638	0.000788592
100	0.0829966	0.0832611	0.00078075
101	0.0898828	0.0833261	0.000775778
102	0.0889736	0.0833809	0.000770164
103	0.0907317	0.0834516	0.00076599
104	0.0827132	0.0834445	0.000758693
105	0.0790428	0.083403	0.000752648
106	0.0904805	0.0834692	0.000748509
107	0.0914247	0.0835428	0.000745195
108	0.0876468	0.0835805	0.000739286
109	0.0808064	0.0835553	0.000732969
110	0.0799783	0.083523	0.00072705
111	0.0786077	0.0834791	0.000721864
112	0.0789223	0.0834388	0.000716583
113	0.0888981	0.0834867	0.000711882
114	0.0809188	0.0834644	0.000706018
115	0.0774198	0.0834123	0.000701842
116	0.0805875	0.0833881	0.000696236
117	0.0885596	0.083432	0.000691701
118	0.0897051	0.0834847	0.000687886
119	0.0973962	0.0836006	0.000691911
120	0.0835316	0.0836	0.000686169
121	0.0802841	0.0835728	0.000681064
122	0.0844692	0.0835801	0.000675544
123	0.0867443	0.0836057	0.000670559
124	0.0947099	0.0836945	0.000671079
125	0.0813253	0.0836757	0.000665997
126	0.0912528	0.0837353	0.00066342
127	0.0736784	0.0836568	0.00066289
128	0.0925635	0.0837258	0.000661345
129	0.0861042	0.0837441	0.000656493
130	0.0949545	0.0838297	0.000657059
131	0.0812378	0.0838101	0.000652358
132	0.0885092	0.0838454	0.000648397
133	0.065878	0.0837113	0.000657361
134	0.0804846	0.0836874	0.000652911
135	0.0687821	0.0835778	0.000657294
136	0.0902866	0.0836268	0.000654313
137	0.084357	0.0836321	0.000649576
138	0.0877303	0.0836616	0.00064556
139	0.0833897	0.0836596	0.000640935
140	0.0885448	0.0836943	0.000637316
141	0.079985	0.0836681	0.00063335
142	0.0918135	0.0837251	0.00063148
143	0.0959581	0.08381	0.000632807
144	0.0884283	0.0838419	0.000629235
145	0.0848311	0.0838487	0.000624947
146	0.0840194	0.0838498	0.000620682
147	0.0882552	0.0838796	0.000617192
148	0.0901181	0.0839215	0.000614464
149	0.086928	0.0839415	0.000610683
150	0.090061	0.083982	0.000607977
151	0.0853118	0.0839908	0.000604028
152	0.0720434	0.0839127	0.000605126
153	0.0818086	0.083899	0.000601339
154	0.0807438	0.0838787	0.000597794
155	0.0840478	0.0838798	0.00059395
156	0.0978856	0.083969	0.000596859
157	0.0866099	0.0839857	0.000593305
158	0.0786631	0.0839522	0.000590512
159	0.0777031	0.0839132	0.000588108
160	0.0847595	0.0839184	0.000584467
