n	index	x	y
0	0	13.5747	37.3123
1	97	12.516	38.0174
2	65	13.3524	38.1112
3	31	14.2807	37.5668
4	90	15.2907	37.0646
5	55	15.5542	38.1938
6	107	16.0987	38.6267
7	27	16.3331	39.5967
8	75	15.8216	40.5173
9	54	16.4736	40.4476
10	92	17.0806	40.5488
11	46	18.2261	40.1522
12	17	17.6884	40.6359
13	8	16.862	41.1258
14	9	16.1466	41.1802
15	35	15.4529	41.5028
16	7	15.1406	40.9965
17	59	14.2488	40.8359
18	11	14.7057	41.2476
19	20	14.8262	41.7173
20	42	14.2081	41.6495
21	25	14.4159	42.1027
22	70	13.9576	42.3103
23	93	13.6979	42.6581
24	32	13.6388	43.0922
25	5	13.5396	42.8834
26	2	13.2188	43.4801
27	51	13.1509	43.153
28	94	12.4397	42.6539
29	109	11.9488	42.493
30	68	12.403	43.107
31	69	12.7014	43.6941
32	82	12.631	43.9465
33	84	12.2742	44.9772
34	64	11.8734	45.4077
35	103	12.3346	45.4372
36	99	12.2063	45.8067
37	74	12.6597	45.9563
38	100	13.7773	45.6496
39	39	13.6252	45.9441
40	101	13.2358	46.0635
41	10	12.0789	46.2805
42	15	11.2302	46.6559
43	98	11.1258	46.0664
44	91	10.2584	46.3234
45	16	10.4259	45.7796
46	28	10.037	45.2209
47	66	10.3281	44.8014
48	71	9.66653	44.8476
49	49	9.49168	45.2613
50	67	9.13783	45.0369
51	56	9.18963	45.4642
52	58	9.27883	45.6395
53	12	9.75422	45.7567
54	47	9.41202	45.9005
55	26	9.14941	45.9395
56	102	8.75413	45.8397
57	104	8.3836	46.1156
58	60	8.546	45.5843
59	105	8.34628	45.5554
60	13	8.08691	45.567
61	3	7.31966	45.7371
62	95	7.68249	45.0678
63	6	8.20269	44.826
64	30	7.55814	44.4581
65	41	7.86674	43.9584
66	88	8.25257	44.2334
67	1	8.74503	44.835
68	38	8.93386	44.4073
69	43	9.69123	44.2384
70	53	10.0526	44.2131
71	80	10.5941	44.6087
72	52	10.6708	45.1693
73	106	10.9924	45.4385
74	108	11.4064	45.6349
75	57	10.936	44.5385
76	14	11.3426	44.4938
77	33	11.8279	44.7668
78	78	12.059	44.3641
79	36	12.0141	44.0227
80	4	11.7639	43.5171
81	89	11.4676	43.1672
82	40	11.2878	42.7751
83	34	11.2556	43.7698
84	76	11.0941	43.9357
85	73	10.8687	43.9741
86	50	10.4544	44.0178
87	72	10.4019	43.7159
88	48	10.3403	42.7902
89	62	9.50674	40.9253
90	87	8.92197	40.7778
91	63	8.67964	40.0266
92	86	8.76505	39.4937
93	21	8.54034	39.3075
94	18	9.11331	39.2172
95	61	9.34238	40.1277
96	96	9.66781	39.9705
97	45	13.0126	41.4595
98	83	12.4829	41.8933
99	81	12.8859	42.4147
100	44	13.6103	42.1369
101	37	13.5758	41.6285
102	22	14.1169	41.2035
103	85	15.3106	40.4194
104	29	16.8783	39.1874
105	24	16.4316	38.83
106	79	15.6398	38.1035
107	23	15.0874	37.5024
108	77	14.7213	36.922
109	19	14.0632	37.4899
110	0	13.5747	37.3123
