migr	rank0	rank1	rank2	rank3	
0	115.357	123.906	115.529	108.857	
1	91.9805	88.7531	91.9221	84.1236	
2	83.3522	73.7543	76.9301	76.1661	
3	75.6465	69.3101	74.0707	74.0754	
4	73.4475	69.3101	73.1814	73.9673	
5	72.708	67.9368	72.465	70.9129	
6	72.5964	67.9368	72.1064	68.7518	
7	72.5964	67.9368	72.1064	68.2145	
8	72.5964	67.9368	72.0108	68.2145	
9	72.5157	67.9368	72.0108	68.0827	
10	72.5157	67.9368	72.0108	68.0827	
11	72.5157	67.9368	71.792	67.9405	
12	70.8726	67.9368	71.792	67.3645	
13	69.8011	67.9368	71.792	67.3645	
14	69.8011	67.9368	71.792	67.3645	
15	69.8011	67.9368	71.792	67.3645	
16	69.8011	67.9368	71.792	67.3645	
17	69.8011	67.9368	71.792	67.3645	
18	69.8011	67.9368	71.792	67.3645	
19	69.8011	67.9368	71.792	67.3645	
20	69.8011	67.9368	71.792	67.3645	
21	69.8011	67.9368	71.6277	67.3645	
22	69.8011	67.9368	71.6277	67.3645	
23	69.8011	67.9368	71.6277	67.3645	
24	69.8011	67.9368	71.6277	67.3645	
25	69.8011	67.9368	71.6277	67.3645	
26	69.8011	67.9368	71.6277	67.3645	
27	69.8011	67.9368	71.6277	67.3645	
28	69.8011	67.9368	71.6277	67.3645	
29	69.8011	67.9368	71.6277	67.3645	
