gen	cost
0	277.514
1	229.795
2	194.054
3	163.09
4	148.975
5	136.523
6	125.47
7	111.859
8	104.277
9	100.393
10	96.1658
11	92.921
12	90.3557
13	88.0571
14	85.4462
15	84.7932
16	84.1121
17	83.9488
18	83.3601
19	83.3601
20	82.6824
21	82.6824
22	79.1761
23	78.563
24	77.7849
25	76.8278
26	76.6087
27	76.6087
28	76.4061
29	75.2422
30	75.2422
31	74.7704
32	74.7704
33	74.6702
34	74.6702
35	74.6702
36	74.6702
37	74.6702
38	74.6702
39	74.6702
40	74.6702
41	74.6702
42	74.6702
43	74.6702
44	74.6702
45	74.6702
46	74.6702
47	74.6702
48	74.6702
49	74.6702
50	74.6702
51	74.6702
52	74.5456
53	74.5456
54	74.5456
55	70.358
56	69.3748
57	69.3748
58	69.3748
59	69.3073
60	68.6534
61	68.6534
62	68.6534
63	68.6534
64	68.6534
65	68.6534
66	68.6534
67	68.6534
68	68.6534
69	68.6534
70	68.1075
71	68.1075
72	67.9609
73	67.9609
74	67.9467
75	67.9467
76	67.6181
77	67.6181
78	67.6181
79	67.6181
80	67.6181
81	67.6181
82	67.6181
83	67.6181
84	67.6181
85	67.6181
86	67.6181
87	67.6181
88	67.6181
89	67.6181
90	67.6181
91	67.6181
92	67.6181
93	67.6181
94	67.6181
95	67.6181
96	67.6181
97	67.6181
98	67.6181
99	67.6181
100	67.6181
101	67.6181
102	67.6181
103	67.6181
104	67.6181
105	67.6181
106	67.6181
107	67.6181
108	67.6181
109	67.6181
110	67.6181
111	67.6181
112	67.6181
113	67.6181
114	67.6181
115	67.6181
116	67.6181
117	67.5988
118	67.5988
119	67.5988
120	67.5988
121	67.5988
122	67.5988
123	67.5988
124	67.5988
125	67.5988
126	67.5988
127	67.5988
128	67.5988
129	67.5988
130	67.5988
131	67.5988
132	67.5988
133	67.5988
134	67.5988
135	67.5988
136	67.5988
137	67.5988
138	67.5988
139	67.5988
140	67.5988
141	67.5988
142	67.5988
143	67.5988
144	67.5988
145	67.5988
146	67.5988
147	67.5988
148	67.5988
149	67.5988
150	67.5988
151	67.5988
152	67.5988
153	67.5988
154	67.5988
155	67.5988
156	67.5988
157	67.5988
158	67.5988
159	67.5988
160	67.5988
161	67.5988
162	67.5988
163	67.5988
164	67.5988
165	67.5988
166	67.5988
167	67.5988
168	67.5988
169	67.5988
170	67.5988
171	67.5988
172	67.5988
173	67.5988
174	67.5988
175	67.5988
176	67.5988
177	67.5988
178	67.5988
179	67.5988
180	67.5988
181	67.5988
182	67.5988
183	67.5988
184	67.5988
185	67.5988
186	67.5988
187	67.5988
188	67.5988
189	67.5988
190	67.5988
191	67.5988
192	67.5988
193	67.5988
194	67.5988
195	67.5988
196	67.5988
197	67.5988
198	67.5988
199	67.5988
