n	index	x	y
0	0	13.5747	37.3123
1	65	13.3524	38.1112
2	97	12.516	38.0174
3	59	14.2488	40.8359
4	22	14.1169	41.2035
5	37	13.5758	41.6285
6	44	13.6103	42.1369
7	45	13.0126	41.4595
8	83	12.4829	41.8933
9	96	9.66781	39.9705
10	61	9.34238	40.1277
11	18	9.11331	39.2172
12	21	8.54034	39.3075
13	86	8.76505	39.4937
14	63	8.67964	40.0266
15	87	8.92197	40.7778
16	62	9.50674	40.9253
17	48	10.3403	42.7902
18	72	10.4019	43.7159
19	50	10.4544	44.0178
20	73	10.8687	43.9741
21	76	11.0941	43.9357
22	34	11.2556	43.7698
23	14	11.3426	44.4938
24	33	11.8279	44.7668
25	36	12.0141	44.0227
26	78	12.059	44.3641
27	84	12.2742	44.9772
28	64	11.8734	45.4077
29	108	11.4064	45.6349
30	106	10.9924	45.4385
31	52	10.6708	45.1693
32	57	10.936	44.5385
33	80	10.5941	44.6087
34	66	10.3281	44.8014
35	53	10.0526	44.2131
36	43	9.69123	44.2384
37	71	9.66653	44.8476
38	28	10.037	45.2209
39	49	9.49168	45.2613
40	67	9.13783	45.0369
41	56	9.18963	45.4642
42	58	9.27883	45.6395
43	60	8.546	45.5843
44	105	8.34628	45.5554
45	13	8.08691	45.567
46	6	8.20269	44.826
47	1	8.74503	44.835
48	38	8.93386	44.4073
49	88	8.25257	44.2334
50	41	7.86674	43.9584
51	30	7.55814	44.4581
52	95	7.68249	45.0678
53	3	7.31966	45.7371
54	104	8.3836	46.1156
55	102	8.75413	45.8397
56	26	9.14941	45.9395
57	47	9.41202	45.9005
58	12	9.75422	45.7567
59	91	10.2584	46.3234
60	16	10.4259	45.7796
61	98	11.1258	46.0664
62	15	11.2302	46.6559
63	10	12.0789	46.2805
64	99	12.2063	45.8067
65	103	12.3346	45.4372
66	74	12.6597	45.9563
67	101	13.2358	46.0635
68	39	13.6252	45.9441
69	100	13.7773	45.6496
70	82	12.631	43.9465
71	69	12.7014	43.6941
72	68	12.403	43.107
73	4	11.7639	43.5171
74	89	11.4676	43.1672
75	40	11.2878	42.7751
76	109	11.9488	42.493
77	94	12.4397	42.6539
78	81	12.8859	42.4147
79	51	13.1509	43.153
80	2	13.2188	43.4801
81	32	13.6388	43.0922
82	5	13.5396	42.8834
83	93	13.6979	42.6581
84	70	13.9576	42.3103
85	25	14.4159	42.1027
86	42	14.2081	41.6495
87	11	14.7057	41.2476
88	20	14.8262	41.7173
89	35	15.4529	41.5028
90	7	15.1406	40.9965
91	85	15.3106	40.4194
92	75	15.8216	40.5173
93	9	16.1466	41.1802
94	8	16.862	41.1258
95	17	17.6884	40.6359
96	46	18.2261	40.1522
97	92	17.0806	40.5488
98	54	16.4736	40.4476
99	27	16.3331	39.5967
100	29	16.8783	39.1874
101	24	16.4316	38.83
102	107	16.0987	38.6267
103	55	15.5542	38.1938
104	79	15.6398	38.1035
105	23	15.0874	37.5024
106	90	15.2907	37.0646
107	77	14.7213	36.922
108	31	14.2807	37.5668
109	19	14.0632	37.4899
110	0	13.5747	37.3123
