migr	rank0	rank1	rank2	rank3	
0	286.377	277.514	275.316	305.229	
1	192.794	216.184	215.833	228.265	
2	157.249	183.487	182.257	178.323	
3	142.049	168.359	162.871	159.911	
4	131.706	149.598	153.915	148.941	
5	123.586	136.914	147.132	137.164	
6	115.263	131.475	137.747	125.05	
7	111.998	126.631	126.54	114.296	
8	108.349	122.454	120.208	109.684	
9	104.371	117.326	110.638	101.849	
10	101.468	112.898	105.495	97.5111	
11	98.1176	109.082	101.208	96.5845	
12	93.679	107.173	97.1344	95.2281	
13	91.195	103.471	93.5604	91.3305	
14	90.1405	101.479	91.5971	91.3118	
15	87.9692	99.7904	88.4275	90.3715	
16	86.2378	92.1803	86.1285	89.283	
17	85.354	90.319	85.1003	89.0802	
18	84.6263	88.2467	83.1099	88.624	
19	83.9617	86.1913	82.7924	87.9302	
20	82.4898	84.5942	81.0872	87.6487	
21	82.4898	83.2984	78.7095	83.8066	
22	82.3366	83.2411	78.7095	83.1261	
23	78.5376	82.8226	78.0513	82.679	
24	77.6831	82.3602	77.4901	79.4424	
25	78.5376	81.8205	77.3759	77.1192	
26	77.8261	80.8844	77.1701	76.8034	
27	77.5227	80.19	77.1701	76.6166	
28	76.9964	79.7627	76.4214	76.2932	
29	76.6908	79.4393	76.4214	76.2302	
30	76.6908	79.0521	76.2896	76.2302	
31	76.6908	78.4575	75.54	76.2302	
32	76.6908	78.3988	74.814	76.2302	
33	76.5776	78.3988	74.6343	76.1439	
34	76.5776	78.0554	74.2302	76.1439	
35	76.253	78.3988	74.2302	76.1439	
36	76.253	77.6842	74.2302	75.2865	
37	76.1385	77.6786	74.1863	75.1743	
38	76.1385	77.3719	73.7608	75.1743	
39	75.7772	76.8852	73.7608	75.1743	
40	75.7198	76.8852	73.7608	74.9451	
41	75.7198	76.8852	73.7608	74.9451	
42	75.7198	76.8852	73.7608	74.9451	
43	75.7198	76.8852	73.7426	74.9451	
44	75.4739	76.6605	73.7426	74.5532	
45	75.1487	76.4021	73.1207	74.5532	
46	75.1487	75.9196	72.7186	74.5532	
47	75.0849	75.8292	72.462	74.5532	
48	74.9093	75.8292	72.462	74.5532	
49	74.5866	75.8292	72.462	74.5532	
50	74.3976	75.6746	72.462	74.4959	
51	73.7218	75.6746	72.462	74.4959	
52	73.6888	75.6746	72.2601	74.4959	
53	73.6888	75.6746	71.6348	74.4959	
54	73.5443	75.6746	71.6167	74.3815	
55	73.5406	75.3304	71.6086	74.3815	
56	72.8566	74.4755	71.0233	74.0452	
57	72.3744	74.4755	71.0233	73.5616	
58	72.3591	74.4755	71.0233	73.5616	
59	72.3591	74.2265	71.0233	73.5616	
60	72.3591	74.2265	70.5165	73.5616	
61	72.3591	74.2265	70.5165	73.3029	
62	72.2961	74.1978	70.5165	73.3029	
63	72.2961	73.9356	70.5165	73.1612	
64	72.2961	73.9356	70.5165	73.1612	
65	72.2038	73.9356	70.1185	73.1612	
66	72.2038	73.6154	70.1185	73.1552	
67	72.2038	73.6154	70.1185	73.0928	
68	72.2038	73.6154	70.1185	73.0928	
69	72.1193	73.6154	70.1185	73.0928	
70	72.1193	73.6154	70.1185	73.0928	
71	72.1193	73.6044	70.1185	73.0928	
72	72.1193	73.6044	70.1185	73.0928	
