ch_index	index	x	y
0	0	13.5747	37.3123
0	1	8.74503	44.835
0	60	8.546	45.5843
0	80	10.5941	44.6087
0	4	11.7639	43.5171
0	5	13.5396	42.8834
0	6	8.20269	44.826
0	7	15.1406	40.9965
0	64	11.8734	45.4077
0	9	16.1466	41.1802
0	72	10.4019	43.7159
0	11	14.7057	41.2476
0	12	9.75422	45.7567
0	13	8.08691	45.567
0	14	11.3426	44.4938
0	15	11.2302	46.6559
0	16	10.4259	45.7796
0	17	17.6884	40.6359
0	18	9.11331	39.2172
0	3	7.31966	45.7371
0	20	14.8262	41.7173
0	21	8.54034	39.3075
0	54	16.4736	40.4476
0	23	15.0874	37.5024
0	24	16.4316	38.83
0	25	14.4159	42.1027
0	83	12.4829	41.8933
0	27	16.3331	39.5967
0	28	10.037	45.2209
0	22	14.1169	41.2035
0	30	7.55814	44.4581
0	77	14.7213	36.922
0	32	13.6388	43.0922
0	33	11.8279	44.7668
0	34	11.2556	43.7698
0	35	15.4529	41.5028
0	36	12.0141	44.0227
0	53	10.0526	44.2131
0	38	8.93386	44.4073
0	39	13.6252	45.9441
0	40	11.2878	42.7751
0	99	12.2063	45.8067
0	42	14.2081	41.6495
0	43	9.69123	44.2384
0	44	13.6103	42.1369
0	45	13.0126	41.4595
0	46	18.2261	40.1522
0	47	9.41202	45.9005
0	48	10.3403	42.7902
0	49	9.49168	45.2613
0	50	10.4544	44.0178
0	51	13.1509	43.153
0	52	10.6708	45.1693
0	26	9.14941	45.9395
0	29	16.8783	39.1874
0	55	15.5542	38.1938
0	56	9.18963	45.4642
0	57	10.936	44.5385
0	58	9.27883	45.6395
0	59	14.2488	40.8359
0	2	13.2188	43.4801
0	61	9.34238	40.1277
0	62	9.50674	40.9253
0	31	14.2807	37.5668
0	8	16.862	41.1258
0	65	13.3524	38.1112
0	66	10.3281	44.8014
0	67	9.13783	45.0369
0	68	12.403	43.107
0	69	12.7014	43.6941
0	70	13.9576	42.3103
0	71	9.66653	44.8476
0	10	12.0789	46.2805
0	73	10.8687	43.9741
0	74	12.6597	45.9563
0	75	15.8216	40.5173
0	76	11.0941	43.9357
0	63	8.67964	40.0266
0	78	12.059	44.3641
0	79	15.6398	38.1035
0	19	14.0632	37.4899
0	81	12.8859	42.4147
0	82	12.631	43.9465
0	37	13.5758	41.6285
0	84	12.2742	44.9772
0	92	17.0806	40.5488
0	86	8.76505	39.4937
0	87	8.92197	40.7778
0	88	8.25257	44.2334
0	89	11.4676	43.1672
0	90	15.2907	37.0646
0	91	10.2584	46.3234
0	85	15.3106	40.4194
0	93	13.6979	42.6581
0	94	12.4397	42.6539
0	95	7.68249	45.0678
0	96	9.66781	39.9705
0	97	12.516	38.0174
0	98	11.1258	46.0664
0	41	7.86674	43.9584
0	100	13.7773	45.6496
0	101	13.2358	46.0635
0	102	8.75413	45.8397
0	103	12.3346	45.4372
0	104	8.3836	46.1156
0	105	8.34628	45.5554
0	106	10.9924	45.4385
0	107	16.0987	38.6267
0	108	11.4064	45.6349
0	109	11.9488	42.493
0	0	13.5747	37.3123
