epoch	loss
0	0.7859960198402405
1	0.4222339987754822
2	0.22897277772426605
3	0.126327782869339
4	0.07116595655679703
5	0.0413290373980999
6	0.02493235655128956
7	0.01566201262176037
8	0.010319204069674015
9	0.007074183784425259
10	0.005069374106824398
11	0.0037508963141590357
12	0.0028487197123467922
13	0.002195786451920867
14	0.0017154826782643795
15	0.0013503157533705235
16	0.0010744684841483831
17	0.0008566047181375325
18	0.000683988502714783
19	0.0005478293751366436
20	0.00043986947275698185
21	0.0003526360378600657
22	0.0002834510523825884
23	0.00022767276095692068
24	0.0001825819635996595
25	0.00014673169062007219
26	0.00011795470345532522
27	9.48462329688482e-05
28	7.617576920893043e-05
29	6.122505874373019e-05
30	4.9202953960048035e-05
31	3.949095116695389e-05
32	3.18284219247289e-05
33	2.5640043531893753e-05
34	2.0607494661817327e-05
35	1.656720087339636e-05
36	1.3317313459992874e-05
37	1.0705164640967268e-05
38	8.59404190123314e-06
39	6.9231750785547774e-06
40	5.572607278736541e-06
41	4.48066612079856e-06
42	3.6034055028721923e-06
43	2.8973947792110266e-06
44	2.330103825443075e-06
45	1.8757702946459176e-06
46	1.5079674540174892e-06
47	1.2095965757907834e-06
48	9.73111241364677e-07
49	7.832177857380884e-07
50	6.304148314484337e-07
51	5.069445592198463e-07
52	4.0835158188201603e-07
53	3.280536873262463e-07
54	2.636609508499532e-07
55	2.1224299473487918e-07
56	1.7061972812371096e-07
57	1.370540445577717e-07
58	1.1025690582755487e-07
59	8.863852229978875e-08
60	7.12467809194095e-08
61	5.723572726878956e-08
62	4.6068041825719774e-08
63	3.704294115891571e-08
64	2.9778879806485747e-08
65	2.392656028860074e-08
66	1.923401526937596e-08
67	1.5446499190829854e-08
68	1.2398499116272887e-08
69	9.966425018603786e-09
