sigma	epoch	loss
0.1	0	1.9264249801635742
0.1	1	1.3565752506256104
0.1	2	0.9890393018722534
0.1	3	0.7413539886474609
0.1	4	0.5702254176139832
0.1	5	0.44474291801452637
0.1	6	0.35211876034736633
0.1	7	0.28046727180480957
0.1	8	0.22454306483268738
0.1	9	0.18116338551044464
0.1	10	0.14687253534793854
0.1	11	0.11983706057071686
0.1	12	0.0979117900133133
0.1	13	0.08061352372169495
0.1	14	0.06670207530260086
0.1	15	0.05551283061504364
0.1	16	0.04653144255280495
0.1	17	0.03931622952222824
0.1	18	0.033571742475032806
0.1	19	0.02890601009130478
0.1	20	0.02514306642115116
0.1	21	0.022128602489829063
0.1	22	0.019730176776647568
0.1	23	0.01778784766793251
0.1	24	0.01623801700770855
0.1	25	0.01497369073331356
0.1	26	0.013959282077848911
0.1	27	0.013147561810910702
0.1	28	0.012497348710894585
0.1	29	0.011975211091339588
0.1	30	0.011547969654202461
0.1	31	0.011210711672902107
0.1	32	0.010927283205091953
0.1	33	0.01070842519402504
0.1	34	0.010528757236897945
0.1	35	0.010371453128755093
0.1	36	0.010257705114781857
0.1	37	0.010162881575524807
0.1	38	0.01009190920740366
0.1	39	0.010026206262409687
0.1	40	0.009978760965168476
0.1	41	0.009937568567693233
0.1	42	0.009909821674227715
0.1	43	0.009882933460175991
0.1	44	0.009865748696029186
0.1	45	0.009845737367868423
0.1	46	0.00983962882310152
0.1	47	0.00982687622308731
0.1	48	0.00981813482940197
0.1	49	0.009812683798372746
0.1	50	0.009810421615839005
0.1	51	0.00979976262897253
0.1	52	0.009799816645681858
0.1	53	0.009796079248189926
0.1	54	0.00979684665799141
0.1	55	0.009794037789106369
0.1	56	0.009791594929993153
0.1	57	0.009791267104446888
0.1	58	0.009790985845029354
0.1	59	0.009789291769266129
0.1	60	0.009786360897123814
0.1	61	0.00978508498519659
0.1	62	0.009784969501197338
0.1	63	0.009787186048924923
0.1	64	0.009787254966795444
0.1	65	0.009789175353944302
0.1	66	0.00978518184274435
0.1	67	0.00979025848209858
0.1	68	0.009783289395272732
0.1	69	0.009786487556993961
0.25	0	1.2736011743545532
0.25	1	0.827522873878479
0.25	2	0.5671011209487915
0.25	3	0.4095822274684906
0.25	4	0.3093925714492798
0.25	5	0.2431243509054184
0.25	6	0.19812655448913574
0.25	7	0.16651052236557007
0.25	8	0.14300240576267242
0.25	9	0.12502069771289825
0.25	10	0.11116749048233032
0.25	11	0.10028539597988129
0.25	12	0.0915834829211235
0.25	13	0.08462648838758469
0.25	14	0.07917758077383041
0.25	15	0.0747830867767334
0.25	16	0.07132676988840103
0.25	17	0.06850558519363403
0.25	18	0.06616441160440445
0.25	19	0.0643668845295906
0.25	20	0.06282300502061844
0.25	21	0.06163742020726204
0.25	22	0.0606786385178566
0.25	23	0.05998091399669647
0.25	24	0.059312593191862106
0.25	25	0.05884749814867973
0.25	26	0.05846228078007698
0.25	27	0.058144427835941315
0.25	28	0.05789867416024208
0.25	29	0.057728223502635956
0.25	30	0.05752350389957428
0.25	31	0.05738583579659462
0.25	32	0.057304736226797104
0.25	33	0.057222649455070496
0.25	34	0.057165663689374924
0.25	35	0.057100921869277954
0.25	36	0.05707935616374016
0.25	37	0.05700255557894707
0.25	38	0.057003457099199295
0.25	39	0.05695085600018501
0.25	40	0.056950196623802185
0.25	41	0.05691877752542496
0.25	42	0.05694488063454628
0.25	43	0.056906357407569885
0.25	44	0.05689362809062004
0.25	45	0.05691780894994736
0.25	46	0.05689269304275513
0.25	47	0.056893281638622284
0.25	48	0.05687557905912399
0.25	49	0.05688800662755966
0.25	50	0.05687493830919266
0.25	51	0.056880030781030655
0.25	52	0.0568724051117897
0.25	53	0.05690345913171768
0.25	54	0.05688752606511116
0.25	55	0.056888628751039505
0.25	56	0.05686809495091438
0.25	57	0.05688861012458801
0.25	58	0.05688904598355293
0.25	59	0.05688183382153511
0.25	60	0.05687623843550682
0.25	61	0.056880343705415726
