walk_id	step	x	y	z
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
0	1	0.181237	0.329267	0.92668
1	1	-0.639387	0.276435	0.717473
2	1	-0.281776	-0.870717	0.403056
3	1	0.975932	-0.216068	0.0295352
4	1	0.114807	0.93032	-0.348317
5	1	-0.737451	0.0204249	-0.675092
6	1	0.0289569	-0.428934	-0.902872
7	1	0.0582669	0.00955276	-0.998255
8	1	-0.0816451	0.309905	0.947256
9	1	-0.612812	-0.225567	0.757351
0	2	-0.185292	0.984565	0.266195
1	2	0.0256216	-0.0145837	0.0296712
2	2	-0.962371	-1.03424	-0.311121
3	2	1.40265	0.304455	-0.71004
4	2	0.0900507	0.285533	-1.11228
5	2	-1.09063	0.525816	-1.46239
6	2	0.587544	-0.609439	-1.71244
7	2	-0.467335	-0.173865	-1.82898
8	2	0.20934	0.747585	0.0965128
9	2	-0.582427	-0.718391	-0.112247
0	3	-1.08283	0.549511	0.338029
1	3	-0.659371	0.265333	0.702302
2	3	-1.01842	-0.87757	0.674937
3	3	1.63014	0.725158	-1.58825
4	3	0.983239	0.500144	-1.50745
5	3	-0.294853	-0.0226772	-1.20569
6	3	0.66434	-1.20597	-0.913533
7	3	-0.480741	-0.189423	-2.82877
8	3	-0.424287	0.734746	-0.67702
9	3	-1.24912	-0.00528505	-0.329047
0	4	-0.397141	0.960904	-0.262464
1	4	-1.2694	1.02045	0.942428
2	4	-1.31048	-1.18971	1.57897
3	4	1.98215	0.47752	-2.49089
4	4	1.42664	1.36457	-1.74442
5	4	-1.04823	0.239454	-0.602607
6	4	0.65718	-1.24208	0.085789
7	4	0.269198	-0.231927	-3.48891
8	4	-0.505562	1.71771	-0.512168
9	4	-1.73264	-0.114226	0.53948
0	5	0.334066	0.467218	-0.73322
1	5	-1.82582	1.69119	0.452014
2	5	-0.969064	-1.97933	1.06914
3	5	1.87745	1.31967	-3.01988
4	5	1.29276	0.538792	-2.2923
5	5	-0.693396	0.983217	-1.16909
6	5	0.116503	-1.84678	-0.499028
7	5	0.946527	0.189729	-4.09176
8	5	-1.26079	1.50674	-1.13275
9	5	-0.962666	-0.123476	-0.0985275
0	6	0.809955	-0.319684	-0.34039
1	6	-1.59758	2.51182	0.975908
2	6	-1.64643	-2.33573	1.71269
3	6	2.50389	1.10451	-2.27069
4	6	1.06821	1.03525	-1.45379
5	6	-0.851539	0.59894	-0.259522
6	6	0.375382	-1.7478	0.461797
7	6	0.827008	0.24746	-3.10061
8	6	-1.2564	1.49283	-2.13265
9	6	-0.883848	0.0175804	-1.08539
0	7	1.4512	-0.234015	-1.10293
1	7	-1.37119	3.42268	0.630822
2	7	-2.44956	-1.76233	1.87455
3	7	1.84975	0.681209	-1.64386
4	7	1.14085	0.67301	-0.524538
5	7	-0.717648	0.574782	-1.25022
6	7	0.694821	-1.2325	-0.333453
7	7	0.27842	0.985124	-3.49419
8	7	-2.21613	1.23441	-2.02249
9	7	-0.975596	-0.788011	-0.500061
0	8	0.998055	-0.455792	-0.239521
1	8	-0.9511	3.6127	-0.256542
2	8	-3.36955	-2.14528	1.79106
3	8	2.41257	0.895684	-0.845594
4	8	0.806572	0.557116	-1.45986
5	8	0.217442	0.867502	-1.45003
6	8	0.0286658	-1.41903	0.388657
7	8	0.512983	1.04319	-4.46455
8	8	-3.14444	1.0343	-2.33585
9	8	-0.21663	-0.648365	0.135918
0	9	0.26078	-0.674307	0.399758
1	9	-0.18081	3.01268	-0.472478
2	9	-3.35207	-1.71794	0.887129
3	9	2.03428	0.647845	0.0463022
4	9	1.7221	0.202115	-1.2707
5	9	0.0308748	1.59518	-2.11009
6	9	-0.0107589	-1.46594	1.38678
7	9	1.33678	0.97877	-3.90134
8	9	-3.63593	1.84896	-2.64371
9	9	-0.351139	-0.96035	-0.804599
0	10	0.213704	-0.701425	1.39828
1	10	0.306203	2.91671	-1.34058
2	10	-3.89591	-1.01583	0.427482
3	10	1.97644	-0.345851	0.142333
4	10	2.27076	0.761928	-0.649745
5	10	-0.289406	1.57006	-1.1631
6	10	0.185283	-1.61157	0.417057
7	10	1.18095	1.69346	-4.5832
8	10	-4.11007	0.986201	-2.81932
9	10	0.514737	-0.643202	-0.417719
0	11	0.219601	-0.903027	2.37773
1	11	-0.294735	3.5962	-0.919659
2	11	-3.02784	-1.1486	-0.0508767
3	11	1.85802	-0.417334	-0.848055
4	11	2.50385	1.43629	0.0509045
5	11	0.0604853	0.646399	-1.3194
6	11	-0.21734	-1.38435	-0.469659
7	11	1.61114	1.77223	-3.68391
8	11	-4.7394	0.23112	-2.63547
9	11	0.514677	0.0896118	-1.09815
0	12	0.452856	-0.276309	3.12125
1	12	-1.093	3.12566	-0.543683
2	12	-2.0412	-1.29695	-0.118237
3	12	1.27316	0.22361	-1.34517
4	12	2.53636	0.874518	-0.77575
5	12	0.144801	0.763495	-2.30893
6	12	-0.509981	-1.46372	0.483264
7	12	2.24164	1.49292	-2.95971
8	12	-5.16533	1.06566	-2.286
9	12	0.30722	-0.883939	-1.19386
0	13	0.490836	-1.27536	3.14253
1	13	-0.51925	3.86234	-0.185769
2	13	-2.7825	-1.45449	0.534191
3	13	1.70787	-0.00842699	-0.475008
4	13	2.47329	1.03205	0.209749
5	13	0.0904468	0.598871	-3.29379
6	13	-0.0876907	-1.20354	-0.385053
7	13	1.48961	1.60466	-3.6093
8	13	-4.54622	0.364875	-2.64042
9	13	0.283329	0.115622	-1.2114
0	14	-0.506368	-1.23938	3.20802
1	14	-0.629814	3.21737	0.570396
2	14	-2.70763	-1.47793	-0.462727
3	14	2.0316	0.68426	-1.11951
4	14	1.6354	1.57017	0.301139
5	14	-0.32055	0.11545	-2.52089
6	14	-0.0179323	-1.2811	-1.3796
7	14	2.1348	2.04491	-4.23373
8	14	-4.99162	1.2525	-2.5232
9	14	-0.297486	-0.0842104	-0.422271
0	15	-0.457557	-0.516602	3.89737
1	15	-0.0991176	4.05206	0.423239
2	15	-2.27686	-1.23948	-1.33311
3	15	2.415	0.686817	-0.195934
4	15	2.48498	1.11458	0.566924
5	15	0.119033	-0.55598	-3.1175
6	15	-0.0160584	-1.30425	-2.37933
7	15	1.82054	1.33763	-3.60049
8	15	-5.76584	0.659317	-2.74393
9	15	-0.718272	-0.149905	-1.32705
0	16	-1.31519	-1.0232	3.98586
1	16	-0.66774	4.23747	-0.378191
2	16	-2.42259	-0.901244	-0.403404
3	16	2.83612	1.57689	-0.0214925
4	16	3.12432	1.2985	-0.179683
5	16	0.36034	-0.710185	-2.15938
6	16	0.13153	-2.25876	-2.12024
7	16	1.3545	0.779075	-4.28666
8	16	-5.96806	0.653918	-1.7646
9	16	-1.35799	0.538532	-0.985269
0	17	-2.13182	-1.47528	3.62708
1	17	-0.351164	4.0573	0.553108
2	17	-2.45082	0.0274736	-0.773116
3	17	2.52194	1.37187	0.905469
4	17	3.95907	0.900583	-0.56027
5	17	0.320666	-0.326226	-1.23688
6	17	-0.600619	-2.81622	-2.51165
7	17	1.72412	0.634754	-3.36876
8	17	-6.12796	1.55541	-2.16678
9	17	-1.66349	0.268786	-0.072082
0	18	-1.99111	-1.25582	4.5925
1	18	-0.311389	3.61786	-0.344282
2	18	-3.08093	0.702933	-1.15616
3	18	3.45669	1.22129	1.22728
4	18	3.52133	0.661053	0.306339
5	18	0.399137	-0.145529	-2.21729
6	18	-0.403384	-3.58637	-3.11825
7	18	0.935814	1.24616	-3.29985
8	18	-5.42389	1.55592	-1.45665
9	18	-1.71112	0.231733	0.926095
0	19	-1.9857	-1.46817	3.61532
1	19	0.0349168	3.1452	0.466066
2	19	-2.14058	0.379143	-1.05171
3	19	4.1703	1.42282	0.556349
4	19	3.52436	0.664732	1.30633
5	19	0.460266	0.599852	-1.55346
6	19	-0.901364	-2.7267	-3.23217
7	19	0.412416	1.49186	-4.11575
8	19	-5.64249	1.51885	-0.48154
9	19	-2.33574	-0.379815	1.41175
0	20	-0.997336	-1.31618	3.60948
1	20	-0.381272	2.34664	0.900916
2	20	-2.41312	0.932943	-0.264924
3	20	4.37508	1.38647	1.53448
4	20	3.34805	0.496461	0.336483
5	20	0.377174	1.24016	-2.31707
6	20	-0.099384	-3.16898	-3.63369
7	20	-0.494142	1.07193	-4.07323
8	20	-5.46863	2.3799	-0.00365903
9	20	-1.94631	-0.807564	2.22746
