walk_id	step	x	y	z
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
0	1	-1	0	0
1	1	0	-1	0
2	1	0	0	-1
3	1	0	0	-1
4	1	1	0	0
5	1	0	1	0
6	1	0	0	1
7	1	1	0	0
8	1	-1	0	0
9	1	0	-1	0
0	2	0	0	0
1	2	0	-1	1
2	2	0	1	-1
3	2	1	0	-1
4	2	1	0	1
5	2	0	2	0
6	2	0	0	2
7	2	1	1	0
8	2	0	0	0
9	2	0	-1	1
0	3	0	-1	0
1	3	0	-2	1
2	3	-1	1	-1
3	3	2	0	-1
4	3	2	0	1
5	3	0	2	-1
6	3	0	0	1
7	3	1	2	0
8	3	0	1	0
9	3	0	0	1
0	4	1	-1	0
1	4	0	-3	1
2	4	-1	0	-1
3	4	2	0	0
4	4	3	0	1
5	4	0	1	-1
6	4	0	0	0
7	4	1	2	1
8	4	-1	1	0
9	4	0	-1	1
0	5	1	-1	1
1	5	0	-2	1
2	5	-1	0	0
3	5	3	0	0
4	5	3	0	2
5	5	1	1	-1
6	5	0	1	0
7	5	2	2	1
8	5	-1	2	0
9	5	0	-1	2
0	6	1	-1	0
1	6	-1	-2	1
2	6	-1	-1	0
3	6	3	0	-1
4	6	2	0	2
5	6	1	1	-2
6	6	-1	1	0
7	6	2	1	1
8	6	-1	2	1
9	6	1	-1	2
0	7	2	-1	0
1	7	0	-2	1
2	7	-1	-2	0
3	7	3	-1	-1
4	7	2	0	1
5	7	1	1	-1
6	7	0	1	0
7	7	2	2	1
8	7	-1	1	1
9	7	1	-1	1
0	8	2	-2	0
1	8	1	-2	1
2	8	-1	-1	0
3	8	2	-1	-1
4	8	2	1	1
5	8	2	1	-1
6	8	0	0	0
7	8	3	2	1
8	8	-1	2	1
9	8	0	-1	1
0	9	2	-3	0
1	9	1	-2	2
2	9	0	-1	0
3	9	2	-2	-1
4	9	2	1	0
5	9	3	1	-1
6	9	0	-1	0
7	9	3	2	0
8	9	-1	3	1
9	9	0	-1	2
0	10	2	-4	0
1	10	1	-2	3
2	10	0	0	0
3	10	2	-2	-2
4	10	1	1	0
5	10	3	0	-1
6	10	0	-1	1
7	10	4	2	0
8	10	-1	3	2
9	10	-1	-1	2
0	11	2	-4	-1
1	11	1	-3	3
2	11	0	0	1
3	11	2	-1	-2
4	11	0	1	0
5	11	3	0	0
6	11	0	0	1
7	11	3	2	0
8	11	-1	2	2
9	11	0	-1	2
0	12	1	-4	-1
1	12	1	-4	3
2	12	0	0	2
3	12	2	0	-2
4	12	0	1	1
5	12	4	0	0
6	12	0	-1	1
7	12	3	2	-1
8	12	-2	2	2
9	12	0	-1	3
0	13	1	-4	-2
1	13	0	-4	3
2	13	0	-1	2
3	13	2	0	-3
4	13	-1	1	1
5	13	4	0	1
6	13	1	-1	1
7	13	3	3	-1
8	13	-2	2	3
9	13	1	-1	3
0	14	1	-5	-2
1	14	0	-4	2
2	14	0	-1	3
3	14	3	0	-3
4	14	-1	0	1
5	14	4	-1	1
6	14	1	-1	2
7	14	4	3	-1
8	14	-3	2	3
9	14	1	-2	3
0	15	0	-5	-2
1	15	1	-4	2
2	15	1	-1	3
3	15	2	0	-3
4	15	-1	0	0
5	15	4	-1	2
6	15	1	-1	3
7	15	4	3	-2
8	15	-3	3	3
9	15	1	-1	3
0	16	0	-6	-2
1	16	1	-3	2
2	16	0	-1	3
3	16	1	0	-3
4	16	0	0	0
5	16	4	-1	1
6	16	1	-1	2
7	16	4	4	-2
8	16	-3	2	3
9	16	1	-2	3
0	17	0	-5	-2
1	17	1	-3	1
2	17	1	-1	3
3	17	1	-1	-3
4	17	0	0	1
5	17	3	-1	1
6	17	1	0	2
7	17	4	4	-3
8	17	-2	2	3
9	17	1	-3	3
0	18	-1	-5	-2
1	18	1	-3	2
2	18	1	0	3
3	18	1	-1	-4
4	18	0	-1	1
5	18	4	-1	1
6	18	1	0	3
7	18	4	3	-3
8	18	-3	2	3
9	18	1	-4	3
0	19	-1	-5	-1
1	19	1	-3	1
2	19	1	0	2
3	19	2	-1	-4
4	19	-1	-1	1
5	19	3	-1	1
6	19	1	1	3
7	19	4	4	-3
8	19	-3	1	3
9	19	1	-5	3
0	20	0	-5	-1
1	20	1	-3	0
2	20	0	0	2
3	20	2	-1	-5
4	20	-1	0	1
5	20	4	-1	1
6	20	1	1	4
7	20	4	3	-3
8	20	-4	1	3
9	20	1	-5	2
0	21	0	-4	-1
1	21	0	-3	0
2	21	-1	0	2
3	21	3	-1	-5
4	21	0	0	1
5	21	4	-1	0
6	21	1	1	5
7	21	4	3	-2
8	21	-4	1	2
9	21	1	-5	1
0	22	1	-4	-1
1	22	0	-3	1
2	22	-1	0	1
3	22	3	-2	-5
4	22	-1	0	1
5	22	5	-1	0
6	22	1	1	6
7	22	4	4	-2
8	22	-4	2	2
9	22	0	-5	1
0	23	2	-4	-1
1	23	0	-3	2
2	23	0	0	1
3	23	3	-2	-4
4	23	-1	1	1
5	23	6	-1	0
6	23	1	2	6
7	23	5	4	-2
8	23	-4	2	1
9	23	0	-6	1
0	24	2	-4	-2
1	24	0	-3	1
2	24	0	0	0
3	24	3	-2	-5
4	24	-2	1	1
5	24	7	-1	0
6	24	2	2	6
7	24	6	4	-2
8	24	-3	2	1
9	24	0	-5	1
0	25	2	-4	-1
1	25	-1	-3	1
2	25	1	0	0
3	25	3	-3	-5
4	25	-2	1	2
5	25	7	-1	-1
6	25	3	2	6
7	25	6	5	-2
8	25	-3	1	1
9	25	0	-5	2
0	26	2	-5	-1
1	26	-1	-4	1
2	26	1	1	0
3	26	3	-2	-5
4	26	-2	0	2
5	26	7	-2	-1
6	26	3	3	6
7	26	6	5	-1
8	26	-3	1	0
9	26	0	-5	1
0	27	2	-5	0
1	27	-2	-4	1
2	27	1	0	0
3	27	3	-1	-5
4	27	-2	0	3
5	27	6	-2	-1
6	27	4	3	6
7	27	6	6	-1
8	27	-3	1	-1
9	27	0	-5	0
0	28	2	-5	-1
1	28	-2	-4	2
2	28	1	0	-1
3	28	3	-1	-6
4	28	-2	0	4
5	28	6	-3	-1
6	28	4	4	6
7	28	6	7	-1
8	28	-3	0	-1
9	28	0	-4	0
0	29	2	-5	0
1	29	-2	-4	1
2	29	1	-1	-1
3	29	4	-1	-6
4	29	-1	0	4
5	29	6	-3	-2
6	29	4	4	7
7	29	6	8	-1
8	29	-4	0	-1
9	29	-1	-4	0
0	30	3	-5	0
1	30	-2	-3	1
2	30	1	-1	-2
3	30	4	-2	-6
4	30	-1	0	5
5	30	5	-3	-2
6	30	4	4	6
7	30	7	8	-1
8	30	-4	1	-1
9	30	-2	-4	0
0	31	2	-5	0
1	31	-3	-3	1
2	31	1	-2	-2
3	31	4	-3	-6
4	31	-1	0	6
5	31	5	-3	-1
6	31	5	4	6
7	31	8	8	-1
8	31	-4	2	-1
9	31	-2	-4	1
0	32	3	-5	0
1	32	-3	-4	1
2	32	1	-3	-2
3	32	4	-3	-5
4	32	0	0	6
5	32	5	-4	-1
6	32	5	4	7
7	32	9	8	-1
8	32	-5	2	-1
9	32	-2	-3	1
0	33	3	-4	0
1	33	-3	-4	0
2	33	1	-4	-2
3	33	4	-3	-4
4	33	0	1	6
5	33	5	-4	0
6	33	5	3	7
7	33	9	8	-2
8	33	-5	3	-1
9	33	-2	-3	2
0	34	2	-4	0
1	34	-3	-4	-1
2	34	0	-4	-2
3	34	4	-3	-5
4	34	0	0	6
5	34	5	-4	-1
6	34	5	2	7
7	34	9	8	-3
8	34	-5	2	-1
9	34	-3	-3	2
0	35	3	-4	0
1	35	-3	-3	-1
2	35	0	-4	-1
3	35	4	-4	-5
4	35	0	0	5
5	35	4	-4	-1
6	35	5	3	7
7	35	9	8	-2
8	35	-4	2	-1
9	35	-3	-4	2
0	36	2	-4	0
1	36	-4	-3	-1
2	36	1	-4	-1
3	36	4	-3	-5
4	36	0	-1	5
5	36	4	-5	-1
6	36	5	3	8
7	36	9	8	-1
8	36	-5	2	-1
9	36	-4	-4	2
0	37	1	-4	0
1	37	-4	-3	-2
2	37	1	-4	-2
3	37	4	-4	-5
4	37	0	-2	5
5	37	3	-5	-1
6	37	6	3	8
7	37	9	8	0
8	37	-5	2	0
9	37	-4	-3	2
0	38	1	-5	0
1	38	-3	-3	-2
2	38	2	-4	-2
3	38	4	-4	-6
4	38	0	-3	5
