step	block_ave	err
0	1	0
1	1.32012	0.00217233
2	1.6236	0.00263949
3	1.8628	0.00680262
4	2.07801	0.0102088
5	2.26819	0.00996261
6	2.44561	0.00947898
7	2.61156	0.00981299
8	2.76416	0.00976025
9	2.91034	0.0100771
10	3.04852	0.0118145
11	3.18375	0.013728
12	3.31585	0.0151684
13	3.43779	0.0150621
14	3.56028	0.0162082
15	3.67449	0.0178369
16	3.78714	0.0181506
17	3.89728	0.0196051
18	4.00248	0.0186913
19	4.09209	0.0189952
20	4.19332	0.020179
21	4.28791	0.0211498
22	4.38225	0.0211582
23	4.47805	0.0211058
24	4.57078	0.0211159
25	4.66088	0.0210355
26	4.75458	0.0235663
27	4.85142	0.0239422
28	4.94153	0.023178
29	5.02424	0.024141
30	5.10569	0.0253769
31	5.18767	0.0261929
32	5.26735	0.0255546
33	5.34649	0.0261389
34	5.42543	0.0271255
35	5.50394	0.0271378
36	5.5795	0.0275944
37	5.65198	0.0278481
38	5.72941	0.0286064
39	5.80093	0.028956
40	5.86889	0.0292718
41	5.94122	0.0289838
42	6.01204	0.0280938
43	6.07815	0.0283998
44	6.14592	0.0285058
45	6.20903	0.0287875
46	6.27435	0.0285721
47	6.34103	0.0296707
48	6.40546	0.0292255
49	6.46391	0.0289946
50	6.52803	0.029861
51	6.59407	0.0288361
52	6.66101	0.0284067
53	6.71837	0.0294853
54	6.77423	0.0317323
55	6.84069	0.0317826
56	6.89825	0.0313797
57	6.95857	0.0314124
58	7.01781	0.0327258
59	7.07689	0.0327337
60	7.14006	0.0326665
61	7.21142	0.0331786
62	7.2706	0.033651
63	7.32899	0.0350398
64	7.38803	0.0352166
65	7.44726	0.0353002
66	7.50598	0.0345365
67	7.56407	0.0356404
68	7.61715	0.0360987
69	7.6673	0.0365698
70	7.71406	0.0366064
71	7.76628	0.0365104
72	7.8197	0.0363696
73	7.87353	0.0352703
74	7.92938	0.0354922
75	7.97456	0.0359468
76	8.01028	0.0359665
77	8.05973	0.03659
78	8.11136	0.0357882
79	8.16328	0.0357671
80	8.21246	0.0361347
81	8.26543	0.0374566
82	8.3132	0.0372992
83	8.35739	0.0371499
84	8.41307	0.03739
85	8.46637	0.0377126
86	8.51769	0.0386422
87	8.58149	0.03802
88	8.65113	0.0385899
89	8.69667	0.039118
90	8.74358	0.0392822
91	8.78722	0.0395131
92	8.83892	0.0389833
93	8.88516	0.0386302
94	8.93266	0.0386912
95	8.97515	0.0383043
96	9.00949	0.0385136
97	9.04646	0.0389797
98	9.07898	0.0390187
99	9.12511	0.0393695
