block	ave	block_ave	err
0	1.00009	1.00009	0
1	1.00077	1.00043	0.00033782
2	1.00053	1.00046	0.000197594
3	1.00053	1.00048	0.000140701
4	0.999739	1.00033	0.000183887
5	1.00081	1.00041	0.000169855
6	0.999933	1.00034	0.00015892
7	0.999995	1.0003	0.000144324
8	0.999902	1.00025	0.000134684
9	1.00027	1.00026	0.00012048
10	0.999774	1.00021	0.000117478
11	1.00031	1.00022	0.000107567
12	1.00048	1.00024	0.000100879
13	1.00035	1.00025	9.37508e-05
14	1.00017	1.00024	8.74204e-05
15	1.00087	1.00028	9.0631e-05
16	1.00035	1.00029	8.52217e-05
17	1.0004	1.00029	8.0594e-05
18	0.999969	1.00028	7.81178e-05
19	1.0001	1.00027	7.46299e-05
20	1.00108	1.00031	8.07656e-05
21	1.00041	1.00031	7.71655e-05
22	0.999767	1.00029	7.74332e-05
23	0.999861	1.00027	7.62282e-05
24	1.00069	1.00029	7.50399e-05
25	0.999972	1.00027	7.30992e-05
26	0.999769	1.00026	7.27837e-05
27	0.999932	1.00024	7.10838e-05
28	1	1.00024	6.90946e-05
29	0.998757	1.00019	8.29704e-05
30	0.999862	1.00018	8.09269e-05
31	1.00058	1.00019	7.93796e-05
32	1.00009	1.00019	7.69923e-05
33	1.00076	1.0002	7.65646e-05
34	1.00082	1.00022	7.64289e-05
35	0.999989	1.00021	7.45535e-05
36	0.999939	1.00021	7.28885e-05
37	1.00003	1.0002	7.10888e-05
38	1.00002	1.0002	6.9406e-05
39	1.00029	1.0002	6.76876e-05
40	1.00065	1.00021	6.69211e-05
41	1.0001	1.00021	6.53599e-05
42	1.00012	1.00021	6.38574e-05
43	0.999578	1.00019	6.39979e-05
44	1.00047	1.0002	6.28688e-05
45	0.999981	1.00019	6.16669e-05
46	1.0012	1.00021	6.40058e-05
47	0.99982	1.00021	6.31937e-05
48	0.999964	1.0002	6.20879e-05
49	1.0005	1.00021	6.11295e-05
50	1.00064	1.00022	6.05284e-05
51	0.999493	1.0002	6.09571e-05
52	0.999713	1.00019	6.05018e-05
53	0.99976	1.00018	5.99086e-05
54	1.00077	1.0002	5.97723e-05
55	1.00023	1.0002	5.86979e-05
56	1.00053	1.0002	5.79638e-05
57	0.999786	1.00019	5.74039e-05
58	1.00038	1.0002	5.6512e-05
59	1.00032	1.0002	5.55976e-05
60	1.00053	1.00021	5.49446e-05
61	1.0004	1.00021	5.41406e-05
62	1.00025	1.00021	5.32784e-05
63	1.00004	1.00021	5.25065e-05
64	0.999556	1.0002	5.26517e-05
65	1.00023	1.0002	5.18504e-05
66	0.999794	1.00019	5.14229e-05
67	0.999681	1.00018	5.12118e-05
68	0.999983	1.00018	5.05472e-05
69	0.999659	1.00017	5.03731e-05
70	0.999578	1.00016	5.03614e-05
71	0.999467	1.00015	5.05929e-05
72	1.00007	1.00015	4.99072e-05
73	0.999948	1.00015	4.93069e-05
74	0.999498	1.00014	4.94167e-05
75	0.999665	1.00014	4.91654e-05
76	1.00009	1.00014	4.85266e-05
77	0.999751	1.00013	4.81529e-05
78	1.00065	1.00014	4.7995e-05
79	1.0006	1.00014	4.77483e-05
80	1.00015	1.00014	4.71552e-05
81	1.00023	1.00014	4.65888e-05
82	1.00008	1.00014	4.60315e-05
83	0.999906	1.00014	4.55675e-05
84	1.00021	1.00014	4.50359e-05
85	0.999958	1.00014	4.45603e-05
86	1.00016	1.00014	4.40461e-05
87	1.00034	1.00014	4.36041e-05
88	1.00105	1.00015	4.42943e-05
89	0.999924	1.00015	4.38725e-05
90	1.00035	1.00015	4.34461e-05
91	1.0003	1.00015	4.30015e-05
92	1.00026	1.00015	4.25516e-05
93	0.999922	1.00015	4.21688e-05
94	1.00029	1.00015	4.17472e-05
95	1.00031	1.00015	4.1343e-05
96	1	1.00015	4.0945e-05
97	1.00059	1.00016	4.07703e-05
98	0.999811	1.00015	4.05082e-05
99	0.999984	1.00015	4.01371e-05
