block	ave	block_ave	err
0	1.00023	1.00023	0
1	0.998716	0.99947	0.000754594
2	1.00172	1.00022	0.000866268
3	0.999722	1.00009	0.000625016
4	1.00006	1.00009	0.000484199
5	0.99954	0.999996	0.00040571
6	1.00185	1.00026	0.000433237
7	1.00057	1.0003	0.000377146
8	0.999453	1.00021	0.000345643
9	1.00119	1.0003	0.00032433
10	1.00196	1.00045	0.000329768
11	1.0009	1.00049	0.000303286
12	1.00055	1.0005	0.000279017
13	1.0016	1.00057	0.000270004
14	1.00009	1.00054	0.000253386
15	1.00175	1.00062	0.000248793
16	0.999327	1.00054	0.000245722
17	1.00011	1.00052	0.000232899
18	0.998784	1.00043	0.000238441
19	1.00026	1.00042	0.000226358
20	1.00174	1.00048	0.000224294
21	0.999581	1.00044	0.000217734
22	0.999604	1.0004	0.000211204
23	1.00242	1.00049	0.000218997
24	0.999805	1.00046	0.000211822
25	0.998308	1.00038	0.000219705
26	1.00053	1.00038	0.000211486
27	0.998419	1.00031	0.000215532
28	1.00074	1.00033	0.000208483
29	1.00225	1.00039	0.000211376
30	1.00149	1.00043	0.000207487
31	0.999493	1.0004	0.000203011
32	0.999428	1.00037	0.000198948
33	1.00017	1.00036	0.000193098
34	1.00001	1.00035	0.000187768
35	1.00051	1.00036	0.000182531
36	1.00182	1.0004	0.000181895
37	1.00028	1.00039	0.000177068
38	1.00213	1.00044	0.000178154
39	0.998867	1.0004	0.000178028
40	0.997157	1.00032	0.000190786
41	0.999466	1.0003	0.000187295
42	1.00132	1.00032	0.00018442
43	1.00176	1.00036	0.000183131
44	1.00217	1.0004	0.000183478
45	0.998984	1.00037	0.000182052
46	1.00157	1.00039	0.000179961
47	0.999402	1.00037	0.000177372
48	0.999868	1.00036	0.000174017
49	0.999378	1.00034	0.000171629
50	0.998112	1.0003	0.000173815
51	1.00095	1.00031	0.000170898
52	1.00172	1.00034	0.000169743
53	1.00004	1.00033	0.000166663
54	0.999014	1.00031	0.000165347
55	0.999355	1.00029	0.000163254
56	1.00079	1.0003	0.000160608
57	0.99849	1.00027	0.000160865
58	0.999596	1.00026	0.000158525
59	1.00175	1.00028	0.000157826
60	0.998762	1.00026	0.000157202
61	1.00103	1.00027	0.000155143
62	1.00108	1.00028	0.0001532
63	1.00046	1.00028	0.000150813
64	1.00109	1.0003	0.000148998
65	1.00163	1.00032	0.000148117
66	0.999912	1.00031	0.000146015
67	1.00142	1.00033	0.000144779
68	0.998833	1.00031	0.0001443
69	1.0031	1.00035	0.000147726
70	1.00026	1.00034	0.000145635
71	1.00047	1.00035	0.000143609
72	1.0001	1.00034	0.000141666
73	0.999831	1.00034	0.00013991
74	1.00106	1.00035	0.000138372
75	1.00016	1.00034	0.000136562
76	1.00232	1.00037	0.000137212
77	1.0023	1.00039	0.000137676
78	0.996534	1.00034	0.000144437
79	0.9991	1.00033	0.000143465
80	0.999217	1.00032	0.000142346
81	1.00154	1.00033	0.000141392
82	0.998033	1.0003	0.000142393
83	1.00012	1.0003	0.000140705
84	1.00026	1.0003	0.000139041
85	1.00005	1.0003	0.000137445
86	0.999421	1.00029	0.000136229
87	0.998965	1.00027	0.000135507
88	0.99848	1.00025	0.00013548
89	1.00059	1.00026	0.00013402
90	0.998347	1.00023	0.000134188
91	0.99975	1.00023	0.000132826
92	0.998786	1.00021	0.000132302
93	1.00083	1.00022	0.00013105
94	0.999139	1.00021	0.000130161
95	1.00235	1.00023	0.000130709
96	1.00138	1.00024	0.000129893
97	1.0005	1.00025	0.000128588
98	0.999487	1.00024	0.000127513
99	1.00186	1.00025	0.000127268
