block	ave	block_ave	err
0	0.994055	0.994055	0
1	0.998809	0.996432	0.00237704
2	1.00141	0.99809	0.00215216
3	1.00101	0.998821	0.00168832
4	1.00174	0.999405	0.00143221
5	1.00463	1.00028	0.0014582
6	0.993518	0.999311	0.00156559
7	0.997753	0.999116	0.00136976
8	0.99934	0.999141	0.00120827
9	1.00392	0.999619	0.00118181
10	1.00024	0.999676	0.00107049
11	1.00207	0.999876	0.00099742
12	0.999195	0.999823	0.000918986
13	0.996353	0.999575	0.000886185
14	0.998321	0.999492	0.000829221
15	1.00294	0.999707	0.000804982
16	1.00051	0.999754	0.000757625
17	0.990985	0.999267	0.000864612
18	1.00146	0.999383	0.000825979
19	0.995476	0.999187	0.000807571
20	1.00145	0.999295	0.00077565
21	0.996058	0.999148	0.000754052
22	0.997815	0.99909	0.000722847
23	0.998405	0.999061	0.000692661
24	1.00609	0.999343	0.000721456
25	0.99951	0.999349	0.000693182
26	0.995308	0.999199	0.000683599
27	1.00135	0.999276	0.000663201
28	1.00588	0.999504	0.000679201
29	0.999468	0.999503	0.000656172
30	0.998209	0.999461	0.000636024
31	0.999691	0.999468	0.000615869
32	0.993089	0.999275	0.000627436
33	0.99044	0.999015	0.00066185
34	1.00298	0.999128	0.000652562
35	1.00463	0.999281	0.000652302
36	1.00052	0.999315	0.000635315
37	1.00868	0.999561	0.000665652
38	1.00676	0.999746	0.000674118
39	1.00762	0.999942	0.000685878
40	1.00107	0.99997	0.000669502
41	1.00533	1.0001	0.000665702
42	0.997315	1.00003	0.000653248
43	0.999393	1.00002	0.000638394
44	0.991369	0.999826	0.000652971
45	0.997843	0.999783	0.000640072
46	0.999431	0.999775	0.00062635
47	0.996654	0.99971	0.0006166
48	1.00538	0.999826	0.000614885
49	0.999618	0.999822	0.000602476
50	0.996074	0.999748	0.0005951
51	1.00473	0.999844	0.000591357
52	0.997893	0.999807	0.000581259
53	0.99916	0.999795	0.000570519
54	0.998535	0.999772	0.000560519
55	0.998134	0.999743	0.000551195
56	0.998853	0.999728	0.000541664
57	0.996111	0.999665	0.000535882
58	0.998329	0.999643	0.000527208
59	1.00382	0.999712	0.000523007
60	0.989029	0.999537	0.00054336
61	1.00408	0.99961	0.000539519
62	1.0018	0.999645	0.000532024
63	0.997905	0.999618	0.00052435
64	1.00213	0.999657	0.00051766
65	1.00765	0.999778	0.000523937
66	1.00065	0.999791	0.000516221
67	1.00189	0.999821	0.000509506
68	1.00743	0.999932	0.00051404
69	1.0078	1.00004	0.000518976
70	0.994096	0.99996	0.000518429
71	1.0012	0.999978	0.000511465
72	0.999629	0.999973	0.000504433
73	0.99882	0.999957	0.000497813
74	0.991822	0.999849	0.000502968
75	1.00959	0.999977	0.000512576
76	1.00165	0.999999	0.000506344
77	1.00837	1.00011	0.000511197
78	1.00554	1.00017	0.000509344
79	0.994916	1.00011	0.000507214
80	0.992401	1.00001	0.000509872
81	1.01115	1.00015	0.000521599
82	1.00065	1.00016	0.000515311
83	0.994307	1.00009	0.000513878
84	0.99615	1.00004	0.000509903
85	0.993212	0.99996	0.000510153
86	1.00274	0.999992	0.000505269
87	1.00331	1.00003	0.000500914
88	1.00471	1.00008	0.000498036
89	1.00635	1.00015	0.00049737
90	0.999377	1.00014	0.000491948
91	1.00107	1.00015	0.000486675
92	1.00176	1.00017	0.000481724
93	1.00642	1.00024	0.000481183
94	0.999527	1.00023	0.00047615
95	0.99277	1.00015	0.000477529
96	1.00381	1.00019	0.000474086
97	1.00732	1.00026	0.000474832
98	0.996533	1.00023	0.000471519
99	0.99848	1.00021	0.000467106
