step	block_ave	err
0	1	0
1	1.27422	0.00708364
2	1.62875	0.00511292
3	1.84145	0.00687662
4	2.08723	0.00830251
5	2.26181	0.00861434
6	2.46017	0.0080178
7	2.61757	0.00897081
8	2.77334	0.00915119
9	2.90749	0.00969242
10	3.05497	0.0101314
11	3.18024	0.0110119
12	3.32339	0.0114394
13	3.4477	0.0114445
14	3.57756	0.012632
15	3.69017	0.0145678
16	3.80896	0.0146212
17	3.92112	0.014784
18	4.03019	0.0150245
19	4.13313	0.0150191
20	4.2322	0.0169976
21	4.32826	0.0172445
22	4.42332	0.0177607
23	4.51564	0.0184028
24	4.60874	0.0183262
25	4.69081	0.0193717
26	4.7821	0.0193187
27	4.86759	0.0193893
28	4.96066	0.0192866
29	5.04903	0.020438
30	5.13286	0.0208677
31	5.21292	0.0206248
32	5.29076	0.0208042
33	5.36303	0.0206694
34	5.44196	0.020811
35	5.52146	0.0216146
36	5.59512	0.0229839
37	5.66903	0.0243768
38	5.74444	0.0245152
39	5.81487	0.0256904
40	5.88984	0.0262871
41	5.95697	0.0257989
42	6.03182	0.0258776
43	6.09278	0.026408
44	6.16718	0.0262033
45	6.2343	0.0258687
46	6.29281	0.0254927
47	6.37226	0.0266502
48	6.44458	0.026711
49	6.51315	0.0267204
50	6.57388	0.0275852
51	6.64634	0.0276228
52	6.70792	0.0275074
53	6.77136	0.0278966
54	6.8234	0.0284192
55	6.88826	0.0288125
56	6.95377	0.0287919
57	7.00848	0.0288123
58	7.06702	0.0295356
59	7.12136	0.029472
60	7.18289	0.0298464
61	7.25498	0.0303054
62	7.3089	0.0307718
63	7.35947	0.0314547
64	7.42719	0.0313978
65	7.48084	0.0311838
66	7.53699	0.0302404
67	7.59694	0.0303094
68	7.65159	0.031248
69	7.71624	0.0311845
70	7.76582	0.0302237
71	7.82982	0.029942
72	7.88579	0.0298846
73	7.93128	0.030142
74	7.98167	0.0302067
75	8.02119	0.0304377
76	8.07103	0.0313017
77	8.11578	0.0301891
78	8.16776	0.0305864
79	8.21376	0.0307123
80	8.26941	0.0318742
81	8.32085	0.0327729
82	8.37616	0.0335587
83	8.42025	0.0344309
84	8.46849	0.0345862
85	8.52248	0.0347869
86	8.57258	0.0351524
87	8.6329	0.0351753
88	8.70422	0.036325
89	8.75256	0.0373744
90	8.80532	0.0380868
91	8.84818	0.0387864
92	8.90166	0.0394182
93	8.95429	0.0391097
94	9.00486	0.0392005
95	9.04941	0.0391778
96	9.0978	0.0387539
97	9.13963	0.0386046
98	9.20167	0.0387455
99	9.24538	0.0385638
