t	S
1	113.931
0.01	98.1129
0.02	95.6971
0.03	99.0252
0.04	102.139
0.05	103.491
0.06	108.098
0.07	106.708
0.08	104.73
0.09	104.379
0.1	104.479
0.11	105.217
0.12	105.406
0.13	102.511
0.14	102.715
0.15	100.316
0.16	97.3895
0.17	98.0088
0.18	98.221
0.19	101.198
0.2	98.6749
0.21	99.5537
0.22	102.729
0.23	102.247
0.24	104.132
0.25	103.385
0.26	107.878
0.27	109.901
0.28	115.856
0.29	121.333
0.3	122.963
0.31	126.816
0.32	119.683
0.33	119.745
0.34	119.082
0.35	122.625
0.36	124.847
0.37	123.474
0.38	125.088
0.39	129.688
0.4	130.962
0.41	127.603
0.42	128.853
0.43	133.464
0.44	131.998
0.45	126.841
0.46	130.318
0.47	124.337
0.48	126.918
0.49	129.891
0.5	132.431
0.51	139.999
0.52	138.288
0.53	144.539
0.54	149.084
0.55	152.986
0.56	154.949
0.57	159.266
0.58	155.637
0.59	161.573
0.6	161.918
0.61	161.159
0.62	158.503
0.63	166.359
0.64	167.732
0.65	169.451
0.66	175.5
0.67	177.308
0.68	181.899
0.69	191.937
0.7	191.832
0.71	187.428
0.72	182.321
0.73	182.285
0.74	183.499
0.75	183.091
0.76	185.835
0.77	186.728
0.78	198.938
0.79	198.116
0.8	198.318
0.81	190.669
0.82	195.093
0.83	197.995
0.84	196.39
0.85	188.489
0.86	182.848
0.87	178.467
0.88	178.561
0.89	176.667
0.9	172.634
0.91	173.538
0.92	177.889
0.93	182.807
0.94	186.501
0.95	186.453
0.96	189.227
0.97	197.593
0.98	201.813
0.99	200.433
1	196.185
