block	ave	block_ave	err
0	19.9457	19.9457	0
1	16.6376	18.2916	1.65405
2	13.2284	16.6039	1.93917
3	15.746	16.3894	1.38787
4	14.6244	16.0364	1.13152
5	16.9381	16.1867	0.936022
6	14.8686	15.9984	0.813184
7	16.1433	16.0165	0.704471
8	13.414	15.7273	0.685283
9	15.8287	15.7375	0.613019
10	14.1665	15.5947	0.572592
11	11.4593	15.25	0.626079
12	15.7318	15.2871	0.577099
13	15.0006	15.2666	0.534682
14	15.1996	15.2622	0.497782
15	17.4019	15.3959	0.484456
16	17.264	15.5058	0.468147
17	14.2909	15.4383	0.446503
18	15.7959	15.4571	0.422769
19	14.6286	15.4157	0.403207
20	12.3364	15.2691	0.410601
21	10.7543	15.0638	0.442019
22	14.9747	15.06	0.422382
23	17.9323	15.1796	0.421737
24	19.6075	15.3568	0.44159
25	13.7652	15.2955	0.428659
26	16.4119	15.3369	0.414545
27	14.0958	15.2926	0.401917
28	16.2987	15.3273	0.389359
29	13.9518	15.2814	0.37894
30	14.0627	15.2421	0.368615
31	13.3744	15.1837	0.361651
32	17.0679	15.2408	0.35514
33	18.218	15.3284	0.355489
34	17.8253	15.3997	0.352478
35	16.2727	15.424	0.343404
36	14.7359	15.4054	0.334511
37	12.2983	15.3236	0.3357
38	11.8369	15.2342	0.338981
39	16.6693	15.2701	0.33234
40	13.9348	15.2375	0.325765
41	14.7953	15.227	0.318088
42	13.9021	15.1962	0.312127
43	12.8201	15.1422	0.309695
44	12.617	15.0861	0.307892
45	15.9363	15.1045	0.301691
46	15.7792	15.1189	0.295551
47	9.91497	15.0105	0.308973
48	13.4462	14.9786	0.304281
49	16.4654	15.0083	0.299613
50	12.8215	14.9654	0.296793
51	17.0579	15.0057	0.293799
52	12.9512	14.9669	0.290797
53	16.6356	14.9978	0.28703
54	12.8543	14.9588	0.284445
55	12.2737	14.9109	0.283405
56	14.5937	14.9053	0.278444
57	15.3426	14.9129	0.273705
58	14.5649	14.907	0.269091
59	16.5146	14.9337	0.265921
60	13.4216	14.909	0.262698
61	15.1705	14.9132	0.258461
62	16.688	14.9413	0.25588
63	14.8538	14.94	0.251854
64	21.629	15.0429	0.268457
65	16.3122	15.0621	0.265056
66	13.3352	15.0363	0.26234
67	14.6487	15.0306	0.258516
68	14.5724	15.024	0.254828
69	14.9036	15.0223	0.251167
70	14.3826	15.0133	0.247768
71	17.4441	15.047	0.246625
72	14.4984	15.0395	0.243339
73	14.3254	15.0299	0.240222
74	18.8796	15.0812	0.242492
75	19.0171	15.133	0.244821
76	16.004	15.1443	0.241885
77	15.4081	15.1477	0.238787
78	17.0118	15.1713	0.236923
79	14.3542	15.1611	0.234166
80	14.7752	15.1563	0.231306
81	17.2932	15.1824	0.229949
82	12.8531	15.1543	0.228889
83	14.9729	15.1521	0.226158
84	15.5653	15.157	0.223534
85	12.7458	15.129	0.222692
86	18.2503	15.1648	0.223022
87	9.51224	15.1006	0.22964
88	17.0703	15.1227	0.228121
89	14.1078	15.1115	0.225854
90	15.4374	15.115	0.223387
91	11.776	15.0787	0.223906
92	18.7259	15.118	0.224931
93	15.4172	15.1211	0.222548
94	12.0784	15.0891	0.22251
95	14.269	15.0806	0.220346
96	14.0414	15.0699	0.218325
97	17.3605	15.0932	0.217346
98	13.6795	15.079	0.215613
99	15.3553	15.0817	0.213464
