block	ave	block_ave	err
0	13.8576	13.8576	0
1	13.9925	13.9251	0.0674634
2	13.8877	13.9126	0.0408975
3	11.9009	13.4097	0.503758
4	15.5055	13.8288	0.572687
5	16.5869	14.2885	0.655706
6	19.2869	15.0026	0.903869
7	11.1738	14.524	0.917488
8	15.7568	14.661	0.820662
9	17.0608	14.9009	0.772256
10	16.5245	15.0485	0.713954
11	15.4512	15.0821	0.652611
12	17.6518	15.2798	0.632021
13	18.8763	15.5367	0.639046
14	12.2262	15.316	0.634535
15	13.0075	15.1717	0.610837
16	16.0606	15.224	0.576159
17	12.4412	15.0694	0.564779
18	14.8657	15.0587	0.534335
19	12.3951	14.9255	0.524117
20	12.6347	14.8164	0.510329
21	17.4279	14.9351	0.50085
22	12.8796	14.8457	0.486851
23	19.0644	15.0215	0.498166
24	13.8413	14.9743	0.48015
25	11.1311	14.8265	0.484417
26	16.2578	14.8795	0.469135
27	17.5145	14.9736	0.461761
28	14.3941	14.9536	0.446002
29	17.6749	15.0443	0.440323
30	13.9954	15.0105	0.427224
31	13.3715	14.9593	0.416817
32	15.7108	14.9821	0.40463
33	13.4417	14.9367	0.395155
34	11.9826	14.8523	0.392872
35	14.997	14.8564	0.381824
36	16.0855	14.8896	0.372844
37	12.3545	14.8229	0.368981
38	11.5001	14.7377	0.369356
39	13.7714	14.7135	0.360813
40	15.3162	14.7282	0.35221
41	14.5907	14.7249	0.343737
42	18.8201	14.8202	0.348898
43	17.9425	14.8911	0.348184
44	13.8178	14.8673	0.341194
45	15.352	14.8778	0.33386
46	15.7218	14.8958	0.327173
47	14.6539	14.8907	0.320324
48	13.6659	14.8657	0.314713
49	13.9121	14.8467	0.308943
50	15.0337	14.8503	0.302847
51	16.301	14.8782	0.298274
52	15.4875	14.8897	0.292818
53	13.1103	14.8568	0.289227
54	15.8618	14.8751	0.284507
55	16.4426	14.903	0.280779
56	15.5937	14.9152	0.276075
57	19.027	14.9861	0.280384
58	16.2583	15.0076	0.276433
59	15.5023	15.0159	0.271912
60	14.7807	15.012	0.267445
61	17.7251	15.0558	0.26671
62	14.3712	15.0449	0.262668
63	12.2403	15.0011	0.262219
64	14.6628	14.9959	0.258205
65	16.5565	15.0195	0.25536
66	14.4452	15.0109	0.251666
67	17.8114	15.0521	0.251334
68	17.0672	15.0813	0.249381
69	14.6982	15.0759	0.245853
70	18.4703	15.1237	0.247036
71	15.6622	15.1311	0.243696
72	12.4798	15.0948	0.243063
73	12.0379	15.0535	0.243289
74	15.123	15.0544	0.240025
75	15.2126	15.0565	0.236855
76	15.286	15.0595	0.233777
77	15.3502	15.0632	0.230791
78	14.2454	15.0529	0.228086
79	15.6148	15.0599	0.225326
80	19.1364	15.1102	0.228147
81	15.8998	15.1199	0.225553
82	11.9509	15.0817	0.226067
83	12.3632	15.0493	0.225692
84	15.3897	15.0533	0.223056
85	16.4046	15.069	0.221007
86	14.0045	15.0568	0.218794
87	14.0277	15.0451	0.216609
88	16.8081	15.0649	0.215076
89	20.2743	15.1228	0.220409
90	15.1837	15.1235	0.217974
91	10.9543	15.0781	0.220303
92	16.3103	15.0914	0.218324
93	10.5409	15.043	0.221347
94	13.0559	15.0221	0.220002
95	15.7651	15.0298	0.217835
96	15.3017	15.0326	0.215596
97	12.5163	15.0069	0.214924
98	12.0122	14.9767	0.214882
99	14.0626	14.9675	0.212919
