block	ave	block_ave	err
0	3.95067	3.95067	0
1	6.01033	4.9805	1.02983
2	6.57407	5.51169	0.797295
3	3.75867	5.07343	0.714077
4	6.0483	5.26841	0.586479
5	5.57639	5.31974	0.481602
6	5.67021	5.3698	0.410095
7	5.62345	5.40151	0.356566
8	5.97734	5.46549	0.320904
9	5.90323	5.50927	0.290344
10	5.15107	5.4767	0.264637
11	7.33478	5.63154	0.286943
12	5.12092	5.59226	0.266855
13	5.76615	5.60468	0.247372
14	5.71758	5.61221	0.230414
15	4.8095	5.56204	0.221294
16	5.60654	5.56466	0.207886
17	4.71564	5.51749	0.201593
18	5.97009	5.54131	0.19217
19	4.35949	5.48222	0.191646
20	6.15365	5.51419	0.185074
21	5.99578	5.53608	0.177814
22	4.38582	5.48607	0.177114
23	5.14596	5.4719	0.170165
24	5.51052	5.47345	0.163224
25	5.66838	5.48094	0.157
26	4.41935	5.44163	0.156106
27	5.22847	5.43401	0.15062
28	5.14586	5.42408	0.145673
29	6.48979	5.4596	0.145147
30	6.55285	5.49487	0.144749
31	7.21528	5.54863	0.15011
32	4.55651	5.51857	0.148564
33	5.23748	5.5103	0.144365
34	5.08364	5.49811	0.140709
35	6.69463	5.53134	0.140726
36	5.02809	5.51774	0.137544
37	6.27973	5.5378	0.135369
38	5.90336	5.54717	0.132185
39	6.74457	5.5771	0.13227
40	6.78918	5.60667	0.132347
41	5.23536	5.59783	0.12946
42	6.14572	5.61057	0.127054
43	5.41385	5.6061	0.124213
44	5.36813	5.60081	0.121537
45	4.69806	5.58118	0.120475
46	5.5979	5.58154	0.117884
47	6.09034	5.59214	0.115888
48	6.04685	5.60142	0.113877
49	3.8812	5.56701	0.11676
50	5.50483	5.5658	0.114454
51	5.00309	5.55497	0.112752
52	5.08065	5.54602	0.110965
53	4.78467	5.53193	0.1098
54	5.42561	5.52999	0.107803
55	6.22648	5.54243	0.106588
56	4.66121	5.52697	0.105837
57	6.10651	5.53696	0.104475
58	6.17936	5.54785	0.103264
59	5.21887	5.54237	0.101677
60	5.90715	5.54835	0.100175
61	5.35368	5.54521	0.0985957
62	5.31986	5.54163	0.097084
63	5.3872	5.53922	0.0955855
64	4.37485	5.5213	0.0957933
65	4.27453	5.50241	0.0962036
66	7.06203	5.52569	0.0975742
67	5.71963	5.52854	0.0961709
68	6.21493	5.53849	0.0952875
69	4.88767	5.52919	0.0943755
70	5.9699	5.5354	0.0932436
71	4.48705	5.52084	0.0930852
72	5.50211	5.52058	0.0918016
73	5.16346	5.51576	0.0906811
74	4.94301	5.50812	0.0897891
75	4.41645	5.49376	0.0897567
76	6.58043	5.50787	0.0897004
77	6.32285	5.51832	0.0891573
78	6.23257	5.52736	0.0884846
79	5.95073	5.53265	0.0875317
80	5.56856	5.5331	0.0864454
81	5.70832	5.53523	0.0854115
82	5.65493	5.53667	0.0843885
83	3.82266	5.51627	0.0858383
84	6.67544	5.52991	0.0859117
85	6.65846	5.54303	0.085915
86	3.80835	5.52309	0.087231
87	5.54257	5.52331	0.0862343
88	4.80591	5.51525	0.0856401
89	5.05592	5.51015	0.0848369
90	4.85256	5.50292	0.08421
91	6.91131	5.51823	0.0846848
92	3.74559	5.49917	0.0859104
93	7.09956	5.51619	0.0866801
94	8.2417	5.54488	0.0904342
95	5.70245	5.54653	0.0895023
96	5.9138	5.55031	0.0886556
97	5.03741	5.54508	0.0879023
98	5.50041	5.54463	0.087011
99	5.74541	5.54663	0.0861599
