block	ave	block_ave	err
0	5.79103	5.79103	0
1	4.13526	4.96315	0.827882
2	4.50642	4.8109	0.501638
3	5.1217	4.8886	0.363122
4	5.85045	5.08097	0.340764
5	5.17846	5.09722	0.278707
6	3.85704	4.92005	0.294742
7	5.61842	5.00735	0.269769
8	5.73864	5.0886	0.251407
9	4.97234	5.07698	0.225165
10	5.41572	5.10777	0.205985
11	6.09195	5.18979	0.205145
12	5.01873	5.17663	0.189164
13	3.01793	5.02243	0.233338
14	6.2682	5.10549	0.232561
15	6.37451	5.1848	0.231549
16	3.65706	5.09493	0.235336
17	7.09037	5.20579	0.24803
18	6.22873	5.25963	0.240711
19	5.11067	5.25218	0.22848
20	5.32469	5.25563	0.217355
21	6.12874	5.29532	0.211006
22	5.19747	5.29107	0.201668
23	3.26104	5.20648	0.210797
24	6.61592	5.26286	0.209902
25	6.25128	5.30087	0.205219
26	5.3329	5.30206	0.197476
27	5.75206	5.31813	0.19097
28	4.46969	5.28888	0.186575
29	4.89369	5.2757	0.18073
30	4.11217	5.23817	0.178787
31	6.73488	5.28494	0.179317
32	3.92761	5.24381	0.178599
33	4.12032	5.21077	0.176389
34	6.34302	5.24312	0.174304
35	6.38533	5.27485	0.172339
36	4.73987	5.26039	0.168239
37	5.86529	5.2763	0.164523
38	8.33838	5.35482	0.17845
39	5.77302	5.36527	0.174245
40	4.64604	5.34773	0.170845
41	4.32731	5.32344	0.168489
42	5.48854	5.32728	0.164569
43	4.76401	5.31447	0.161294
44	6.01158	5.32997	0.158428
45	5.52844	5.33428	0.155006
46	4.65099	5.31974	0.152367
47	4.36516	5.29986	0.150479
48	5.93804	5.31288	0.14795
49	5.56687	5.31796	0.14505
50	4.93039	5.31036	0.14238
51	5.7015	5.31788	0.139818
52	4.74089	5.307	0.137586
53	7.12276	5.34062	0.139138
54	5.54294	5.3443	0.136634
55	5.88059	5.35388	0.134514
56	5.00117	5.34769	0.132278
57	4.07356	5.32572	0.13182
58	5.91181	5.33565	0.129947
59	5.86932	5.34455	0.128072
60	4.20357	5.32584	0.127336
61	5.41907	5.32735	0.125275
62	6.17791	5.34085	0.124007
63	5.44953	5.34255	0.122066
64	3.64268	5.31639	0.122986
65	5.36098	5.31707	0.12111
66	5.17417	5.31494	0.119308
67	3.75538	5.292	0.119757
68	5.01028	5.28792	0.118079
69	6.0167	5.29833	0.116845
70	5.08838	5.29537	0.115225
71	4.55112	5.28504	0.114083
72	6.52833	5.30207	0.113791
73	5.29972	5.30204	0.112243
74	5.32587	5.30235	0.110737
75	4.87712	5.29676	0.109413
76	4.78838	5.29016	0.108185
77	5.92518	5.2983	0.107098
78	6.17568	5.3094	0.106316
79	5.16399	5.30759	0.104994
80	4.43415	5.2968	0.104249
81	5.52664	5.29961	0.103008
82	5.86476	5.30642	0.101987
83	5.11963	5.30419	0.10079
84	5.28213	5.30393	0.0995975
85	5.66135	5.30809	0.0985202
86	4.99292	5.30447	0.0974486
87	5.76223	5.30967	0.0964752
88	4.35704	5.29896	0.0959837
89	4.93037	5.29487	0.0949996
90	4.93019	5.29086	0.0940352
91	6.01541	5.29874	0.0933403
92	5.89023	5.3051	0.09255
93	4.71213	5.29879	0.0917772
94	5.6768	5.30277	0.0908931
95	4.42836	5.29366	0.0904014
96	4.95808	5.2902	0.0895314
97	6.65735	5.30415	0.0897045
98	7.64162	5.32776	0.0918793
99	4.47871	5.31927	0.0913513
