TYPE	VALUE	ERROR
DIRECT	3.92397	0
DIRECT	4.90321	0.692428
DIRECT	5.46016	0.64799
DIRECT	5.09341	0.580578
DIRECT	5.24773	0.484538
DIRECT	5.30409	0.407047
DIRECT	5.38359	0.356576
DIRECT	5.38219	0.312007
DIRECT	5.47894	0.291956
DIRECT	5.49381	0.263139
DIRECT	5.46265	0.241054
DIRECT	5.61866	0.266716
DIRECT	5.58037	0.248932
DIRECT	5.59364	0.231505
DIRECT	5.60191	0.216218
DIRECT	5.55406	0.207932
DIRECT	5.55557	0.195706
DIRECT	5.5089	0.190315
DIRECT	5.53318	0.181839
DIRECT	5.47545	0.181681
DIRECT	5.50683	0.17572
DIRECT	5.52906	0.169132
DIRECT	5.4896	0.166316
DIRECT	5.46546	0.161129
DIRECT	5.46726	0.154694
DIRECT	5.475	0.148938
DIRECT	5.44481	0.14645
DIRECT	5.42849	0.142125
DIRECT	5.41875	0.137558
DIRECT	5.45445	0.137528
DIRECT	5.49506	0.138959
DIRECT	5.5438	0.142908
DIRECT	5.51388	0.141674
DIRECT	5.50777	0.137639
DIRECT	5.49369	0.134425
DIRECT	5.52705	0.134766
DIRECT	5.51535	0.131631
DIRECT	5.53623	0.129813
DIRECT	5.54765	0.126985
DIRECT	5.57324	0.126362
DIRECT	5.60305	0.126747
DIRECT	5.59415	0.124042
DIRECT	5.60826	0.121957
DIRECT	5.60258	0.119317
DIRECT	5.59737	0.11678
DIRECT	5.58054	0.115447
DIRECT	5.58184	0.112998
DIRECT	5.58892	0.110866
DIRECT	5.59826	0.108996
DIRECT	5.56392	0.112096
DIRECT	5.56276	0.109904
DIRECT	5.55277	0.108243
DIRECT	5.54311	0.106632
DIRECT	5.53211	0.105223
DIRECT	5.52718	0.103425
DIRECT	5.54366	0.102882
DIRECT	5.53085	0.101871
DIRECT	5.5343	0.100173
DIRECT	5.54523	0.0990698
DIRECT	5.54076	0.0975195
DIRECT	5.54775	0.0961714
DIRECT	5.54271	0.0947521
DIRECT	5.54325	0.0932496
DIRECT	5.5368	0.0920151
DIRECT	5.51893	0.0923196
DIRECT	5.50007	0.0928262
DIRECT	5.52415	0.094511
DIRECT	5.52983	0.0932917
DIRECT	5.53625	0.0921606
DIRECT	5.52699	0.0913086
DIRECT	5.53418	0.0903057
DIRECT	5.51986	0.0901796
DIRECT	5.51847	0.0889551
DIRECT	5.51367	0.0878823
DIRECT	5.50758	0.0869211
DIRECT	5.49482	0.0867097
DIRECT	5.50766	0.0865295
DIRECT	5.51634	0.0858541
DIRECT	5.52656	0.0853742
DIRECT	5.53072	0.0844082
DIRECT	5.53221	0.0833793
DIRECT	5.53335	0.0823702
DIRECT	5.53481	0.0813908
DIRECT	5.51641	0.0824757
DIRECT	5.52809	0.0823278
DIRECT	5.54123	0.0824131
DIRECT	5.52131	0.0838382
DIRECT	5.52156	0.0828859
DIRECT	5.51351	0.0823437
DIRECT	5.5101	0.0814994
DIRECT	5.50146	0.0810603
DIRECT	5.51655	0.0815707
DIRECT	5.49751	0.0828865
DIRECT	5.51455	0.0837386
DIRECT	5.54326	0.0876397
DIRECT	5.54492	0.0867425
DIRECT	5.54872	0.0859316
DIRECT	5.54446	0.08516
DIRECT	5.54307	0.0843112
DIRECT	5.54569	0.0835089
