x	y	z	r
18.7925	18.9437	20.7349	33.7929
18.2522	18.8705	20.9647	33.597
18.9083	17.5457	21.464	33.5571
18.9083	17.5457	21.464	33.5571
19.7917	16.0134	20.4026	32.6252
20.0235	15.3069	20.5494	32.5195
18.4788	15.5731	19.1563	30.8375
19.2937	14.7192	18.1748	30.3187
19.272	15.5385	18.108	30.6718
19.2537	14.7638	17.2737	29.7834
19.1634	15.0355	17.6475	30.0789
19.4209	13.7042	16.5571	28.9675
19.4209	13.7042	16.5571	28.9675
17.8986	14.2994	16.139	28.0232
18.3849	13.3837	16.7098	28.2196
17.0992	12.1708	17.2863	27.1905
17.3464	13.2588	15.8551	26.9829
17.1977	14.1093	17.36	28.217
17.1977	14.1093	17.36	28.217
17.1977	14.1093	17.36	28.217
16.0258	12.6804	18.0429	27.2611
14.7835	14.2339	17.7198	27.1136
14.0563	13.4383	17.8419	26.3913
13.3593	13.3792	16.2607	24.9376
12.4464	11.8363	15.0263	22.8211
12.6017	11.0652	13.8759	21.7665
13.8889	9.90007	13.0426	21.4714
13.8889	9.90007	13.0426	21.4714
12.9328	8.80919	13.6023	20.7336
11.5383	8.4889	13.0483	19.3766
13.095	7.98724	12.8463	20.0076
11.5868	9.09369	12.931	19.6
11.5868	9.09369	12.931	19.6
11.5868	9.09369	12.931	19.6
11.5868	9.09369	12.931	19.6
10.9162	9.99585	11.3667	18.6623
10.9162	9.99585	11.3667	18.6623
9.77945	9.22924	12.5081	18.3649
9.93241	7.91119	12.7894	18.0225
9.93241	7.91119	12.7894	18.0225
9.42565	8.74334	11.3155	17.1269
9.78664	7.82536	11.3037	16.8756
10.8698	9.40075	9.88468	17.4423
9.51886	8.07886	11.246	16.8033
10.4566	6.82732	10.7543	16.4805
10.4566	6.82732	10.7543	16.4805
11.7883	5.38462	9.40364	16.0121
11.7883	5.38462	9.40364	16.0121
11.7883	5.38462	9.40364	16.0121
11.0164	3.9769	8.22552	14.3121
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
9.45783	3.58721	7.11036	12.3643
10.2338	4.05587	5.51057	12.3104
10.2338	4.05587	5.51057	12.3104
10.6315	4.47512	4.2639	12.2978
11.6273	4.18083	5.68721	13.6021
11.6273	4.18083	5.68721	13.6021
10.6332	5.68302	4.89449	13.0122
10.0952	6.82827	5.84903	13.5185
11.5363	7.20633	4.72807	14.4004
11.6602	6.53117	4.85656	14.2198
11.2619	7.05242	3.78388	13.8161
10.2469	5.47985	3.547	12.1494
8.76334	4.54782	2.05135	10.084
8.20769	3.60688	2.09181	9.20606
8.1097	3.67187	2.42229	9.2259
6.67897	3.89178	3.71432	8.57617
5.18917	3.22796	4.01576	7.31256
4.31447	2.17262	2.65791	5.51357
3.09171	0.626406	2.39604	3.96132
1.90508	1.14662	1.90148	2.9257
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
0.949018	-0.25073	0.373624	1.05028
