x	y	z	r
49.0944	49.2078	50.5512	85.9481
48.6892	49.1529	50.7236	85.7876
49.1812	48.1593	51.098	85.727
49.1812	48.1593	51.098	85.727
49.8437	47.01	50.302	84.9978
50.0176	46.4802	50.412	84.8737
48.8591	46.6798	49.3672	83.6859
49.4703	46.0394	48.6311	83.2581
49.454	46.6539	48.581	83.5608
49.4403	46.0728	47.9553	82.8659
49.3726	46.2766	48.2356	83.1015
49.5657	45.2781	47.4178	82.1907
49.5657	45.2781	47.4178	82.1907
48.424	45.7246	47.1043	81.5747
48.7887	45.0378	47.5324	81.6582
47.8244	44.1281	47.9647	80.8398
48.0098	44.9441	46.8913	80.7695
47.8982	45.5819	48.02	81.7183
47.8982	45.5819	48.02	81.7183
47.8982	45.5819	48.02	81.7183
47.0194	44.5103	48.5322	80.9158
46.0876	45.6754	48.2898	80.884
45.5422	45.0787	48.3814	80.2929
45.0195	45.0344	47.1955	79.2608
44.3348	43.8772	46.2697	77.6639
44.4513	43.2989	45.4069	76.8928
45.4167	42.4251	44.7819	76.6028
45.4167	42.4251	44.7819	76.6028
44.6996	41.6069	45.2018	75.9762
43.6537	41.3667	44.7862	74.9844
44.8213	40.9904	44.6347	75.3752
43.6901	41.8203	44.6983	75.2044
43.6901	41.8203	44.6983	75.2044
43.6901	41.8203	44.6983	75.2044
43.6901	41.8203	44.6983	75.2044
43.1871	42.4969	43.525	74.6025
43.1871	42.4969	43.525	74.6025
42.3346	41.9219	44.3811	74.2923
42.4493	40.9334	44.5921	73.932
42.4493	40.9334	44.5921	73.932
42.0692	41.5575	43.4867	73.4026
42.34	40.869	43.4777	73.166
43.1524	42.0506	42.4135	73.6837
42.1391	41.0591	43.4345	73.1308
42.8425	40.1205	43.0657	72.7996
42.8425	40.1205	43.0657	72.7996
43.8412	39.0385	42.0527	72.2114
43.8412	39.0385	42.0527	72.2114
44.6195	39.3892	41.3026	72.4452
44.0405	38.3334	40.419	71.012
42.8716	38.0411	39.5826	69.6555
42.8716	38.0411	39.5826	69.6555
42.8716	38.0411	39.5826	69.6555
43.4034	38.2773	38.9789	69.7737
43.4034	38.2773	38.9789	69.7737
44.3334	37.9389	38.1344	69.7069
45.0383	37.4153	38.8761	70.283
45.0383	37.4153	38.8761	70.283
45.6202	37.7668	37.6763	70.1929
45.6202	37.7668	37.6763	70.1929
45.9185	38.0813	36.7413	70.0615
46.6654	37.8606	37.8088	70.997
46.6654	37.8606	37.8088	70.997
45.9198	38.9872	37.2142	70.8063
45.5163	39.8461	37.9301	71.4013
46.5971	40.1297	37.0894	71.8144
46.69	39.6233	37.1858	71.6432
46.3913	40.0142	36.3813	71.2523
45.6301	38.8348	36.2036	70.0068
44.5174	38.1358	35.0819	68.3145
44.1007	37.4301	35.1122	67.6664
44.1007	37.4301	35.1122	67.6664
43.0276	37.595	36.0812	67.5768
41.9103	37.0972	36.3073	66.715
41.2542	36.3057	35.2889	65.3094
40.3372	35.146	35.0925	63.9829
39.4472	35.5362	34.7216	63.4389
38.7302	34.4882	33.5757	61.7801
38.7302	34.4882	33.5757	61.7801
37.5367	34.2251	34.6988	61.5172
37.451	33.5123	35.4671	61.5107
37.227	34.5554	34.5682	61.4402
37.227	34.5554	34.5682	61.4402
37.227	34.5554	34.5682	61.4402
36.7873	34.5377	35.1376	61.4883
36.2508	34.1527	35.1296	60.9476
36.2508	34.1527	35.1296	60.9476
35.5095	34.5541	34.6612	60.4674
34.618	35.0268	34.6373	60.2081
34.7149	34.8702	35.0258	60.3976
34.7321	35.3881	34.7577	60.5536
33.793	34.2245	34.4166	59.1421
33.1386	34.0937	34.0933	58.5055
32.7876	33.8723	33.1168	57.6115
32.7876	33.8723	33.1168	57.6115
33.1716	32.9488	32.397	56.8818
33.4133	32.6819	32.5597	56.9622
32.5085	33.2677	32.8347	56.9356
33.2236	33.381	31.6584	56.7482
32.8371	33.4642	31.0978	56.2601
32.8371	33.4642	31.0978	56.2601
32.8371	33.4642	31.0978	56.2601
33.5174	33.6253	30.8673	56.6292
33.2493	32.8323	30.0593	55.5611
34.1495	32.3754	29.203	55.382
34.1495	32.3754	29.203	55.382
34.1495	32.3754	29.203	55.382
34.1495	32.3754	29.203	55.382
33.929	31.2959	30.1052	55.1084
34.3277	30.4305	28.9886	54.2655
33.2303	31.5484	29.8288	54.6746
33.5717	32.2935	29.1908	54.9731
33.01	31.6974	30.1682	54.8133
33.235	30.7402	29.6358	54.1092
32.4006	30.2853	30.3411	53.7363
33.4188	29.2514	31.1279	54.2347
33.6219	30.2131	30.5112	54.5362
33.6219	30.2131	30.5112	54.5362
33.6219	30.2131	30.5112	54.5362
