x	y	z	r
17.585	17.8875	21.4698	33.0173
16.5044	17.741	21.9295	32.6809
17.8166	15.0915	22.928	32.7243
20.4117	14.269	25.082	35.3462
22.1784	11.2043	22.9593	33.8312
22.642	9.7914	23.2528	33.9002
19.5527	10.3237	20.4665	30.1292
21.1825	8.61595	18.5036	29.4163
21.1392	10.2547	18.3701	29.8242
21.1024	8.70517	16.7014	28.2848
21.1024	8.70517	16.7014	28.2848
21.6174	6.04248	14.5207	26.7334
21.6174	6.04248	14.5207	26.7334
18.5729	7.23291	13.6845	24.1771
19.5454	5.40156	14.8261	25.12
16.9739	2.97571	15.979	23.501
17.4685	5.15174	13.1167	22.444
17.1709	6.85263	16.1264	24.5328
17.1709	6.85263	16.1264	24.5328
19.9861	8.85765	13.0412	25.4554
17.6425	5.99992	14.4071	23.5546
15.1578	9.10696	13.7609	22.4066
13.7034	7.5157	14.005	20.986
12.3095	7.39749	10.8427	17.9947
10.4837	4.31179	8.37393	14.0933
10.7942	2.76957	6.07298	12.6912
10.7942	2.76957	6.07298	12.6912
10.7942	2.76957	6.07298	12.6912
8.882	0.587794	7.19254	11.4441
6.09299	-0.0527709	6.08443	8.6109
9.20633	-1.05611	5.68051	10.8692
6.18999	1.1568	5.84988	8.59507
6.18999	1.1568	5.84988	8.59507
6.18999	1.1568	5.84988	8.59507
6.18999	1.1568	5.84988	8.59507
4.84867	2.96112	2.7212	6.29943
6.96212	5.27248	4.24831	9.71176
4.68868	3.73926	6.53121	8.86693
4.9946	1.10317	7.09379	8.74556
4.9946	1.10317	7.09379	8.74556
3.98107	2.76746	4.14605	6.37946
4.70305	0.931499	4.12228	6.32294
4.70305	0.931499	4.12228	6.32294
2.00109	-1.71228	6.84497	7.33416
2.00109	-1.71228	6.84497	7.33416
2.00109	-1.71228	6.84497	7.33416
4.66443	-4.59766	4.14367	7.75019
3.18953	-2.02245	5.27567	6.48815
3.18953	-2.02245	5.27567	6.48815
3.18953	-2.02245	5.27567	6.48815
0.0724697	-2.80183	3.04535	4.1388
0.0724697	-2.80183	3.04535	4.1388
3.23695	-0.294473	2.7011	4.22617
4.65509	0.335336	1.09117	4.79301
4.65509	0.335336	1.09117	4.79301
4.65509	0.335336	1.09117	4.79301
4.65509	0.335336	1.09117	4.79301
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
5.07137	1.6045	1.74176	5.59704
3.99538	3.895	3.65084	6.66804
3.99538	3.895	3.65084	6.66804
4.24308	2.54468	3.90783	6.30478
4.24308	2.54468	3.90783	6.30478
2.21298	-0.600454	3.43408	4.12925
-0.754112	-2.46452	0.442775	2.61507
-0.754112	-2.46452	0.442775	2.61507
-0.950102	-2.33455	1.10374	2.75156
-0.950102	-2.33455	1.10374	2.75156
-0.950102	-2.33455	1.10374	2.75156
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-2.69951	-4.44524	-1.61196	5.44481
-3.29685	-1.66362	-4.00883	5.45047
-0.478291	1.0571	-3.32631	3.52286
1.41622	-0.294735	-0.778616	1.6428
0.243558	-0.341975	0.739584	0.850442
0.243558	-0.341975	0.739584	0.850442
0.243558	-0.341975	0.739584	0.850442
0.243558	-0.341975	0.739584	0.850442
0.243558	-0.341975	0.739584	0.850442
0.502013	-0.759506	1.77572	1.99551
0.548015	0.621563	1.06071	1.34602
0.548015	0.621563	1.06071	1.34602
0.548015	0.621563	1.06071	1.34602
