x	y	z	r
50.2097	49.3289	49.129	85.8371
50.2097	49.3289	49.129	85.8371
51.6672	48.8653	48.4695	86.0616
51.5296	48.8744	48.6855	86.1062
51.5672	47.9042	48.7298	85.6071
50.7403	46.8742	48.9219	84.647
50.7905	47.866	48.0401	84.7271
51.0686	48.9102	47.8566	85.3842
51.0686	48.9102	47.8566	85.3842
51.0686	48.9102	47.8566	85.3842
51.4987	49.936	45.865	85.1429
51.4928	49.7237	46.8386	85.5443
51.4928	49.7237	46.8386	85.5443
51.4928	49.7237	46.8386	85.5443
51.8009	50.8957	46.4397	86.1995
50.4225	51.7919	44.8189	85.0503
50.4225	51.7919	44.8189	85.0503
50.4225	51.7919	44.8189	85.0503
50.4225	51.7919	44.8189	85.0503
50.4225	51.7919	44.8189	85.0503
50.4715	51.6089	44.2305	84.6592
50.4715	51.6089	44.2305	84.6592
50.4715	51.6089	44.2305	84.6592
52.2745	51.5669	43.4174	85.3044
51.3119	51.5368	43.6197	84.8035
51.2128	52.0192	43.7593	85.1095
51.2128	52.0192	43.7593	85.1095
49.8522	52.7756	44.2381	85.0148
49.552	51.3562	43.1816	83.4117
48.704	51.3508	42.7957	82.7071
47.8954	51.505	43.6143	82.7583
47.8954	51.505	43.6143	82.7583
47.8954	51.505	43.6143	82.7583
47.6388	50.7532	44.2538	82.4848
47.6388	50.7532	44.2538	82.4848
47.8452	49.7529	43.4329	81.5532
47.5907	51.5492	42.846	82.2069
47.8836	51.7981	42.7097	82.4621
47.6502	52.0341	43.0141	82.6335
47.6502	52.0341	43.0141	82.6335
47.9264	50.7227	44.4136	82.7183
47.9264	50.7227	44.4136	82.7183
47.1853	50.4928	43.6395	81.7336
45.7534	50.8884	43.2136	80.9346
45.6075	49.9335	42.7362	79.9986
45.6075	49.9335	42.7362	79.9986
45.0324	49.4417	43.4615	79.7578
43.9665	48.6554	43.5912	78.7439
43.0845	49.4435	42.536	78.1681
41.6308	49.3799	42.4278	77.2762
41.0224	48.3386	45.1428	77.8288
39.666	47.6782	45.4113	76.8687
39.0314	47.5706	45.1522	76.3226
39.0314	47.5706	45.1522	76.3226
39.0314	47.5706	45.1522	76.3226
39.2769	46.5333	45.3059	75.8989
39.2701	44.9922	45.2368	74.9186
39.2701	44.9922	45.2368	74.9186
39.2701	44.9922	45.2368	74.9186
39.2701	44.9922	45.2368	74.9186
38.6631	47.0715	44.4476	75.4065
38.388	47.6145	43.1483	74.8502
36.619	48.4076	42.5981	74.1542
36.619	48.4076	42.5981	74.1542
36.6751	49.1668	41.4261	74.0173
35.9227	49.6882	41.6118	74.1006
35.9227	49.6882	41.6118	74.1006
36.675	50.1445	40.2223	74.0091
35.1804	50.0591	39.0046	72.5598
34.4447	50.8893	37.4033	71.9386
35.5732	48.66	34.4751	69.439
35.5732	48.66	34.4751	69.439
35.5732	48.66	34.4751	69.439
35.6074	48.5932	35.4685	69.9085
35.6406	48.6406	34.477	69.4609
35.9137	49.2944	33.7972	69.7279
34.9757	48.9403	33.1176	68.6675
34.1418	49.3263	32.9278	68.4323
34.1418	49.3263	32.9278	68.4323
35.0109	49.2202	31.9745	68.343
33.8124	49.3741	30.6004	67.2121
33.6878	48.5467	30.2064	66.3632
33.3742	47.8345	31.3831	66.2335
33.4772	47.3155	30.2513	65.3806
33.8422	46.0434	29.3774	64.252
33.8422	46.0434	29.3774	64.252
33.054	46.1802	28.6022	63.5867
31.9294	46.5003	28.6802	63.2797
31.2424	46.329	29.1209	63.0118
31.2424	46.329	29.1209	63.0118
31.2424	46.329	29.1209	63.0118
31.0691	46.8593	30.1938	63.8181
31.0691	46.8593	30.1938	63.8181
30.6829	46.1858	29.7267	62.9145
30.6829	46.1858	29.7267	62.9145
30.4989	45.2614	29.853	62.2091
30.4989	45.2614	29.853	62.2091
30.4989	45.2614	29.853	62.2091
29.4015	45.091	28.8401	61.0688
29.8173	44.9378	28.3621	60.9334
30.4273	44.6479	27.8606	60.7904
30.246	44.2547	27.7662	60.3677
30.1388	44.1112	28.1355	60.3801
29.0195	44.0772	27.7939	59.6442
29.0195	44.0772	27.7939	59.6442
28.2486	45.4126	27.0395	59.9285
28.2486	45.4126	27.0395	59.9285
27.3483	44.3427	27.6701	58.9901
27.9187	44.1072	26.6832	58.625
27.9187	44.1072	26.6832	58.625
28.4365	43.7842	26.2079	58.417
28.4365	43.7842	26.2079	58.417
29.9887	44.9246	25.305	59.648
29.9012	45.4095	24.1542	59.4939
29.8974	45.7076	23.48	59.4504
29.8974	45.7076	23.48	59.4504
30.7892	44.827	24.6472	59.707
30.7892	44.827	24.6472	59.707
30.7892	44.827	24.6472	59.707
30.7892	44.827	24.6472	59.707
30.7892	44.827	24.6472	59.707
30.1539	44.7491	25.7409	59.7857
30.1539	44.7491	25.7409	59.7857
30.8931	44.2276	25.7693	59.7873
30.6475	43.0354	25.361	58.6045
30.6475	43.0354	25.361	58.6045
29.8412	42.1742	26.2738	57.9609
29.8412	42.1742	26.2738	57.9609
29.6123	41.978	27.1444	58.1022
29.6123	41.978	27.1444	58.1022
29.6123	41.978	27.1444	58.1022
29.1434	41.6041	27.8248	57.9177
29.5817	42.179	26.7233	58.0369
29.9147	40.9255	27.3552	57.6029
29.9147	40.9255	27.3552	57.6029
29.3671	42.2253	26.4241	57.8242
30.2095	42.2107	25.6945	57.9186
30.3231	42.2669	28.1273	59.1366
30.0385	41.8537	28.5439	58.8965
28.8482	42.7896	27.0467	58.264
28.8482	42.7896	27.0467	58.264
29.7901	42.2168	26.3938	58.0202
30.4429	41.4633	24.4739	56.9645
30.2311	40.5652	25.2109	56.5247
29.1326	40.5157	26.4555	56.4812
28.604	39.4911	25.7062	55.123
29.8424	38.9061	24.3234	54.7347
28.4517	38.5665	23.6731	53.4536
28.1651	38.1542	24.3405	53.3055
27.8632	38.4836	22.8203	52.7078
28.6244	38.6895	22.709	53.2159
28.334	38.7677	22.3196	52.952
