x	y	z	r
50.4317	48.6183	48.2067	85.0352
50.4317	48.6183	48.2067	85.0352
50.4317	48.6183	48.2067	85.0352
50.1484	48.637	48.6515	85.1316
50.2259	46.6395	48.7426	84.1054
48.5235	44.5189	49.1381	82.1646
48.6267	46.5608	47.3227	82.2916
48.6267	46.5608	47.3227	82.2916
48.6267	46.5608	47.3227	82.2916
48.6267	46.5608	47.3227	82.2916
49.5123	48.6728	43.2223	81.7843
49.5003	48.2358	45.2267	82.598
49.5003	48.2358	45.2267	82.598
49.5003	48.2358	45.2267	82.598
50.1344	50.6487	44.4055	83.9678
47.2965	52.4937	41.0684	81.7262
47.2965	52.4937	41.0684	81.7262
47.2965	52.4937	41.0684	81.7262
47.2965	52.4937	41.0684	81.7262
49.172	50.8319	43.6407	83.104
49.2729	50.4551	42.4293	82.303
49.2729	50.4551	42.4293	82.303
49.2729	50.4551	42.4293	82.303
49.2729	50.4551	42.4293	82.303
47.2911	50.3931	42.8459	81.3122
47.0872	51.3863	43.1333	81.9649
47.0872	51.3863	43.1333	81.9649
44.2859	52.9436	44.1189	81.9191
43.6678	50.0213	41.9438	78.5384
41.9219	50.0102	41.1494	77.1475
40.2571	50.3277	42.8346	77.3842
42.1182	51.6797	42.7686	79.2079
42.1182	51.6797	42.7686	79.2079
41.5899	50.1319	44.0853	78.6539
41.5899	50.1319	44.0853	78.6539
42.0149	48.0725	42.3952	76.6392
41.4909	51.7707	41.1869	78.0901
42.0939	52.2831	40.9064	78.605
41.6133	52.7691	41.533	79.0015
39.4095	55.6887	43.2389	80.7709
39.9783	52.9887	46.1203	80.8279
39.9783	52.9887	46.1203	80.8279
38.4525	52.5154	44.5265	78.8611
35.5044	53.3298	43.6495	77.5236
35.204	51.3639	42.6668	75.4852
34.7599	52.7097	42.475	76.0966
33.5761	51.6972	43.9681	75.7176
31.3816	50.0782	44.2353	73.82
29.5656	51.7009	42.0628	72.9135
26.5727	51.5699	41.84	71.5272
26.5727	51.5699	41.84	71.5272
23.78	50.2104	42.3928	69.8836
22.4735	49.9888	41.8593	68.9648
19.9515	52.9708	42.9736	71.0683
21.6555	51.1724	43.91	70.8213
22.1609	49.0368	44.2264	69.654
22.1469	45.8639	44.0841	67.3601
21.7737	48.6282	44.3954	69.3524
21.7737	48.6282	44.3954	69.3524
21.7737	48.6282	44.3954	69.3524
21.7737	48.6282	44.3954	69.3524
21.2075	49.7461	41.7204	68.3009
17.5654	51.3791	40.5877	67.7917
17.5654	51.3791	40.5877	67.7917
17.6809	52.9421	38.1746	67.6224
17.6809	52.9421	38.1746	67.6224
17.6809	52.9421	38.1746	67.6224
19.2298	53.8815	35.3138	67.2314
16.1527	53.7056	32.8068	64.973
14.638	55.415	29.51	64.4665
16.9615	50.8251	23.4814	58.5001
16.9615	50.8251	23.4814	58.5001
18.4152	50.3012	24.0067	58.6997
18.4855	50.1637	26.0519	59.4711
18.5539	50.2613	24.0106	58.7107
19.1162	51.6074	22.611	59.498
17.1849	50.8784	21.2118	57.7396
15.4682	51.673	20.821	57.8177
15.4682	51.673	20.821	57.8177
17.2575	51.4546	18.8584	57.4547
14.7899	51.7715	16.0293	56.178
14.5334	50.0681	15.2182	54.3104
13.8879	48.6017	17.6408	53.5369
14.0998	47.5333	15.3106	51.8905
14.8512	44.9141	13.5114	49.1975
14.8512	44.9141	13.5114	49.1975
13.2285	45.1959	11.9155	48.5761
10.9132	45.8548	12.076	48.6579
9.49875	45.5021	12.9834	48.2622
9.49875	45.5021	12.9834	48.2622
9.49875	45.5021	12.9834	48.2622
9.49875	45.5021	12.9834	48.2622
9.49875	45.5021	12.9834	48.2622
8.70354	44.1155	12.0216	46.5451
10.8999	41.8879	13.881	45.4542
10.5211	39.9847	14.1411	43.6972
10.5211	39.9847	14.1411	43.6972
10.5211	39.9847	14.1411	43.6972
8.2618	39.6338	12.0557	42.2426
9.11789	39.3184	11.0716	41.8528
10.3738	38.7217	10.0391	41.3252
10.0004	37.9122	9.84481	40.426
9.77972	37.6167	10.6051	40.2881
7.47534	37.5466	9.90175	39.5433
8.96561	38.9199	10.1266	41.203
8.96561	38.9199	10.1266	41.203
8.96561	38.9199	10.1266	41.203
7.11214	36.7171	11.4247	39.1056
8.28638	36.2323	9.39287	38.3363
9.75001	35.9876	12.7134	39.3929
10.8163	35.3226	11.7348	38.7606
10.8163	35.3226	11.7348	38.7606
10.8163	35.3226	11.7348	38.7606
10.636	36.3209	9.36554	38.9877
10.636	36.3209	9.36554	38.9877
10.636	36.3209	9.36554	38.9877
12.4722	34.5079	11.7686	38.5338
12.4722	34.5079	11.7686	38.5338
13.6732	33.4792	14.0403	38.7936
13.6732	33.4792	14.0403	38.7936
14.7759	33.7013	16.0116	40.1307
13.4678	33.5409	18.2633	40.4959
13.4678	33.5409	18.2633	40.4959
14.9898	32.4672	18.3218	40.1809
14.4841	30.0126	17.4812	37.6316
14.4841	30.0126	17.4812	37.6316
12.8239	28.2396	19.3605	36.5617
13.4195	29.1932	19.1874	37.423
12.9484	28.7893	20.9797	37.903
12.9484	28.7893	20.9797	37.903
13.4731	29.9069	21.4613	39.1986
12.5076	29.137	22.8622	39.0907
13.4101	30.3206	20.5944	39.0295
14.0956	27.7399	21.8953	38.0472
14.0956	27.7399	21.8953	38.0472
14.0956	27.7399	21.8953	38.0472
15.83	27.7098	20.3933	37.8722
15.83	27.7098	20.3933	37.8722
15.2441	26.859	21.2509	37.4885
12.7933	28.7859	18.1684	36.3646
12.7933	28.7859	18.1684	36.3646
14.7326	27.6065	16.8242	35.5278
16.0765	26.0554	12.8715	33.2116
15.6406	24.2062	14.3888	32.2118
13.3789	24.1044	16.9513	32.363
12.2905	21.9949	15.4086	29.534
14.8403	20.7906	12.5616	28.4654
11.9769	20.0912	11.2227	25.9433
11.3869	19.2425	12.5967	25.6635
10.7654	19.9206	9.46703	24.5428
10.7654	19.9206	9.46703	24.5428
10.1676	20.0816	8.66532	24.1193
8.53918	20.4577	9.76053	24.222
8.53918	20.4577	9.76053	24.222
10.4253	19.7233	5.37882	22.9483
10.9959	20.4269	6.99625	24.2304
10.9959	20.4269	6.99625	24.2304
9.42589	18.6511	5.98037	21.7365
7.41728	18.3051	6.00533	20.6436
7.41728	18.3051	6.00533	20.6436
7.41728	18.3051	6.00533	20.6436
8.18222	16.9334	6.29745	19.833
6.36041	15.9083	8.58446	19.163
7.9856	15.722	7.29415	19.0829
6.58321	15.2392	7.03872	18.031
6.58321	15.2392	7.03872	18.031
6.58321	15.2392	7.03872	18.031
6.58321	15.2392	7.03872	18.031
6.58321	15.2392	7.03872	18.031
6.77588	14.1121	7.1635	17.2157
5.52444	15.7898	7.47982	18.3244
5.52444	15.7898	7.47982	18.3244
5.52444	15.7898	7.47982	18.3244
5.52444	15.7898	7.47982	18.3244
5.52444	15.7898	7.47982	18.3244
4.66769	12.678	9.11949	16.2998
4.66769	12.678	9.11949	16.2998
4.66769	12.678	9.11949	16.2998
4.65291	11.8335	9.98905	16.1698
4.65291	11.8335	9.98905	16.1698
2.75467	12.4739	9.6436	16.0058
2.75467	12.4739	9.6436	16.0058
2.75467	12.4739	9.6436	16.0058
2.75467	12.4739	9.6436	16.0058
-0.151571	11.5231	10.2589	15.4288
-2.99969	10.0534	10.9378	15.156
-3.15653	7.81834	11.1159	13.9519
-4.21592	6.75923	7.32749	10.8237
-0.888239	4.74861	5.13503	7.0503
-0.888239	4.74861	5.13503	7.0503
2.0637	3.93017	3.70544	5.78234
1.25439	1.82805	6.54909	6.91418
1.25439	1.82805	6.54909	6.91418
0.749386	0.174743	4.70373	4.76626
3.33537	-0.30345	4.24802	5.40948
3.33537	-0.30345	4.24802	5.40948
3.33537	-0.30345	4.24802	5.40948
3.52752	-1.87536	3.0403	5.02034
3.52752	-1.87536	3.0403	5.02034
3.52752	-1.87536	3.0403	5.02034
3.52752	-1.87536	3.0403	5.02034
1.03509	-2.3001	2.57125	3.60183
1.03509	-2.3001	2.57125	3.60183
1.03509	-2.3001	2.57125	3.60183
1.8059	-0.952899	2.92503	3.56723
1.8059	-0.952899	2.92503	3.56723
-0.879019	-2.08214	2.74113	3.55271
-0.879019	-2.08214	2.74113	3.55271
-0.879019	-2.08214	2.74113	3.55271
-0.879019	-2.08214	2.74113	3.55271
-0.879019	-2.08214	2.74113	3.55271
