block	ave	prog_ave	err
0	1.49705	1.49705	0
1	1.50222	1.49964	0.00182797
2	1.50388	1.50105	0.00167988
3	1.50214	1.50133	0.00128181
4	1.49592	1.50024	0.00140911
5	1.50015	1.50023	0.00117434
6	1.50402	1.50077	0.00112438
7	1.49606	1.50018	0.00112741
8	1.49782	1.49992	0.00103212
9	1.49928	1.49986	0.000930879
10	1.50357	1.50019	0.00090545
11	1.49469	1.49973	0.000939121
12	1.4961	1.49945	0.000907633
13	1.49164	1.4989	0.001
14	1.50159	1.49908	0.000949265
15	1.50182	1.49925	0.000905318
16	1.49411	1.49894	0.00090115
17	1.49964	1.49898	0.000851909
18	1.50169	1.49913	0.000818908
19	1.4981	1.49907	0.000779565
20	1.50135	1.49918	0.000749962
21	1.49558	1.49902	0.000733522
22	1.50306	1.4992	0.000722326
23	1.50315	1.49936	0.000710732
24	1.50516	1.49959	0.000719207
25	1.50539	1.49982	0.000725347
26	1.49913	1.49979	0.000698926
27	1.49559	1.49964	0.000689891
28	1.49937	1.49963	0.000666163
29	1.49111	1.49935	0.000701832
30	1.50284	1.49946	0.000688204
31	1.50249	1.49955	0.000673188
32	1.50292	1.49966	0.000660484
33	1.50155	1.49971	0.00064339
34	1.50461	1.49985	0.000640067
35	1.49976	1.49985	0.000622292
36	1.49961	1.49984	0.000605506
37	1.50215	1.4999	0.00059262
38	1.49656	1.49982	0.000583599
39	1.50122	1.49985	0.000570061
40	1.50096	1.49988	0.000556794
41	1.50089	1.4999	0.000544058
42	1.49407	1.49977	0.00054805
43	1.49824	1.49973	0.000536694
44	1.50037	1.49975	0.000524953
45	1.49065	1.49955	0.000549526
46	1.50052	1.49957	0.000538219
47	1.5005	1.49959	0.000527356
48	1.50083	1.49962	0.000517198
49	1.50437	1.49971	0.000515535
50	1.5012	1.49974	0.000506254
51	1.49103	1.49957	0.000523497
52	1.49902	1.49956	0.000513722
53	1.49935	1.49956	0.000504224
54	1.50087	1.49958	0.000495619
55	1.5044	1.49967	0.000494195
56	1.49901	1.49966	0.000485662
57	1.50039	1.49967	0.000477452
58	1.49925	1.49966	0.000469412
59	1.5039	1.49973	0.00046687
60	1.50884	1.49988	0.000482504
61	1.50048	1.49989	0.000474817
62	1.49806	1.49986	0.00046817
63	1.50182	1.49989	0.000461856
64	1.50556	1.49998	0.000462919
65	1.49976	1.49998	0.000455917
66	1.4988	1.49996	0.00044945
67	1.499	1.49995	0.000443061
68	1.4989	1.49993	0.000436896
69	1.50233	1.49996	0.000432001
70	1.50029	1.49997	0.000425941
71	1.50397	1.50002	0.000423633
72	1.50047	1.50003	0.000417873
73	1.49908	1.50002	0.000412423
74	1.50406	1.50007	0.000410437
75	1.50017	1.50007	0.000405039
76	1.49785	1.50004	0.000400802
77	1.49637	1.5	0.000398421
78	1.50122	1.50001	0.000393676
79	1.49981	1.50001	0.000388763
80	1.4961	1.49996	0.000386949
81	1.4949	1.4999	0.000387115
82	1.50164	1.49992	0.000383016
83	1.49862	1.49991	0.000378771
84	1.50005	1.49991	0.000374318
85	1.50693	1.49999	0.000378777
86	1.49473	1.49993	0.000379208
87	1.49119	1.49983	0.000387668
88	1.49783	1.49981	0.000383961
89	1.49705	1.49978	0.000380918
90	1.49952	1.49977	0.000376742
91	1.49434	1.49971	0.000377252
92	1.49785	1.49969	0.000373729
93	1.49689	1.49966	0.00037094
94	1.4963	1.49963	0.000368725
95	1.49751	1.49961	0.000365542
96	1.49979	1.49961	0.000361778
97	1.50188	1.49963	0.00035883
98	1.49768	1.49961	0.000355745
99	1.49932	1.49961	0.000352199
