block	ave	prog_ave	err
0	5.0137	5.0137	0
1	5.01644	5.01507	0.000966922
2	5.00781	5.01265	0.00207856
3	4.99066	5.00715	0.00500989
4	4.98421	5.00256	0.00573696
5	4.99538	5.00137	0.00490422
6	5.00792	5.0023	0.00429202
7	4.99779	5.00174	0.00379239
8	4.98387	4.99975	0.00385597
9	5.0114	5.00092	0.00364216
10	5.00274	5.00108	0.00331483
11	4.99377	5.00047	0.00309414
12	4.99113	4.99976	0.00293834
13	5.00118	4.99986	0.00273022
14	4.99449	4.9995	0.00257152
15	5.00062	4.99957	0.00241175
16	4.99366	4.99922	0.00229481
17	5.01221	4.99994	0.00227797
18	5.00228	5.00007	0.0021614
19	4.97125	4.99863	0.00248759
20	5.01354	4.99934	0.00246843
21	4.98539	4.9987	0.00243622
22	5.00596	4.99902	0.00235064
23	5.00384	4.99922	0.00226126
24	5.00511	4.99945	0.00218306
25	5.00291	4.99959	0.00210313
26	5.00904	4.99994	0.00205416
27	5.00409	5.00009	0.00198614
28	4.97681	4.99928	0.00207344
29	4.97924	4.99861	0.00210924
30	4.97851	4.99797	0.00213863
31	5.0235	4.99876	0.00221562
32	4.98059	4.99821	0.00221589
33	4.99913	4.99824	0.00215088
34	4.99362	4.99811	0.00209347
35	4.98593	4.99777	0.00206245
36	4.9959	4.99772	0.00200733
37	4.99886	4.99775	0.00195473
38	5.00732	4.998	0.00191994
39	5.00174	4.99809	0.00187422
40	5.00698	4.99831	0.00184102
41	5.02079	4.99884	0.00187343
42	4.98778	4.99858	0.00184743
43	4.98528	4.99828	0.00183003
44	5.00034	4.99833	0.00178994
45	4.97299	4.99778	0.00183384
46	5.02566	4.99837	0.00188833
47	5.01744	4.99877	0.00189032
48	5.02242	4.99925	0.00191239
49	4.9987	4.99924	0.00187417
50	4.99538	4.99916	0.00183895
51	4.99381	4.99906	0.00180646
52	4.98837	4.99886	0.00178361
53	5.00862	4.99904	0.00175971
54	4.9918	4.99891	0.00173263
55	5.00804	4.99907	0.00170935
56	4.99652	4.99903	0.00167995
57	4.99524	4.99896	0.00165225
58	4.98636	4.99875	0.001638
59	5.00333	4.99882	0.00161247
60	5.02051	4.99918	0.00162476
61	5.00081	4.9992	0.00159877
62	4.99867	4.9992	0.00157341
63	5.00309	4.99926	0.00155
64	4.9861	4.99905	0.00153932
65	5.01011	4.99922	0.00152508
66	4.99209	4.99912	0.00150603
67	5.00266	4.99917	0.00148478
68	4.97947	4.99888	0.00149045
69	5.01327	4.99909	0.00148326
70	4.99255	4.999	0.00146523
71	4.98629	4.99882	0.00145546
72	5.00764	4.99894	0.00144053
73	5.01239	4.99912	0.00143248
74	4.99042	4.99901	0.00141807
75	4.98471	4.99882	0.00141183
76	4.98858	4.99868	0.00139974
77	4.99625	4.99865	0.00138215
78	5.00734	4.99876	0.00136901
79	5.00151	4.9988	0.00135233
80	4.9821	4.99859	0.00135127
81	4.98782	4.99846	0.00134115
82	5.00116	4.99849	0.00132539
83	5.00273	4.99854	0.00131057
84	5.00383	4.99861	0.00129663
85	4.98333	4.99843	0.00129365
86	4.99862	4.99843	0.00127879
87	4.98505	4.99828	0.00127326
88	4.99572	4.99825	0.00125928
89	4.97298	4.99797	0.00127621
90	5.00358	4.99803	0.00126368
91	4.98997	4.99794	0.00125298
92	5.0034	4.998	0.00124088
93	5.00257	4.99805	0.00122862
94	4.99377	4.998	0.00121652
95	5.01418	4.99817	0.00121546
96	4.9984	4.99818	0.00120293
97	5.01405	4.99834	0.00120151
98	4.98825	4.99824	0.00119368
99	4.99408	4.99819	0.00118247
