x	y	z	r
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.0162569	0.614514	-0.050069	0.616765
-0.0300336	0.0334584	-0.675825	0.677319
-0.0977218	0.237259	-0.395483	0.471432
-0.0977218	0.237259	-0.395483	0.471432
-0.0977218	0.237259	-0.395483	0.471432
-0.0977218	0.237259	-0.395483	0.471432
0.266969	-0.449497	0.0326292	0.523818
0.266969	-0.449497	0.0326292	0.523818
0.266969	-0.449497	0.0326292	0.523818
0.155387	0.188336	1.16127	1.18666
0.155387	0.188336	1.16127	1.18666
0.155387	0.188336	1.16127	1.18666
0.155387	0.188336	1.16127	1.18666
0.155387	0.188336	1.16127	1.18666
-0.390009	-0.408387	1.25283	1.37422
-0.912747	-0.452717	0.0669552	1.02105
-0.912747	-0.452717	0.0669552	1.02105
-0.796294	-1.03105	-0.795901	1.52663
-0.796294	-1.03105	-0.795901	1.52663
-0.000207429	-0.434001	-0.462031	0.6339
-0.000207429	-0.434001	-0.462031	0.6339
-0.000207429	-0.434001	-0.462031	0.6339
1.1673	-0.810251	-0.613502	1.54773
0.0361663	0.0195888	-0.549989	0.551525
0.0361663	0.0195888	-0.549989	0.551525
0.871506	-0.508544	0.497699	1.1251
0.871506	-0.508544	0.497699	1.1251
0.368513	0.168075	-0.675555	0.787671
0.368513	0.168075	-0.675555	0.787671
-0.484029	-0.406885	0.18053	0.657594
-0.484029	-0.406885	0.18053	0.657594
-0.484029	-0.406885	0.18053	0.657594
-0.864103	0.217221	-0.924872	1.28423
-0.59336	-0.471263	-0.933785	1.20255
-0.59336	-0.471263	-0.933785	1.20255
-0.59336	-0.471263	-0.933785	1.20255
-0.59336	-0.471263	-0.933785	1.20255
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.169967	-0.611564	0.114133	0.644923
0.32607	-0.135628	0.358105	0.502946
0.32607	-0.135628	0.358105	0.502946
0.32607	-0.135628	0.358105	0.502946
