x	y	z	r
47.8114	48.0855	51.332	85.0477
46.8321	47.9528	51.7486	84.6796
48.0213	45.5516	52.6535	84.5777
50.3731	44.8063	54.6056	86.7573
51.9742	42.0289	52.6819	85.1066
52.3943	40.7485	52.9479	84.9063
49.5947	41.2309	50.4228	81.8662
51.0717	39.6832	48.6439	80.9277
51.0717	39.6832	48.6439	80.9277
51.0384	38.279	47.1316	79.3195
51.0384	38.279	47.1316	79.3195
51.5051	35.8659	45.1553	77.3185
51.5051	35.8659	45.1553	77.3185
48.7459	36.9448	44.3976	75.5793
49.6273	35.2851	45.4322	75.9736
47.2969	33.0867	46.477	74.1069
47.7451	35.0587	43.883	73.7185
47.7451	35.0587	43.883	73.7185
47.7451	35.0587	43.883	73.7185
50.2964	36.8757	41.0871	74.6839
48.1724	34.2859	42.3249	72.7152
45.9207	37.1017	41.7392	72.3008
44.6027	35.6596	41.9605	70.8639
43.3394	35.5525	39.0946	68.3423
41.6848	32.7561	36.8573	64.5681
41.9662	31.3584	34.7721	62.8777
44.2993	29.2466	33.2617	62.6429
44.2993	29.2466	33.2617	62.6429
42.5664	27.2694	34.2763	61.0769
40.0388	26.6888	33.2721	58.5016
42.8603	25.7796	32.9061	59.8699
40.1267	27.785	33.0596	58.95
40.1267	27.785	33.0596	58.95
40.1267	27.785	33.0596	58.95
40.1267	27.785	33.0596	58.95
38.9112	29.4202	30.2242	57.3858
40.8265	31.5149	31.6081	60.4902
38.7662	30.1254	33.677	59.5357
39.0434	27.7364	34.1869	58.8425
39.0434	27.7364	34.1869	58.8425
38.1249	29.2447	31.5155	57.4629
38.7792	27.5808	31.4939	57.0648
40.7425	30.4362	28.922	58.5047
38.2939	28.0403	31.3895	56.9032
39.9936	25.7719	30.4982	56.5139
39.9936	25.7719	30.4982	56.5139
42.4072	23.157	28.0501	55.8698
41.0706	25.4908	29.076	56.4091
41.0706	25.4908	29.076	56.4091
39.6714	22.9393	26.9407	53.1586
36.8466	22.233	24.9195	49.7288
36.8466	22.233	24.9195	49.7288
36.8466	22.233	24.9195	49.7288
38.1318	22.8037	23.4605	50.2438
38.1318	22.8037	23.4605	50.2438
40.3792	21.9859	21.4196	50.7214
40.3792	21.9859	21.4196	50.7214
40.7565	23.1361	22.0092	51.7762
40.7565	23.1361	22.0092	51.7762
40.7565	23.1361	22.0092	51.7762
41.4773	23.896	19.7497	51.7826
41.4773	23.896	19.7497	51.7826
41.4773	23.896	19.7497	51.7826
39.6756	26.6187	18.3128	51.1671
38.7005	28.6945	20.043	52.1807
38.7005	28.6945	20.043	52.1807
38.925	27.4708	20.2759	51.7775
38.2032	28.4155	18.3316	51.0193
36.3634	25.5653	17.9023	47.9205
33.6745	23.876	15.1914	43.9865
32.6674	22.1705	15.2647	42.3285
32.4897	22.2883	15.8637	42.4736
29.8965	22.6869	18.2055	41.7126
27.1963	21.4837	18.7519	39.4059
25.6109	19.5709	16.2908	36.1155
23.3946	16.7684	15.8161	32.8426
21.2439	17.7113	14.9198	31.426
19.511	15.1786	12.1505	27.5446
19.511	15.1786	12.1505	27.5446
16.6268	14.5428	14.8645	26.6251
16.4198	12.8203	16.7213	26.7128
15.8784	15.3412	14.5491	26.4415
15.8784	15.3412	14.5491	26.4415
17.5953	14.1161	16.858	28.1612
16.5326	14.0733	18.2338	28.3524
15.236	13.1429	18.2145	27.1411
15.236	13.1429	18.2145	27.1411
13.4445	14.1129	17.0826	25.9181
11.2901	15.2552	17.0248	25.4957
11.5244	14.8768	17.9638	26.0159
11.566	16.1284	17.3159	26.3389
9.2965	13.3163	16.4916	23.1457
7.7149	13.0003	15.7101	21.8022
6.86678	12.4652	13.3503	19.5132
6.86678	12.4652	13.3503	19.5132
7.79465	10.2333	11.6107	17.3288
8.37884	9.5885	12.0041	17.4998
8.37884	9.5885	12.0041	17.4998
10.1068	9.86228	9.16154	16.8329
9.17296	10.0632	7.80673	15.6957
8.03646	10.5916	10.4523	16.912
9.01384	13.4777	7.92445	18.047
10.6578	13.8671	7.36743	18.978
10.0099	11.9506	5.41455	16.5025
12.1853	10.8466	3.34522	16.6529
12.1853	10.8466	3.34522	16.6529
13.1955	10.5923	5.39293	17.7596
13.1955	10.5923	5.39293	17.7596
12.6627	7.98338	7.57332	16.776
13.6262	5.89219	4.87473	15.6254
10.9742	8.59372	6.90525	15.5553
11.7993	10.3944	5.36359	16.6143
10.4417	8.95384	7.72542	15.776
10.9855	6.64059	6.43884	14.361
8.96918	5.54128	8.1434	13.3217
8.96918	5.54128	8.1434	13.3217
9.46008	7.86546	6.65292	13.9864
9.46008	7.86546	6.65292	13.9864
7.44152	9.95256	7.96066	14.7581
7.44152	9.95256	7.96066	14.7581
6.16488	10.4069	10.6482	16.115
6.16488	10.4069	10.6482	16.115
5.19733	11.5175	10.4078	16.3703
5.19733	11.5175	10.4078	16.3703
5.19733	11.5175	10.4078	16.3703
5.19733	11.5175	10.4078	16.3703
5.19733	11.5175	10.4078	16.3703
7.81363	9.73398	12.8537	17.9171
5.51463	11.3147	12.5487	17.7737
3.17706	12.5887	12.0628	17.7223
3.23568	11.9091	10.4427	16.1662
5.65716	10.3754	8.71321	14.6824
5.65716	10.3754	8.71321	14.6824
5.65716	10.3754	8.71321	14.6824
8.01773	8.53941	6.92442	13.6071
8.01773	8.53941	6.92442	13.6071
9.98281	8.91045	4.10479	13.9965
9.12852	9.99121	3.78544	14.0529
10.1314	9.11117	3.49024	14.0656
7.65929	11.9077	2.71038	14.4154
8.15763	14.7894	5.42726	17.7406
8.15763	14.7894	5.42726	17.7406
6.8197	12.5569	7.50517	16.1404
4.39193	10.4578	7.34009	13.5104
4.72745	8.35436	4.92124	10.7872
4.01863	5.8971	7.15861	10.108
3.22331	7.38615	5.81887	9.94003
3.22331	7.38615	5.81887	9.94003
4.0238	5.91084	3.28243	7.86787
5.61739	5.87363	3.27445	8.76223
