block	ave	prog_ave	err
0	5.00004	5.00004	0
1	5.01111	5.00558	0.00391227
2	5.00679	5.00598	0.00262905
3	4.97916	4.99928	0.00613182
4	5.00289	5	0.00494779
5	4.98865	4.99811	0.0044701
6	5.00862	4.99961	0.00407584
7	5.00341	5.00008	0.0035939
8	4.99983	5.00006	0.00319469
9	5.01087	5.00114	0.00305281
10	4.99889	5.00093	0.00278212
11	4.99376	5.00033	0.00261371
12	4.98723	4.99933	0.00259979
13	5.00433	4.99968	0.00243849
14	4.99193	4.99917	0.00233009
15	4.98361	4.99819	0.00237868
16	5.00521	4.99861	0.00227427
17	4.98707	4.99797	0.00223636
18	5.00097	4.99812	0.00212425
19	5.00297	4.99837	0.00203179
20	4.97995	4.99749	0.00211582
21	5.01189	4.99814	0.00211851
22	5.00905	4.99862	0.00207875
23	4.99605	4.99851	0.00199489
24	4.99837	4.99851	0.0019151
25	4.99159	4.99824	0.00185982
26	4.99422	4.99809	0.00179689
27	4.99097	4.99784	0.00175061
28	5.00431	4.99806	0.0017044
29	5.01814	4.99873	0.00177415
30	5.00488	4.99893	0.00172798
31	5.00409	4.99909	0.00168148
32	4.97871	4.99847	0.00174023
33	5.00591	4.99869	0.00170275
34	4.99357	4.99854	0.00166038
35	4.98284	4.99811	0.00167055
36	5.00667	4.99834	0.00164137
37	5.00159	4.99842	0.0016004
38	5.01632	4.99888	0.00162379
39	4.99039	4.99867	0.00159702
40	5.01047	4.99896	0.00158377
41	5.00162	4.99902	0.00154734
42	5.01505	4.99939	0.00155558
43	5.00223	4.99946	0.00152156
44	5.00088	4.99949	0.00148808
45	4.99213	4.99933	0.00146432
46	4.99468	4.99923	0.00143651
47	4.99788	4.9992	0.00140685
48	4.987	4.99895	0.00140002
49	4.9909	4.99879	0.00138125
50	5.00692	4.99895	0.00136332
51	5.0105	4.99917	0.00135507
52	4.99924	4.99918	0.0013295
53	5.00942	4.99937	0.00131834
54	5.00823	4.99953	0.00130418
55	5.00022	4.99954	0.00128095
56	4.99658	4.99949	0.00125953
57	5.00697	4.99962	0.00124441
58	5.00776	4.99975	0.00123095
59	5.00526	4.99985	0.00121385
60	4.99188	4.99972	0.00120096
61	5.00779	4.99985	0.00118863
62	4.98777	4.99965	0.00118511
63	5.0085	4.99979	0.00117462
64	5.01055	4.99996	0.00116816
65	5.0157	5.0002	0.00117456
66	5.00415	5.00026	0.00115851
67	5.03103	5.00071	0.00122671
68	4.99046	5.00056	0.0012179
69	4.99367	5.00046	0.00120447
70	4.98913	5.0003	0.00119804
71	4.98892	5.00014	0.00119177
72	5.00013	5.00014	0.00117545
73	4.99853	5.00012	0.00115977
74	5.00587	5.0002	0.00114683
75	4.99212	5.00009	0.00113666
76	5.00904	5.00021	0.00112782
77	5.01691	5.00042	0.0011335
78	5.00129	5.00043	0.0011192
79	4.99888	5.00041	0.00110538
80	4.98697	5.00025	0.00110412
81	5.02183	5.00051	0.00112158
82	4.99139	5.0004	0.00111343
83	5.00869	5.0005	0.00110455
84	5.00678	5.00057	0.00109402
85	4.98898	5.00044	0.00108956
86	4.98867	5.0003	0.0010854
87	5.0032	5.00034	0.00107357
88	5.00698	5.00041	0.0010641
89	5.01753	5.0006	0.00106913
90	5.00306	5.00063	0.00105773
91	5.00065	5.00063	0.00104623
92	5.00536	5.00068	0.00103621
93	5.00022	5.00067	0.0010252
94	4.99617	5.00063	0.0010155
95	4.99688	5.00059	0.00100567
96	4.99562	5.00054	0.000996611
97	4.99534	5.00048	0.000987853
98	4.99402	5.00042	0.000980029
99	4.99783	5.00039	0.000970571
