block	ave	prog_ave	err
0	1.50391	1.50391	0
1	1.5011	1.50251	0.000993119
2	1.49582	1.50028	0.00193536
3	1.49342	1.49856	0.00207636
4	1.4963	1.49811	0.00170969
5	1.50258	1.49886	0.00157884
6	1.50703	1.50002	0.0017317
7	1.49583	1.4995	0.00159276
8	1.50154	1.49973	0.00143185
9	1.49853	1.49961	0.00129365
10	1.49814	1.49947	0.00118289
11	1.48953	1.49865	0.00134332
12	1.49721	1.49853	0.00124452
13	1.49824	1.49851	0.00115581
14	1.50058	1.49865	0.00108691
15	1.49981	1.49872	0.00102139
16	1.49865	1.49872	0.000961315
17	1.49717	1.49863	0.000911756
18	1.49785	1.49859	0.000864709
19	1.5019	1.49876	0.00083712
20	1.48943	1.49831	0.000907388
21	1.49751	1.49828	0.000866878
22	1.4948	1.49812	0.000842271
23	1.49378	1.49794	0.000826429
24	1.5081	1.49835	0.000887658
25	1.50283	1.49852	0.00087006
26	1.49972	1.49857	0.000838973
27	1.5006	1.49864	0.00081214
28	1.50324	1.4988	0.000799447
29	1.50034	1.49885	0.000774452
30	1.49809	1.49882	0.00074986
31	1.50316	1.49896	0.000738589
32	1.49808	1.49893	0.000716684
33	1.50313	1.49906	0.00070616
34	1.49792	1.49902	0.000686726
35	1.50246	1.49912	0.000674237
36	1.50007	1.49915	0.000656499
37	1.49475	1.49903	0.000649328
38	1.50482	1.49918	0.000649421
39	1.50024	1.4992	0.000633724
40	1.50573	1.49936	0.000637953
41	1.50096	1.4994	0.000623891
42	1.49488	1.4993	0.000618171
43	1.4919	1.49913	0.000626558
44	1.49913	1.49913	0.000612635
45	1.4981	1.49911	0.000599727
46	1.50268	1.49918	0.000591763
47	1.49625	1.49912	0.000582577
48	1.50186	1.49918	0.000573363
49	1.49801	1.49915	0.000562368
50	1.49908	1.49915	0.000551343
51	1.50148	1.4992	0.000542549
52	1.49728	1.49916	0.000533519
53	1.49938	1.49917	0.000523655
54	1.50882	1.49934	0.000542767
55	1.49947	1.49934	0.00053308
56	1.50237	1.4994	0.000526359
57	1.49629	1.49934	0.000519992
58	1.50235	1.49939	0.000513667
59	1.50733	1.49953	0.000521848
60	1.50366	1.49959	0.000517673
61	1.50127	1.49962	0.00051003
62	1.49537	1.49955	0.000506385
63	1.50189	1.49959	0.000499782
64	1.50694	1.4997	0.000504727
65	1.50209	1.49974	0.000498375
66	1.50098	1.49976	0.000491279
67	1.50609	1.49985	0.000492798
68	1.50075	1.49986	0.000485829
69	1.50037	1.49987	0.000478944
70	1.50077	1.49988	0.000472365
71	1.50106	1.4999	0.000466085
72	1.50358	1.49995	0.000462422
73	1.49967	1.49995	0.000456188
74	1.50614	1.50003	0.000457512
75	1.50601	1.50011	0.000458202
76	1.50267	1.50014	0.000453463
77	1.50108	1.50015	0.00044781
78	1.49915	1.50014	0.000442319
79	1.49163	1.50003	0.000449396
80	1.49901	1.50002	0.000444026
81	1.50208	1.50005	0.000439321
82	1.50257	1.50008	0.000435078
83	1.49515	1.50002	0.000433833
84	1.50569	1.50008	0.000433826
85	1.49489	1.50002	0.000432972
86	1.49761	1.5	0.000428883
87	1.49838	1.49998	0.000424402
88	1.5029	1.50001	0.000420901
89	1.506	1.50008	0.000421459
90	1.49641	1.50004	0.000418754
91	1.5074	1.50012	0.000421776
92	1.50352	1.50015	0.000418821
93	1.4969	1.50012	0.000415791
94	1.50147	1.50013	0.000411656
95	1.49994	1.50013	0.000407373
96	1.51113	1.50024	0.000418644
97	1.49517	1.50019	0.000417559
98	1.5031	1.50022	0.000414374
99	1.49627	1.50018	0.000412109
