beta	meanH_ave	std_dev	meanH_best	best_err	meanH_last	last_err
0.2	1.74571	0.104676	-0.445065	0.00262594	-0.270364	0.206639
0.22	1.45329	0.0823454	-0.434426	0.0041354	-0.237064	0.0719842
0.242	1.38325	0.0840911	-0.442191	0.00204817	3.25251	0.11904
0.2662	1.29107	0.0759087	-0.447222	0.00204891	5.31872	0.61432
0.29282	1.09246	0.0636482	-0.428185	0.0026075	0.937806	0.713114
0.322102	0.866047	0.0574249	-0.421229	0.00298279	0.0117202	0.1595
0.354312	1.09771	0.0680962	-0.446631	0.00143924	0.568577	0.0142796
0.389743	1.01257	0.0710169	-0.44481	0.00243016	0.491222	0.0119191
0.428718	0.516355	0.0360214	-0.44452	0.00215446	0.807554	0.0259976
0.47159	0.636288	0.0427391	-0.444864	0.00282029	8.83711	0.457181
0.518748	0.440739	0.0348507	-0.434761	0.00211536	0.604159	0.227704
0.570623	0.454355	0.0391252	-0.443695	0.00257512	0.837325	0.0115808
0.627686	0.544866	0.0426829	-0.438288	0.00313428	0.307582	0.0140004
0.690454	0.494371	0.0345177	-0.436098	0.00313898	0.612536	0.0420866
0.7595	0.298552	0.0255299	-0.447112	0.00250347	0.613402	0.0343131
0.83545	0.305417	0.025859	-0.428141	0.00187056	0.581947	0.0182214
0.918995	0.224142	0.0232696	-0.438749	0.00283688	-0.0565719	0.0165196
1.01089	0.252009	0.0240703	-0.43509	0.002744	-0.00958007	0.0298176
1.11198	0.130318	0.0164039	-0.437543	0.00290789	-0.380471	0.00490143
1.22318	0.152269	0.0158904	-0.448866	0.00253171	0.126472	0.0062921
1.3455	0.0794916	0.0161652	-0.443246	0.00273081	-0.245493	0.00767488
1.48005	0.0605371	0.0139706	-0.440088	0.00369656	0.614945	0.0604961
1.62805	0.000258677	0.0104352	-0.437715	0.00263007	-0.209494	0.00531493
1.79086	0.00154371	0.0100696	-0.43993	0.00234148	-0.337259	0.00331308
1.96995	-0.0210948	0.00986105	-0.443952	0.00239188	0.521394	0.0300929
2.16694	-0.0127692	0.0106576	-0.441654	0.00213871	-0.290661	0.00407187
2.38364	-0.0643096	0.0071401	-0.441601	0.0035337	-0.0556658	0.0542324
2.622	-0.0915482	0.00658357	-0.439208	0.00228281	-0.0647053	0.0155702
2.8842	-0.0605958	0.00759575	-0.446448	0.00282187	0.29465	0.0411417
3.17262	-0.0699043	0.0084209	-0.446215	0.00247313	-0.318758	0.00479352
3.48988	-0.0853822	0.00651317	-0.443232	0.00178454	-0.314455	0.00531788
3.83887	-0.0854347	0.00707111	-0.439442	0.00332678	-0.366691	0.0047032
4.22276	-0.119604	0.00514375	-0.444054	0.00355457	0.115621	0.0122063
4.64503	-0.136656	0.0057385	-0.446957	0.0022843	-0.107589	0.01369
5.10953	-0.157086	0.00546964	-0.448251	0.00168007	-0.144965	0.00717682
5.62049	-0.133341	0.00484711	-0.439173	0.00313939	-0.0393287	0.0191917
6.18254	-0.151653	0.00506431	-0.444452	0.00285352	-0.216474	0.00539807
6.80079	-0.150667	0.00477635	-0.444064	0.00252171	-0.393889	0.0038492
7.48087	-0.186039	0.00526819	-0.441208	0.00250906	-0.353731	0.00308417
8.22896	-0.146993	0.00573701	-0.443102	0.00213471	-0.389779	0.00409272
9.05185	-0.15391	0.00475006	-0.443631	0.00242944	-0.25378	0.00699759
9.95704	-0.148767	0.00467658	-0.44798	0.00276445	-0.248605	0.0063695
10.9527	-0.186201	0.00533301	-0.445542	0.00264362	-0.354863	0.0121376
12.048	-0.207683	0.0056278	-0.444714	0.00184044	-0.257195	0.00566878
13.2528	-0.217299	0.00589863	-0.445123	0.00228405	-0.441765	0.00271727
14.5781	-0.11527	0.00352136	-0.425284	0.00209732	-0.259055	0.00524093
16.0359	-0.184306	0.00551072	-0.443914	0.00208391	-0.410875	0.00285366
17.6395	-0.23091	0.00617863	-0.44509	0.00237491	-0.418239	0.00309444
19.4034	-0.228281	0.00612772	-0.450744	0.00214549	-0.439619	0.00168607
21.3438	-0.237502	0.00628235	-0.44489	0.0027179	-0.438099	0.00345096
23.4782	-0.22855	0.00607938	-0.447223	0.00205201	-0.381626	0.00555665
25.826	-0.228343	0.00636585	-0.450198	0.00256453	-0.442707	0.00260592
28.4086	-0.229639	0.00614363	-0.446508	0.00267513	-0.440245	0.00348446
31.2494	-0.233814	0.00634632	-0.447989	0.00264279	-0.430848	0.0037576
34.3744	-0.245602	0.00654757	-0.447055	0.00287386	-0.432444	0.00437803
37.8118	-0.244243	0.0065428	-0.448239	0.00266574	-0.433311	0.00300285
41.593	-0.236073	0.0066126	-0.449829	0.00239303	-0.423875	0.0048025
45.7523	-0.229753	0.00650871	-0.44645	0.00222227	-0.438283	0.00290112
