beta	meanH_ave	std_dev	meanH_best	best_err	meanH_last	last_err
0.2	1.74571	0.104676	-0.445065	0.00262594	-0.270364	0.206639
1	0.225079	0.0227798	-0.440019	0.00252767	0.168621	0.0367811
1.8	0.0193465	0.0104094	-0.437893	0.00295425	-0.269781	0.00752785
2.6	-0.0376329	0.00940378	-0.439478	0.0027287	-0.253949	0.00704616
3.4	-0.0874387	0.005676	-0.432721	0.0034275	-0.116537	0.0103455
4.2	-0.122038	0.00505566	-0.440167	0.002776	-0.399623	0.00390664
5	-0.118396	0.00537243	-0.441373	0.00259545	-0.257671	0.00612085
5.8	-0.121221	0.00528148	-0.441211	0.0031437	-0.253663	0.00383705
6.6	-0.130503	0.00478594	-0.445521	0.00221584	-0.18516	0.00401138
7.4	-0.146072	0.00445824	-0.443987	0.00235066	-0.246219	0.0095867
8.2	-0.167555	0.00530059	-0.445095	0.00195217	-0.422082	0.00403536
9	-0.184858	0.00551393	-0.445312	0.00219824	-0.307671	0.00469263
9.8	-0.179196	0.00515213	-0.442818	0.00292961	-0.105771	0.00722845
10.6	-0.161049	0.00512138	-0.443537	0.00280626	-0.31857	0.00466605
11.4	-0.203311	0.00559096	-0.443366	0.00246214	-0.255612	0.0088288
12.2	-0.192988	0.00544222	-0.443494	0.00251233	-0.322641	0.00475525
13	-0.209576	0.00574853	-0.447763	0.00217287	-0.265574	0.00558146
13.8	-0.170506	0.00506596	-0.44357	0.00298518	-0.362087	0.00390453
14.6	-0.212858	0.00608298	-0.446059	0.00235085	-0.418425	0.00348777
15.4	-0.226308	0.00595135	-0.447768	0.00209211	-0.293374	0.00528145
16.2	-0.228442	0.00600448	-0.448417	0.00223829	-0.294937	0.00695573
17	-0.22211	0.00607943	-0.448151	0.00163006	-0.430214	0.00228383
17.8	-0.229761	0.00605449	-0.445755	0.00200634	-0.439247	0.00209371
18.6	-0.189799	0.00529436	-0.444362	0.00204427	-0.421892	0.00234459
19.4	-0.202304	0.00565438	-0.447875	0.00202672	-0.425983	0.00265565
20.2	-0.22151	0.00612553	-0.445241	0.00258022	-0.431615	0.0031569
21	-0.231205	0.00603395	-0.446913	0.00249451	-0.324991	0.00667357
21.8	-0.231933	0.00609924	-0.445123	0.00213278	-0.382481	0.00508171
22.6	-0.229244	0.00636477	-0.446251	0.00222791	-0.393557	0.00256565
23.4	-0.228039	0.00633487	-0.446916	0.00298009	-0.311643	0.00403391
24.2	-0.209797	0.00591832	-0.447626	0.00229604	-0.416848	0.00210671
25	-0.199364	0.00572338	-0.446824	0.00214314	-0.27486	0.0066258
25.8	-0.193914	0.00550167	-0.446439	0.00269693	-0.44673	0.00262308
26.6	-0.229706	0.00629548	-0.446907	0.00288479	-0.404961	0.004463
27.4	-0.23278	0.00630828	-0.449342	0.00197477	-0.426962	0.0058638
28.2	-0.220247	0.00610444	-0.450956	0.00180921	-0.426663	0.00373871
29	-0.234452	0.00630196	-0.448464	0.00230383	-0.39688	0.00283629
29.8	-0.24091	0.00643052	-0.446348	0.00166027	-0.43405	0.00350047
30.6	-0.232357	0.00663006	-0.449554	0.00193175	-0.438059	0.00278494
31.4	-0.221961	0.00625581	-0.446992	0.00215853	-0.33687	0.00430137
32.2	-0.227498	0.00632953	-0.446602	0.00175396	-0.414813	0.00389526
33	-0.239085	0.0064123	-0.449605	0.00241563	-0.426895	0.00311219
33.8	-0.221624	0.00641999	-0.448202	0.00166528	-0.430116	0.00280113
34.6	-0.226367	0.00633231	-0.449903	0.00215371	-0.425901	0.00423556
35.4	-0.238033	0.00659841	-0.448474	0.00299258	-0.424915	0.00210566
36.2	-0.239254	0.00642738	-0.446868	0.00287551	-0.434478	0.00230718
37	-0.23551	0.00633128	-0.451115	0.00229667	-0.416255	0.00356079
37.8	-0.23142	0.00641049	-0.447873	0.00312881	-0.34418	0.0034315
38.6	-0.235738	0.00646141	-0.446609	0.00237512	-0.424572	0.00332025
39.4	-0.240846	0.00651356	-0.449652	0.00243176	-0.440616	0.00291909
40.2	-0.235731	0.00649979	-0.450188	0.00226276	-0.43709	0.00269144
41	-0.240925	0.00652279	-0.446568	0.00250488	-0.411361	0.00520872
41.8	-0.232355	0.00646857	-0.448148	0.00209188	-0.419806	0.0068184
42.6	-0.246029	0.00661418	-0.450273	0.00259995	-0.439806	0.0035908
43.4	-0.240174	0.00665918	-0.44976	0.00328298	-0.430619	0.00423947
44.2	-0.241147	0.00664859	-0.447567	0.00241637	-0.439627	0.00301814
45	-0.238049	0.0063672	-0.446263	0.00243339	-0.411481	0.00188705
45.8	-0.23423	0.0066638	-0.447654	0.00168745	-0.444621	0.00221372
46.6	-0.239894	0.00651063	-0.447031	0.00193895	-0.39018	0.00640237
47.4	-0.237718	0.00666306	-0.446536	0.00278226	-0.425198	0.00590775
48.2	-0.227728	0.00644737	-0.44935	0.00242561	-0.389078	0.00499059
49	-0.236602	0.00661593	-0.447214	0.00274777	-0.431693	0.0032658
49.8	-0.253016	0.0065479	-0.448571	0.00298807	-0.431735	0.00316492
