beta	meanH_ave	std_dev	meanH_best	best_err	meanH_last	last_err
0.2	1.74571	0.104676	-0.445065	0.00262594	-0.270364	0.206639
1.2	0.131121	0.0167422	-0.433961	0.0017276	0.0121263	0.0221751
2.2	-0.0294018	0.00852991	-0.444785	0.00203134	-0.328214	0.0171825
3.2	-0.0916136	0.00743534	-0.440288	0.0028317	0.104723	0.00548566
4.2	-0.135765	0.00532345	-0.448208	0.00190799	-0.24915	0.0150407
5.2	-0.146678	0.00579577	-0.443105	0.00272745	-0.376801	0.00272043
6.2	-0.171856	0.00515172	-0.444082	0.0019373	-0.195969	0.013702
7.2	-0.141917	0.00513094	-0.44619	0.0023592	-0.374168	0.00325331
8.2	-0.16911	0.00511764	-0.442306	0.00266404	-0.386213	0.0043529
9.2	-0.158688	0.00538204	-0.445609	0.00228211	-0.134087	0.0172761
10.2	-0.175888	0.00521707	-0.444935	0.00329122	-0.303004	0.00604087
11.2	-0.211639	0.0058142	-0.446803	0.00319194	-0.420654	0.0064872
12.2	-0.158547	0.00472841	-0.443809	0.00335496	-0.228901	0.00483171
13.2	-0.135423	0.00423727	-0.448922	0.00274846	-0.242696	0.00472163
14.2	-0.17729	0.00524882	-0.44452	0.00230408	-0.21225	0.00759521
15.2	-0.154325	0.0047748	-0.449973	0.00243671	-0.388022	0.00474136
16.2	-0.181587	0.0052909	-0.450127	0.00200207	-0.199091	0.0102213
17.2	-0.224192	0.00606794	-0.445498	0.0024533	-0.392388	0.00571257
18.2	-0.222382	0.0060672	-0.449743	0.00238093	-0.409009	0.0039466
19.2	-0.209366	0.00599957	-0.444918	0.0025097	-0.436914	0.00255887
20.2	-0.227688	0.00620719	-0.449771	0.00233829	-0.431221	0.00279741
21.2	-0.238363	0.00632058	-0.448326	0.00200455	-0.385609	0.00317312
22.2	-0.224868	0.00619729	-0.446169	0.00299661	-0.368974	0.0031078
23.2	-0.234313	0.00615508	-0.446854	0.00213329	-0.293644	0.0075301
24.2	-0.211822	0.00618118	-0.447452	0.00232901	-0.430306	0.00357407
25.2	-0.223012	0.00623292	-0.447144	0.00256004	-0.393379	0.00256828
26.2	-0.222945	0.00627877	-0.447011	0.0027736	-0.382484	0.00415533
27.2	-0.234377	0.0063738	-0.447966	0.00153203	-0.397497	0.00334706
28.2	-0.23056	0.00627918	-0.445989	0.00260912	-0.338848	0.00766337
29.2	-0.226497	0.00622281	-0.445728	0.00309821	-0.414275	0.00435137
30.2	-0.242337	0.00645247	-0.447857	0.00228593	-0.431663	0.00296715
31.2	-0.230636	0.00643164	-0.447041	0.00218166	-0.438988	0.00340241
32.2	-0.246458	0.00652124	-0.448021	0.00224473	-0.412571	0.00364619
33.2	-0.232198	0.00652261	-0.447848	0.00214089	-0.433292	0.00225978
34.2	-0.236661	0.00654109	-0.449786	0.00234792	-0.42337	0.00249833
35.2	-0.234129	0.00648678	-0.447164	0.00281802	-0.434943	0.00380283
36.2	-0.240561	0.00663756	-0.448079	0.00174377	-0.426554	0.00255634
37.2	-0.239305	0.00642326	-0.44822	0.00211409	-0.438475	0.00264991
38.2	-0.242012	0.00654202	-0.445269	0.00258333	-0.435199	0.00274279
39.2	-0.235662	0.00671484	-0.447763	0.00157847	-0.414662	0.00344489
40.2	-0.241823	0.00663806	-0.450446	0.00257743	-0.445219	0.00330333
41.2	-0.252684	0.00663585	-0.449959	0.00232622	-0.423991	0.00301951
42.2	-0.239332	0.00662266	-0.448367	0.00375716	-0.448765	0.00239109
43.2	-0.247295	0.0065674	-0.448765	0	-0.431945	0.00217689
44.2	-0.234386	0.0065015	-0.447928	0.00262537	-0.4154	0.00311577
45.2	-0.239776	0.00663398	-0.450552	0.00198642	-0.438284	0.00299443
46.2	-0.242557	0.006575	-0.44862	0.0022521	-0.429668	0.00252997
47.2	-0.245793	0.00665552	-0.448253	0.00181811	-0.428723	0.00202609
48.2	-0.240964	0.00665063	-0.450499	0.0025751	-0.404908	0.00221068
49.2	-0.241992	0.00661554	-0.450117	0.00287946	-0.426639	0.00334268
