beta	meanH	err
0.2	-0.223226	0.0130891
1.2	-0.130389	0.0154769
2.2	-0.397705	0.00232252
3.2	-0.397705	0.00477759
4.2	-0.436896	0.00260242
5.2	-0.43745	0.00352894
6.2	-0.431307	0.00285187
7.2	-0.422481	0.00351816
8.2	-0.422481	0.00282234
9.2	-0.397209	0.0044988
10.2	-0.418059	0.00362016
11.2	-0.383334	0.00580919
12.2	-0.403584	0.00396439
13.2	-0.359879	0.0044395
14.2	-0.349433	0.00505134
15.2	-0.336161	0.00599087
16.2	-0.378067	0.00305646
17.2	-0.368491	0.00416021
18.2	-0.370052	0.00343107
19.2	-0.370052	0.00315712
20.2	-0.368031	0.00247374
21.2	-0.363547	0.00340005
22.2	-0.35164	0.00356998
23.2	-0.354935	0.00508785
24.2	-0.359534	0.00429209
25.2	-0.370968	0.00385368
26.2	-0.370968	0.00348535
27.2	-0.383614	0.00287342
28.2	-0.373186	0.00296493
