beta	mu	sigma
0.2	0.522661	0.735776
0.22	0.435775	0.788238
0.242	1.08888	1.30856
0.2662	0.907227	1.66593
0.29282	0.709583	0.342772
0.322102	0.827792	0.436126
0.354312	0.717271	0.372123
0.389743	0.0452167	0.560312
0.428718	0.64585	0.348831
0.47159	0.624202	1.96628
0.518748	0.909149	0.368532
0.570623	0.127056	0.464645
0.627686	0.0726654	0.607502
0.690454	0.828985	1.13795
0.7595	0.691548	1.20631
0.83545	0.0121571	0.530758
0.918995	0.628509	1.02463
1.01089	1.03829	0.749027
1.11198	0.719207	0.717403
1.22318	0.128962	0.666047
1.3455	0.173581	0.972239
1.48005	0.714463	1.19969
1.62805	0.384808	0.792638
1.79086	0.619777	0.631477
1.96995	0.513062	1.28661
2.16694	0.557233	0.787231
2.38364	0.920074	0.841166
2.622	0.119807	1.19209
2.8842	0.674809	1.13233
3.17262	0.638412	0.542509
3.48988	0.922731	0.538229
3.83887	0.699559	0.544338
4.22276	0.109896	0.669312
4.64503	0.988017	0.74926
5.10953	0.068204	0.823954
5.62049	0.0852755	1.21839
6.18254	0.406255	0.781858
6.80079	0.698268	0.691643
7.48087	0.634982	0.641729
8.22896	0.834504	0.697712
9.05185	0.395989	0.941368
9.95704	0.0701763	0.961675
10.9527	0.865357	0.716903
12.048	0.456432	0.79311
13.2528	0.776623	0.594521
14.5781	0.170944	0.997432
16.0359	0.71412	0.639895
17.6395	0.83345	0.565782
19.4034	0.764984	0.615195
21.3438	0.794983	0.639363
23.4782	0.75703	0.539
25.826	0.80133	0.620867
28.4086	0.814496	0.63294
31.2494	0.85974	0.626012
34.3744	0.808938	0.662162
37.8118	0.861918	0.62522
41.593	0.82431	0.670296
45.7523	0.843709	0.626567
