beta	mu	sigma
0.2	0.522661	0.735776
1	0.30985	1.25597
1.8	0.457228	0.921333
2.6	0.489184	0.754274
3.4	0.547754	0.473958
4.2	0.715855	0.569524
5	0.469551	0.798136
5.8	1.01199	0.589867
6.6	0.527339	0.561244
7.4	0.293469	1.01473
8.2	0.733947	0.667661
9	0.663558	0.518898
9.8	0.366824	0.684241
10.6	0.584002	0.676111
11.4	0.999158	0.657532
12.2	0.592978	0.719032
13	0.576286	0.576561
13.8	0.651726	0.698976
14.6	0.72212	0.637351
15.4	0.544761	0.825955
16.2	0.763669	0.497162
17	0.784306	0.656766
17.8	0.840879	0.612421
18.6	0.747626	0.574203
19.4	0.7289	0.610036
20.2	0.791755	0.579418
21	0.599541	0.783973
21.8	0.735377	0.540989
22.6	0.689476	0.687746
23.4	0.629839	0.543595
24.2	0.710178	0.635665
25	0.489079	0.861648
25.8	0.807591	0.610909
26.6	0.896466	0.620615
27.4	0.814316	0.666813
28.2	0.802047	0.667091
29	0.85553	0.561821
29.8	0.785634	0.661394
30.6	0.762169	0.628877
31.4	0.640895	0.776948
32.2	0.725494	0.666648
33	0.766088	0.576057
33.8	0.795267	0.571393
34.6	0.817041	0.672787
35.4	0.719576	0.635003
36.2	0.737456	0.631362
37	0.848478	0.566132
37.8	0.625936	0.65804
38.6	0.821444	0.576259
39.4	0.81486	0.646022
40.2	0.763496	0.619553
41	0.83552	0.688695
41.8	0.813337	0.685544
42.6	0.838108	0.621065
43.4	0.83578	0.651628
44.2	0.83297	0.644601
45	0.704359	0.645478
45.8	0.789263	0.618349
46.6	0.823116	0.698511
47.4	0.793259	0.678271
48.2	0.82492	0.545427
49	0.812011	0.658713
49.8	0.835487	0.646959
