beta	mu	sigma
0.2	0.522661	0.735776
1.2	0.204152	1.2251
2.2	0.628986	0.787174
3.2	1.14975	0.512385
4.2	0.810956	0.82112
5.2	0.658478	0.600899
6.2	0.482443	1.03209
7.2	0.713465	0.544992
8.2	0.764713	0.543533
9.2	0.862342	0.844475
10.2	0.847941	0.507811
11.2	0.743039	0.577446
12.2	0.0497681	0.921691
13.2	0.599218	0.517628
14.2	0.0179225	0.893548
15.2	0.790289	0.720267
16.2	0.429032	1.02795
17.2	0.726795	0.545241
18.2	0.763246	0.690417
19.2	0.810135	0.590084
20.2	0.754366	0.595405
21.2	0.710393	0.555198
22.2	0.881103	0.543484
23.2	0.652865	0.84924
24.2	0.783932	0.660756
25.2	0.681686	0.639611
26.2	0.677502	0.69803
27.2	0.702191	0.679963
28.2	0.846261	0.742239
29.2	0.738759	0.565847
30.2	0.764931	0.58852
31.2	0.826094	0.637445
32.2	0.823072	0.557222
33.2	0.749627	0.605593
34.2	0.851529	0.583398
35.2	0.803511	0.644443
36.2	0.739281	0.588347
37.2	0.813965	0.590521
38.2	0.837097	0.64427
39.2	0.802783	0.678216
40.2	0.78606	0.602263
41.2	0.841293	0.664655
42.2	0.795044	0.605374
43.2	0.803738	0.577636
44.2	0.865861	0.577751
45.2	0.794605	0.640521
46.2	0.860239	0.594434
47.2	0.736568	0.605018
48.2	0.724573	0.696525
49.2	0.793934	0.662968
