beta	mu	sigma
0.2	0.389831	0.985291
1.2	0.800114	0.892817
2.2	0.68316	0.622251
3.2	0.68316	0.622251
4.2	0.767113	0.643082
5.2	0.841196	0.635664
6.2	0.856069	0.617075
7.2	0.794651	0.674046
8.2	0.794651	0.674046
9.2	0.791312	0.716112
10.2	0.819717	0.661412
11.2	0.79316	0.72799
12.2	0.747741	0.706293
13.2	0.696866	0.764962
14.2	0.688174	0.773379
15.2	0.683782	0.773581
16.2	0.684473	0.706907
17.2	0.660147	0.69504
18.2	0.644703	0.672325
19.2	0.644703	0.672325
20.2	0.643372	0.65173
21.2	0.641708	0.664772
22.2	0.627243	0.710063
23.2	0.639277	0.695354
24.2	0.640502	0.66057
25.2	0.649067	0.68856
26.2	0.649067	0.68856
27.2	0.665166	0.679416
28.2	0.660659	0.665181
