step	acc_rate
0	-nan
1	1
2	1
3	0.666667
4	0.5
5	0.6
6	0.666667
7	0.714286
8	0.75
9	0.666667
10	0.6
11	0.545455
12	0.583333
13	0.615385
14	0.571429
15	0.6
16	0.625
17	0.588235
18	0.555556
19	0.578947
20	0.6
21	0.619048
22	0.590909
23	0.608696
24	0.625
25	0.6
26	0.615385
27	0.592593
28	0.571429
29	0.551724
30	0.566667
31	0.580645
32	0.5625
33	0.575758
34	0.588235
35	0.6
36	0.583333
37	0.567568
38	0.552632
39	0.564103
40	0.575
41	0.585366
42	0.595238
43	0.604651
44	0.613636
45	0.6
46	0.608696
47	0.595745
48	0.583333
49	0.591837
50	0.6
51	0.588235
52	0.596154
53	0.584906
54	0.574074
55	0.563636
56	0.571429
57	0.578947
58	0.586207
59	0.576271
60	0.566667
61	0.557377
62	0.564516
63	0.555556
64	0.546875
65	0.538462
66	0.545455
67	0.537313
68	0.544118
69	0.536232
70	0.528571
71	0.521127
72	0.513889
73	0.520548
74	0.513514
75	0.506667
76	0.5
77	0.506494
78	0.5
79	0.506329
80	0.5125
81	0.506173
82	0.512195
83	0.518072
84	0.511905
85	0.505882
86	0.511628
87	0.505747
88	0.5
89	0.505618
90	0.511111
91	0.505495
92	0.5
93	0.494624
94	0.489362
95	0.484211
96	0.479167
97	0.474227
98	0.479592
99	0.484848
100	0.49
101	0.485149
102	0.490196
103	0.495146
104	0.5
105	0.495238
106	0.5
107	0.504673
108	0.5
109	0.504587
110	0.509091
111	0.504505
112	0.5
113	0.495575
114	0.491228
115	0.495652
116	0.491379
117	0.495726
118	0.5
119	0.504202
120	0.508333
121	0.512397
122	0.508197
123	0.504065
124	0.5
125	0.504
126	0.507937
127	0.511811
128	0.515625
129	0.51938
130	0.523077
131	0.519084
132	0.522727
133	0.526316
134	0.529851
135	0.533333
136	0.536765
137	0.532847
138	0.528986
139	0.52518
140	0.521429
141	0.524823
142	0.521127
143	0.524476
144	0.527778
145	0.531034
146	0.534247
147	0.530612
148	0.527027
149	0.530201
150	0.533333
151	0.529801
152	0.526316
153	0.529412
154	0.532468
155	0.535484
156	0.538462
157	0.541401
158	0.537975
159	0.540881
160	0.5375
161	0.540373
162	0.54321
163	0.539877
164	0.542683
165	0.539394
166	0.542169
167	0.538922
168	0.541667
169	0.544379
170	0.547059
171	0.54386
172	0.546512
173	0.543353
174	0.54023
175	0.542857
176	0.539773
177	0.536723
178	0.533708
179	0.536313
180	0.538889
181	0.535912
182	0.538462
183	0.540984
184	0.538043
185	0.540541
186	0.537634
187	0.540107
188	0.542553
189	0.539683
190	0.542105
191	0.544503
192	0.541667
193	0.544041
194	0.546392
195	0.548718
196	0.545918
197	0.548223
198	0.545455
199	0.542714
200	0.54
201	0.542289
202	0.544554
203	0.541872
204	0.544118
