block	integral	prog_ave	err
0	-0.629266	-0.629266	0
1	-0.301183	-0.465224	0.115995
2	-0.643262	-0.52457	0.0912571
3	-0.524945	-0.524664	0.0684429
4	-0.498033	-0.519338	0.0549612
5	-0.624003	-0.536782	0.0484903
6	-0.737186	-0.565411	0.0492954
7	-0.893665	-0.606443	0.0577378
8	-0.57731	-0.603206	0.0514131
9	-0.673707	-0.610256	0.0467527
10	-0.550105	-0.604788	0.042821
11	-0.570908	-0.601964	0.0393456
12	-0.667951	-0.60704	0.036645
13	-0.397501	-0.592073	0.0369578
14	-0.761419	-0.603363	0.0361773
15	-0.792714	-0.615197	0.0357995
16	-0.930981	-0.633773	0.0382102
17	-0.595844	-0.631666	0.0361454
18	-0.538854	-0.626781	0.0345715
19	-1.26502	-0.658693	0.0452341
20	-0.680959	-0.659753	0.0430925
21	-0.658684	-0.659705	0.0411338
22	-0.458008	-0.650935	0.0402693
23	-0.997207	-0.665363	0.0410949
24	-0.620061	-0.663551	0.039491
25	-0.484971	-0.656683	0.0385648
26	-0.432346	-0.648374	0.038021
27	-0.676502	-0.649378	0.0366764
28	-0.95807	-0.660023	0.036924
29	-0.41015	-0.651694	0.0366206
30	-0.976165	-0.662161	0.0369048
31	-0.520846	-0.657745	0.0360148
32	-0.584243	-0.655517	0.0349922
33	-0.711054	-0.657151	0.0340011
34	-0.596774	-0.655426	0.0330734
35	-0.643544	-0.655096	0.0321564
36	-0.77662	-0.65838	0.0314546
37	-0.922861	-0.66534	0.0313874
38	-0.499276	-0.661082	0.0308701
39	-0.698163	-0.662009	0.0301122
40	-1.76706	-0.688961	0.0396456
41	-0.385037	-0.681725	0.0393565
42	-0.679849	-0.681682	0.0384412
43	-1.22375	-0.694001	0.0394924
44	-0.739689	-0.695017	0.0386278
45	-0.534591	-0.691529	0.0379452
46	-0.576929	-0.689091	0.0372161
47	-0.342646	-0.681873	0.0371341
48	-0.700675	-0.682257	0.0363782
49	-0.644607	-0.681504	0.0356584
50	-0.573114	-0.679379	0.0350225
51	-0.698303	-0.679742	0.0343509
52	-0.711139	-0.680335	0.0337079
53	-0.559573	-0.678099	0.0331578
54	-0.576972	-0.67626	0.0326058
55	-1.06544	-0.68321	0.0327558
56	-0.681462	-0.683179	0.0321812
57	-0.605769	-0.681844	0.031654
58	-0.305982	-0.675474	0.0317521
59	-0.570881	-0.67373	0.0312707
60	-0.616364	-0.67279	0.0307722
61	-0.931732	-0.676967	0.030558
62	-1.11946	-0.68399	0.0308696
63	-0.684195	-0.683993	0.0303872
64	-0.293125	-0.67798	0.0305089
65	-0.475128	-0.674907	0.0302011
66	-0.48998	-0.672146	0.0298762
67	-0.700412	-0.672562	0.0294397
68	-0.395314	-0.668544	0.029286
69	-0.344173	-0.66391	0.0292319
70	-0.530056	-0.662025	0.0288809
71	-0.501678	-0.659798	0.0285655
72	-0.630777	-0.6594	0.028177
73	-0.708809	-0.660068	0.0278041
74	-0.501288	-0.657951	0.0275139
75	-0.485547	-0.655682	0.0272452
76	-0.578515	-0.65468	0.0269098
77	-0.694448	-0.65519	0.0265697
78	-0.487609	-0.653069	0.0263179
79	-0.460791	-0.650665	0.0260984
80	-0.950048	-0.654361	0.0260366
81	-0.443649	-0.651792	0.0258456
82	-0.671086	-0.652024	0.0255352
83	-0.559861	-0.650927	0.0252548
84	-0.932484	-0.654239	0.025174
85	-0.518556	-0.652662	0.0249307
86	-1.1453	-0.658324	0.025279
87	-0.523731	-0.656795	0.025038
88	-0.806171	-0.658473	0.0248128
89	-0.705883	-0.659	0.0245427
90	-0.85085	-0.661108	0.0243634
91	-0.509215	-0.659457	0.0241545
92	-0.670619	-0.659577	0.023895
93	-0.633234	-0.659297	0.0236425
94	-0.718271	-0.659918	0.0234018
95	-0.591515	-0.659205	0.0231688
96	-0.664274	-0.659257	0.02293
97	-0.609374	-0.658748	0.0227017
98	-0.65243	-0.658685	0.0224725
99	-0.433246	-0.65643	0.0223605
