block	integral	prog_ave	err
0	-0.423842	-0.423842	0
1	-0.41949	-0.421666	0.00153857
2	-0.422344	-0.421892	0.00104219
3	-0.417101	-0.420695	0.00129877
4	-0.425734	-0.421702	0.00137562
5	-0.421391	-0.42165	0.00114733
6	-0.437174	-0.423868	0.00227649
7	-0.429121	-0.424525	0.00208446
8	-0.419504	-0.423967	0.00192607
9	-0.431045	-0.424675	0.00185898
10	-0.422388	-0.424467	0.00170157
11	-0.421994	-0.424261	0.0015722
12	-0.429734	-0.424682	0.00150658
13	-0.419664	-0.424323	0.00144097
14	-0.427336	-0.424524	0.00135884
15	-0.416608	-0.424029	0.001361
16	-0.430255	-0.424396	0.0013293
17	-0.420681	-0.424189	0.00127136
18	-0.425922	-0.42428	0.00120771
19	-0.417329	-0.423933	0.0011963
20	-0.42142	-0.423813	0.0011453
21	-0.429962	-0.424093	0.00112683
22	-0.421232	-0.423968	0.00108468
23	-0.424782	-0.424002	0.00104002
24	-0.424355	-0.424016	0.000998514
25	-0.424778	-0.424046	0.00096054
26	-0.424344	-0.424057	0.000925028
27	-0.425826	-0.42412	0.000894147
28	-0.425516	-0.424168	0.00086461
29	-0.423311	-0.424139	0.000836261
30	-0.42502	-0.424168	0.000809768
31	-0.41523	-0.423889	0.000831235
32	-0.42644	-0.423966	0.000809633
33	-0.42647	-0.42404	0.000789164
34	-0.42934	-0.424191	0.000781013
35	-0.429515	-0.424339	0.000773195
36	-0.424889	-0.424354	0.000752441
37	-0.432253	-0.424562	0.000760814
38	-0.430128	-0.424704	0.000754575
39	-0.427441	-0.424773	0.000738806
40	-0.426743	-0.424821	0.000722348
41	-0.425013	-0.424825	0.000705164
42	-0.419982	-0.424713	0.000697702
43	-0.426915	-0.424763	0.000683638
44	-0.430356	-0.424887	0.00067965
45	-0.425188	-0.424894	0.000664906
46	-0.42061	-0.424802	0.000656976
47	-0.425591	-0.424819	0.000643494
48	-0.422095	-0.424763	0.000632758
49	-0.420937	-0.424687	0.000624713
