block	integral	prog_ave	err
0	0.70126	0.70126	0
1	0.76573	0.733495	0.0227935
2	0.714318	0.727103	0.016067
3	0.727237	0.727136	0.0120503
4	0.710235	0.723756	0.0101032
5	0.704512	0.720549	0.00891393
6	0.660818	0.712016	0.0109903
7	0.725313	0.713678	0.00974138
8	0.682992	0.710268	0.00923643
9	0.755956	0.714837	0.00937488
10	0.634943	0.707574	0.0109815
11	0.762993	0.712192	0.0109946
12	0.702889	0.711477	0.0101722
13	0.787387	0.716899	0.0107944
14	0.678615	0.714347	0.0103721
15	0.699568	0.713423	0.00976489
16	0.75851	0.716075	0.00954386
17	0.721694	0.716387	0.00901875
18	0.703395	0.715703	0.00856996
19	0.734094	0.716623	0.00819065
20	0.762382	0.718802	0.00808527
21	0.689463	0.717468	0.00782697
22	0.682412	0.715944	0.00763363
23	0.701995	0.715363	0.00733766
24	0.698846	0.714702	0.00707383
25	0.683717	0.713511	0.00690142
26	0.702301	0.713095	0.00665828
27	0.717127	0.713239	0.00642205
28	0.669105	0.711718	0.00637837
29	0.720237	0.712002	0.00617208
30	0.748143	0.713167	0.00608209
31	0.773425	0.71505	0.00617665
32	0.652476	0.713154	0.00627379
33	0.754952	0.714384	0.00620854
34	0.688597	0.713647	0.00607472
35	0.709014	0.713518	0.00590734
36	0.679499	0.712599	0.00581879
37	0.721291	0.712827	0.00567016
38	0.684782	0.712108	0.00557019
39	0.709995	0.712055	0.00543118
40	0.681742	0.711316	0.0053488
41	0.734899	0.711878	0.00525084
42	0.686343	0.711284	0.00516219
43	0.765471	0.712515	0.00518969
44	0.629603	0.710673	0.00539153
45	0.717536	0.710822	0.00527639
46	0.758628	0.711839	0.00526125
47	0.745062	0.712531	0.00519697
48	0.733014	0.712949	0.00510769
49	0.711282	0.712916	0.00500565
