block	integral	prog_ave	err
0	9.64915	9.64915	0
1	9.74347	9.69631	0.0333467
2	9.73292	9.70852	0.0243622
3	9.70569	9.70781	0.0182819
4	9.67879	9.702	0.0155194
5	9.89484	9.73414	0.0320628
6	9.71074	9.7308	0.0276561
7	9.85696	9.74657	0.0283409
8	9.78727	9.75109	0.0255501
9	9.6767	9.74365	0.0240538
10	9.83691	9.75213	0.0233133
11	9.56009	9.73613	0.0262957
12	9.72657	9.73539	0.0242832
13	9.76976	9.73785	0.0226725
14	9.70747	9.73582	0.0212512
15	9.81023	9.74047	0.0204255
16	9.74867	9.74096	0.0192297
17	9.73942	9.74087	0.0181616
18	9.80953	9.74448	0.0175615
19	9.78701	9.74661	0.0168117
20	9.81387	9.74981	0.0163134
21	9.69372	9.74726	0.0157698
22	9.70363	9.74537	0.0151979
23	9.77513	9.74661	0.0146151
24	9.82507	9.74974	0.0143636
25	9.67002	9.74668	0.0141346
26	9.77166	9.7476	0.0136414
27	9.67756	9.7451	0.0133816
28	9.84169	9.74843	0.0133282
29	9.68634	9.74636	0.0130436
30	9.6928	9.74464	0.0127368
31	9.77932	9.74572	0.0123848
32	9.67868	9.74369	0.012175
33	9.78681	9.74496	0.0118828
34	9.69893	9.74364	0.0116158
35	9.754	9.74393	0.0112967
36	9.82184	9.74603	0.0111859
37	9.86027	9.74904	0.0112882
38	9.74834	9.74902	0.0109988
39	9.88072	9.75232	0.0112058
40	9.74343	9.7521	0.0109346
41	9.72436	9.75144	0.0106942
42	9.90636	9.75504	0.0110357
43	9.67194	9.75315	0.0109453
44	9.78197	9.75379	0.0107208
45	9.81585	9.75514	0.0105723
46	9.79685	9.75603	0.0103845
47	9.74099	9.75572	0.0101729
48	9.66658	9.7539	0.0101266
49	9.69897	9.7528	0.00998347
