block	integral	prog_ave	err
0	5316.02	5316.02	0
1	5043.09	5179.55	96.4941
2	5215.02	5191.37	65.0494
3	4390.72	4991.21	180.082
4	4816.63	4956.29	147.411
5	4797.08	4929.76	125.208
6	5873.55	5064.59	164.619
7	5666.44	5139.82	160.313
8	5173.95	5143.61	142.546
9	5915.4	5220.79	147.715
10	5032.27	5203.65	135.277
11	4627.36	5155.63	132.253
12	5167.41	5156.53	122.083
13	5160.22	5156.8	113.363
14	5937.99	5208.88	117.159
15	5210.46	5208.97	109.837
16	5153.28	5205.7	103.425
17	4862.08	5186.61	99.4252
18	5365.59	5196.03	94.6374
19	5430.27	5207.74	90.6274
20	5028.61	5199.21	86.7123
21	5176.13	5198.16	82.7772
22	5286.68	5202.01	79.2676
23	5473.12	5213.31	76.7655
24	5411.41	5221.23	74.1027
25	4708.95	5201.53	73.8255
26	5467.73	5211.39	71.7466
27	4909.89	5200.62	69.9875
28	5017.68	5194.31	67.8579
29	5904.32	5217.98	69.6009
30	5928.61	5240.9	71.0305
31	4877.16	5229.53	69.7144
32	5636.21	5241.86	68.6824
33	4318.23	5214.69	71.834
34	5242.73	5215.49	69.7861
35	4656.51	5199.97	69.5536
36	4669.48	5185.63	69.1357
37	5403.78	5191.37	67.5543
38	4903.32	5183.98	66.2246
39	5979.11	5203.86	67.4865
40	5223.1	5204.33	65.8421
41	4758.94	5193.73	65.1228
42	5368.45	5197.79	63.7349
43	5643.16	5207.91	63.0851
44	4819.08	5199.27	62.2721
45	5185.44	5198.97	60.9191
46	5584.32	5207.17	60.1722
47	5168.01	5206.35	58.9241
48	5462.18	5211.57	57.9524
49	5457.31	5216.49	57.0014
