block	integral	prog_ave	err
0	-0.436221	-0.436221	0
1	-0.432054	-0.434138	0.00147313
2	-0.436807	-0.435027	0.00122153
3	-0.426836	-0.43298	0.0019961
4	-0.439003	-0.434184	0.00192641
5	-0.43532	-0.434373	0.00161461
6	-0.440565	-0.435258	0.00160809
7	-0.433786	-0.435074	0.00141757
8	-0.430438	-0.434559	0.0013504
9	-0.43946	-0.435049	0.00130125
10	-0.436053	-0.43514	0.00118615
11	-0.433883	-0.435035	0.00109193
12	-0.439104	-0.435348	0.00105182
13	-0.430574	-0.435007	0.00103048
14	-0.441299	-0.435427	0.00104367
15	-0.435041	-0.435403	0.000978717
16	-0.435595	-0.435414	0.00092121
17	-0.432906	-0.435275	0.000880507
18	-0.43386	-0.4352	0.000837307
19	-0.432445	-0.435062	0.000806695
20	-0.438448	-0.435224	0.000784225
21	-0.441814	-0.435523	0.000803753
22	-0.432689	-0.4354	0.000778198
23	-0.435887	-0.43542	0.000746038
24	-0.436744	-0.435473	0.000718074
25	-0.442635	-0.435749	0.000741407
26	-0.43958	-0.435891	0.000727398
27	-0.433141	-0.435792	0.000708016
28	-0.43564	-0.435787	0.000683621
29	-0.434206	-0.435734	0.000662862
30	-0.432791	-0.435639	0.000648245
31	-0.434334	-0.435599	0.000629269
32	-0.437145	-0.435646	0.000611942
33	-0.438055	-0.435716	0.000598034
34	-0.440818	-0.435862	0.000598444
35	-0.441528	-0.43602	0.000602157
36	-0.435672	-0.43601	0.000585956
37	-0.441767	-0.436162	0.000589792
38	-0.438296	-0.436216	0.000577203
39	-0.437033	-0.436237	0.000563134
40	-0.436661	-0.436247	0.000549494
41	-0.435711	-0.436234	0.000536559
42	-0.43422	-0.436188	0.000526122
43	-0.437987	-0.436228	0.000515752
44	-0.43813	-0.436271	0.000506019
45	-0.433264	-0.436205	0.000499223
46	-0.438391	-0.436252	0.000490763
47	-0.434812	-0.436222	0.000481454
48	-0.436319	-0.436224	0.000471633
49	-0.431578	-0.436131	0.000471264
