block	integral	prog_ave	err
0	-0.434487	-0.434487	0
1	-0.426432	-0.43046	0.00284774
2	-0.433222	-0.43138	0.00204193
3	-0.429398	-0.430885	0.00159043
4	-0.431566	-0.431021	0.00127817
5	-0.433518	-0.431437	0.00113084
6	-0.437432	-0.432294	0.00125231
7	-0.434668	-0.43259	0.0011304
8	-0.431389	-0.432457	0.00101265
9	-0.433653	-0.432577	0.000918431
10	-0.429828	-0.432327	0.00086827
11	-0.42621	-0.431817	0.000933605
12	-0.431853	-0.43182	0.000861794
13	-0.429362	-0.431644	0.000817924
14	-0.433561	-0.431772	0.000773317
15	-0.426208	-0.431424	0.00079936
16	-0.431455	-0.431426	0.000752341
17	-0.430192	-0.431358	0.000713663
18	-0.434165	-0.431505	0.000691232
19	-0.436203	-0.43174	0.000695426
20	-0.433012	-0.431801	0.000664944
21	-0.440582	-0.4322	0.000744942
22	-0.435007	-0.432322	0.000722481
23	-0.425739	-0.432048	0.000742624
24	-0.428566	-0.431908	0.000725859
25	-0.43291	-0.431947	0.000698964
26	-0.437317	-0.432146	0.000700802
27	-0.430283	-0.432079	0.000678922
28	-0.433633	-0.432133	0.000657621
29	-0.431315	-0.432106	0.000636266
30	-0.433434	-0.432148	0.000617183
31	-0.43288	-0.432171	0.000598319
32	-0.436262	-0.432295	0.000592891
33	-0.431058	-0.432259	0.000576568
34	-0.435492	-0.432351	0.000567446
35	-0.434438	-0.432409	0.000554636
36	-0.432597	-0.432414	0.000539669
37	-0.43723	-0.432541	0.000540143
38	-0.437446	-0.432667	0.000540736
39	-0.431921	-0.432648	0.000527539
40	-0.435153	-0.432709	0.000518196
41	-0.430339	-0.432653	0.000508921
42	-0.433529	-0.432673	0.000497494
43	-0.435881	-0.432746	0.0004915
44	-0.430583	-0.432698	0.000482922
45	-0.433563	-0.432717	0.00047279
46	-0.424084	-0.432533	0.000497132
47	-0.432383	-0.43253	0.000486784
48	-0.429561	-0.432469	0.000480605
49	-0.430127	-0.432423	0.00047327
