step	x
1	0.585357
2	0.585357
3	1.88183
4	1.84779
5	0.762236
6	0.762236
7	0.762236
8	0.762236
9	0.762236
10	1.44899
11	-0.613001
12	-0.613001
13	1.02916
14	-0.711602
15	0.80867
16	1.02495
17	1.02495
18	-0.543942
19	-0.543942
20	-0.543942
21	-0.543942
22	-0.396718
23	-0.439019
24	-0.439019
25	-1.38889
26	-1.38889
27	-1.38889
28	-0.128397
29	-0.128397
30	-0.128397
31	-1.71421
32	-1.27428
33	-0.45406
34	-0.45406
35	-0.45406
36	0.215233
37	1.37357
38	1.41001
39	1.04655
40	1.04655
41	1.04655
42	1.04655
43	0.79887
44	0.79887
45	1.458
46	1.80452
47	1.80452
48	-0.109196
49	-0.109196
50	-0.109196
51	0.94608
52	0.94608
53	-1.21926
54	-1.21926
55	1.22049
56	1.22049
57	0.83422
58	0.83422
59	-1.05531
60	-1.05531
61	-1.05531
62	-1.05531
63	-1.05531
64	-0.206431
65	-0.206431
66	-0.206431
67	-0.206431
68	-0.760135
69	0.264935
70	0.264935
71	1.24694
72	1.24694
73	-0.473417
74	0.805682
75	-0.61145
76	-0.61145
77	-0.61145
78	0.525643
79	0.525643
80	-1.77598
81	-1.77598
82	-1.77598
83	-1.781
84	-1.781
85	-0.756416
86	-0.756416
87	-0.756416
88	-1.48816
89	-0.982051
90	-0.982051
91	-1.19884
92	-0.532764
93	0.0359663
94	-1.38479
95	-0.570356
96	-0.570356
97	-0.570356
98	1.20371
99	1.20371
100	1.20371
101	0.974857
102	0.974857
103	0.974857
104	0.974857
105	0.974857
106	0.974857
107	0.332629
108	-0.799023
109	-0.799023
110	-0.799023
111	0.674363
112	-1.19791
113	-1.19791
114	-1.19791
115	-1.19791
116	-1.19791
117	-1.19791
118	-1.19791
119	0.679616
120	0.679616
121	0.679616
122	0.679616
123	0.679616
124	-1.97827
125	0.48038
126	-0.389905
127	0.469888
128	-0.711411
129	-0.711411
130	-0.711411
131	-0.479329
132	0.104395
133	0.104395
134	0.104395
135	0.104395
136	0.104395
137	0.53968
138	0.53968
139	0.53968
140	0.53968
141	1.15174
142	-0.659942
143	-0.323232
144	1.37253
145	1.37253
146	1.11606
147	1.11606
148	1.11606
149	1.11606
150	1.11606
151	0.00899931
152	-1.4628
153	-0.938076
154	-0.938076
155	-0.938076
156	-0.170162
157	0.202383
158	1.16071
159	-1.10013
160	0.429896
161	0.429896
162	0.429896
163	-0.164188
164	-0.164188
165	-0.164188
166	1.55682
167	1.55682
168	1.55682
169	1.55682
170	1.55682
171	0.856042
172	0.856042
173	0.856042
174	0.856042
175	-1.41265
176	-1.41265
177	-1.41265
178	-1.41265
179	-1.15005
180	0.4287
