step	x
1	1.25168
2	-0.817707
3	0.478766
4	0.444729
5	-0.640828
6	-0.640828
7	1.41663
8	1.41663
9	1.41663
10	1.41663
11	-0.645358
12	-0.645358
13	0.996799
14	-0.743959
15	0.776313
16	0.992597
17	0.992597
18	-0.576299
19	-0.576299
20	-0.576299
21	-0.576299
22	-0.429075
23	-0.471376
24	-0.471376
25	-1.42125
26	-1.42125
27	-1.42125
28	-0.160754
29	-0.160754
30	-0.160754
31	-1.74656
32	-1.30664
33	-0.486417
34	-0.486417
35	-0.486417
36	0.182876
37	1.34121
38	1.37765
39	1.01419
40	1.01419
41	1.01419
42	1.01419
43	0.766513
44	0.766513
45	1.42564
46	1.77216
47	1.77216
48	-0.141553
49	-0.141553
50	-0.141553
51	0.913723
52	0.913723
53	-1.25162
54	-1.25162
55	1.18813
56	1.18813
57	0.801863
58	0.801863
59	-1.08766
60	-1.08766
61	-1.08766
62	-1.08766
63	-1.08766
64	-0.238788
65	-0.238788
66	-0.238788
67	-0.238788
68	-0.792492
69	0.232578
70	-0.017313
71	0.964689
72	0.964689
73	-0.755665
74	0.523435
75	-0.893698
76	-0.893698
77	-0.893698
78	0.243395
79	0.243395
80	-2.05822
81	-2.05822
82	-2.05822
83	-2.06325
84	-2.06325
85	-1.03866
86	-1.03866
87	-1.03866
88	-1.7704
89	-1.2643
90	-1.2643
91	-1.48109
92	-0.815012
93	-0.246282
94	-0.246282
95	0.568155
96	-1.27676
97	-1.27676
98	0.497309
99	0.497309
100	0.497309
101	0.268456
102	0.268456
103	0.268456
104	-1.028
105	-1.028
106	-1.028
107	-1.028
108	-1.028
109	-1.028
110	1.47359
111	1.47359
112	-0.398682
113	-0.398682
114	-0.398682
115	-1.12323
116	-1.12323
117	-1.12323
118	-1.12323
119	0.754295
120	0.754295
121	0.352016
122	0.352016
123	1.26777
124	-1.39011
125	1.06854
126	0.198253
127	1.05805
128	-0.123253
129	-0.123253
130	-1.2334
131	-1.00131
132	-0.41759
133	1.3035
134	-1.31228
135	0.590389
136	0.590389
137	1.02567
138	1.02567
139	1.02567
140	1.02567
141	1.02567
142	-0.78601
143	-0.4493
144	1.24646
145	1.24646
146	0.989995
147	0.989995
148	0.989995
149	0.989995
150	0.989995
151	-0.11707
152	-1.58887
153	-1.06414
154	-1.06414
155	-1.06414
156	-0.296231
157	0.0763142
158	1.03464
159	-1.2262
160	0.303827
161	0.303827
162	0.303827
163	-0.290257
164	-0.290257
165	-0.290257
166	1.43075
167	1.43075
168	1.43075
169	1.43075
170	1.43075
171	0.729973
172	0.729973
173	0.729973
174	0.729973
175	0.729973
176	0.729973
177	0.729973
178	0.729973
179	0.992578
180	0.992578
181	0.992578
182	0.676745
183	0.676745
184	0.676745
185	-1.19001
186	-1.19001
187	-1.19001
188	-1.19001
189	-1.19001
190	-1.19001
191	-1.19001
192	-1.19001
193	-1.19001
194	0.167204
195	0.167204
196	0.167204
197	-1.48345
198	0.0822015
199	0.0822015
200	0.0822015
201	0.0822015
202	0.0822015
203	1.00516
204	1.00516
205	-1.00484
206	-1.00484
207	-1.01649
208	-1.01649
209	-0.508126
210	-0.508126
211	-0.820734
212	1.36379
213	1.36379
214	1.36379
215	1.36379
216	-0.23794
217	-0.564188
218	-0.063855
219	-0.063855
220	-0.715602
221	0.948406
222	0.948406
223	0.948406
224	0.948406
225	-0.386283
226	0.0130209
227	0.7175
228	0.7175
229	-0.172889
230	-0.980141
231	-0.980141
232	-0.632816
233	-0.632816
234	-0.632816
235	-0.632816
236	-0.632816
237	-0.632816
238	-0.632816
239	1.46961
240	1.49595
241	1.49595
242	-0.636152
243	-0.636152
244	-0.636152
245	-0.754032
246	-0.86469
247	-0.0873702
248	1.2609
249	0.506272
