block	integral	prog_ave	err
0	-0.425966	-0.425966	0
1	-0.427925	-0.426946	0.000692544
2	-0.437965	-0.430619	0.00303436
3	-0.427145	-0.42975	0.00239678
4	-0.426777	-0.429156	0.00198984
5	-0.417805	-0.427264	0.00239417
6	-0.4189	-0.426069	0.00233132
7	-0.429332	-0.426477	0.00207528
8	-0.421201	-0.425891	0.00192571
9	-0.410585	-0.42436	0.00226097
10	-0.443672	-0.426116	0.00265084
11	-0.4186	-0.425489	0.00250283
12	-0.405657	-0.423964	0.00273601
13	-0.406894	-0.422745	0.0027991
14	-0.43798	-0.42376	0.0027907
15	-0.423447	-0.423741	0.00261635
16	-0.427478	-0.423961	0.00247166
17	-0.428948	-0.424238	0.00234983
18	-0.448034	-0.42549	0.00253808
19	-0.441127	-0.426272	0.00252874
20	-0.427604	-0.426335	0.00240912
21	-0.447006	-0.427275	0.00247606
22	-0.401872	-0.426171	0.0026031
23	-0.427918	-0.426243	0.00249566
24	-0.441221	-0.426842	0.00246669
25	-0.423464	-0.426712	0.00237524
26	-0.418725	-0.426417	0.00230562
27	-0.423516	-0.426313	0.0022256
28	-0.429622	-0.426427	0.00215178
29	-0.422186	-0.426286	0.00208469
30	-0.428181	-0.426347	0.00201834
31	-0.439049	-0.426744	0.00199392
32	-0.445016	-0.427298	0.00200891
33	-0.424231	-0.427207	0.00195184
34	-0.43041	-0.427299	0.00189822
35	-0.409198	-0.426796	0.00191093
36	-0.447814	-0.427364	0.00194187
37	-0.435037	-0.427566	0.00190124
38	-0.430496	-0.427641	0.00185397
39	-0.438151	-0.427904	0.00182615
40	-0.39715	-0.427154	0.00192952
41	-0.412889	-0.426814	0.00191324
42	-0.427523	-0.426831	0.00186882
43	-0.425884	-0.426809	0.00182647
44	-0.439574	-0.427093	0.00180777
45	-0.437407	-0.427317	0.00178232
46	-0.435368	-0.427488	0.00175261
47	-0.44232	-0.427797	0.00174313
48	-0.438368	-0.428013	0.00172085
49	-0.426868	-0.42799	0.00168659
