step	x
1	0.0841933
2	0.0841933
3	1.24405
4	1.24405
5	1.24405
6	-0.18192
7	-0.18192
8	-0.18192
9	0.928864
10	0.928864
11	0.928864
12	1.24795
13	0.269618
14	0.0378417
15	-0.48164
16	-0.48164
17	-1.66703
18	-1.66703
19	-1.06907
20	0.585305
21	-0.438598
22	-0.677069
23	1.36063
24	1.36063
25	0.943378
26	0.0626973
27	0.0626973
28	-1.15948
29	-1.31146
30	-1.31146
31	-1.31146
32	0.411287
33	0.411287
34	0.773653
35	0.773653
36	0.773653
37	0.773653
38	1.23879
39	1.92537
40	2.10852
41	1.25351
42	-1.08883
43	-1.08883
44	-0.227431
45	-0.716616
46	-0.721096
47	-0.721096
48	-0.721096
49	-0.721096
50	-0.721096
51	-0.88463
52	-0.88463
53	-0.88463
54	-0.88463
55	-0.88463
56	-0.88463
57	-0.88463
58	-0.0755988
59	-0.0755988
60	-0.856551
61	-0.211999
62	-0.211999
63	-0.211999
64	-0.211999
65	-0.211999
66	0.1086
67	0.293091
68	0.0554136
69	-1.23246
70	1.11085
71	1.11085
72	-0.130207
73	0.460772
74	0.460772
75	0.460772
76	0.460772
77	-0.67936
78	1.08308
79	-0.979122
80	-0.0665053
81	-0.0665053
82	-0.0665053
83	-0.0665053
84	0.487841
85	0.487841
86	0.487841
87	-0.98907
88	-0.98907
89	-0.98907
90	0.25991
91	-0.878305
92	-0.878305
93	-0.878305
94	-0.878305
95	-1.32855
96	-1.32855
97	-0.759028
98	-0.759028
99	-0.759028
100	-0.759028
101	-0.124433
102	-0.124433
103	-0.124433
104	0.318287
105	1.25728
106	1.25728
107	1.25728
108	1.25728
109	1.25728
110	0.271019
111	0.271019
112	-0.134279
113	-0.134279
114	-0.779943
115	-1.25203
116	-1.25203
117	0.187002
118	0.187002
119	0.931794
120	0.931794
121	-1.06953
122	1.40272
123	1.81245
124	1.81245
125	1.81245
126	1.81245
127	1.32786
128	-0.171807
129	-0.171807
130	-0.171807
131	0.398934
132	0.398934
133	0.454763
134	0.454763
135	-0.918248
136	-0.300879
137	-0.300879
138	-0.300879
139	-0.300879
140	-0.300879
141	-1.20382
142	0.832041
143	0.365638
144	0.365638
145	0.365638
146	0.365638
147	0.365638
148	0.365638
149	0.365638
150	-1.20381
151	-1.20381
152	-1.20381
153	-1.20381
154	1.44238
155	0.0560401
156	0.0560401
157	0.0675619
158	0.0675619
159	0.0675619
160	-0.977342
161	-0.977342
162	-0.417075
163	0.842599
164	0.547621
165	0.547621
166	0.547621
167	0.0888472
168	0.376294
169	0.680638
170	0.680638
171	0.680638
172	0.680638
173	0.680638
174	0.680638
175	-0.0179077
176	0.607786
177	0.607786
178	0.607786
179	-0.770143
180	-0.770143
181	-0.770143
182	0.538367
183	-1.1718
184	-1.1718
185	-1.1718
186	-0.147187
187	-0.147187
188	0.058603
189	0.058603
190	0.058603
191	0.058603
192	0.058603
193	0.827315
194	-1.28392
195	-1.50554
196	0.922485
197	-0.0327552
198	-0.0327552
199	-0.0327552
200	-0.517081
201	-0.517081
202	-0.517081
203	-0.517081
204	-0.0176686
205	-0.0176686
206	-0.0176686
207	-0.0176686
208	-0.337398
209	0.186381
210	-0.326138
211	-0.326138
212	-0.449615
213	-0.449615
214	-0.449615
215	-0.449615
216	-0.446348
217	-0.446348
218	-0.296465
219	-0.296465
220	-0.296465
221	-0.296465
222	-0.296465
223	-0.296465
224	0.745651
225	0.745651
226	0.19184
227	0.19184
228	-0.119681
229	1.49019
230	1.49019
231	-0.816846
232	-0.816846
233	-0.816846
234	-0.59472
235	-0.59472
236	-0.59472
237	-0.59472
238	0.398241
239	0.800543
240	-0.666811
241	0.0484749
242	0.0484749
243	0.93302
244	0.93302
245	0.93302
246	0.93302
247	0.93302
248	0.130417
249	0.130417
250	-0.0644918
251	-0.0644918
252	0.407219
253	0.407219
254	0.407219
255	0.407219
256	-0.470845
257	-0.470845
258	-0.470845
259	0.668949
260	0.668949
261	0.668949
262	0.668949
263	0.12198
264	-0.320563
265	0.67875
266	-0.820211
267	-1.81001
268	0.594913
269	0.594913
270	0.594913
271	-0.669885
272	-0.669885
273	-0.669885
274	0.489191
275	1.06628
276	-0.12389
277	-0.12389
278	-0.12389
279	-1.60242
280	0.0353525
281	-0.57792
282	-0.57792
283	-0.57792
284	-0.57792
285	-0.57792
286	-0.694476
287	-0.694476
288	-0.694476
289	-0.983155
290	-0.983155
291	0.547185
292	-0.0270274
293	-0.563353
294	-0.540803
295	-0.540803
296	-0.540803
297	-0.540803
298	-0.540803
299	-0.540803
300	-1.69288
301	-0.507935
302	-0.507935
303	-0.507935
304	-0.507935
305	0.719265
306	-0.211171
307	0.531452
308	0.531452
309	0.531452
310	-0.797181
311	-0.797181
312	-0.784479
313	0.577345
314	0.577345
315	0.577345
316	0.577345
317	0.133099
318	1.16852
319	1.16852
320	0.000635661
321	-0.710548
322	-0.710548
323	-0.710548
324	-0.710548
325	-0.710548
326	-1.27685
327	-1.27685
328	-1.53106
329	-0.125703
330	-0.125703
331	-0.125703
332	-0.84485
333	-1.18867
334	-1.18867
335	0.67115
336	-1.02793
337	-0.276827
338	-0.276827
339	-0.276827
340	-0.276827
341	0.682827
342	0.682827
343	0.707891
344	0.707891
345	0.707891
346	0.707891
347	-0.270148
348	-0.270148
349	-0.270148
350	-0.270148
351	-1.33695
352	-1.7688
353	-1.60943
354	-0.0797992
355	-1.05492
356	-0.878163
357	-0.878163
358	-0.878163
359	-1.28818
360	-0.989992
361	-0.989992
362	-0.28392
363	-0.28392
364	0.206955
365	-0.45541
366	-0.45541
367	-0.45541
368	-0.45541
369	1.58021
370	1.58021
371	1.58021
372	0.0117289
373	0.0117289
374	-0.0667458
375	-0.0667458
376	0.145657
377	0.342068
378	-1.02491
379	-0.0132618
380	0.33853
381	0.33853
382	0.33853
383	1.40678
384	1.40678
385	0.356861
386	0.356861
387	0.356861
388	-0.510537
389	-0.510537
390	-0.510537
391	0.038224
392	0.038224
393	-1.04199
394	0.501286
395	-0.460967
396	-0.852604
397	0.522736
398	0.962311
399	0.962311
400	-0.810454
401	-0.810454
402	-0.810454
403	-0.810454
404	-0.89091
405	-0.89091
406	0.834286
407	0.834286
408	0.834286
409	-0.944123
410	-0.683918
411	-0.683918
412	-0.683918
413	-0.683918
414	-0.683918
415	-0.65691
416	0.183892
417	0.183892
418	0.183892
419	0.183892
420	0.183892
421	0.183892
422	1.22772
423	-0.0546436
424	-0.0546436
425	-0.0546436
426	0.411414
427	0.87107
428	0.87107
429	1.12871
430	-0.298575
431	0.241038
432	-0.436921
433	-1.60291
434	-1.60291
435	-1.02726
436	0.388549
437	0.388549
438	0.0932785
439	0.0932785
440	1.57924
441	1.57924
442	1.57924
443	1.57924
444	-0.811305
445	-0.811305
446	-0.811305
447	-0.811305
448	-0.811305
449	-0.811305
450	-0.811305
451	-0.811305
452	-0.811305
453	-0.811305
454	-0.811305
455	-0.811305
456	-0.811305
457	-0.811305
458	-0.811305
459	0.878869
460	1.73876
461	-0.1267
462	-0.1267
463	-0.1267
464	-0.1267
465	-0.1267
466	-1.04151
467	-0.12709
468	0.685403
469	-1.32299
470	-1.32299
471	-1.44404
472	-1.44404
473	-1.44404
474	-1.44404
475	-1.40064
476	-1.40064
477	-1.40064
478	-1.40816
479	-0.0534795
480	1.14342
481	1.14342
482	-0.761741
483	-0.761741
484	-1.23004
485	-1.23004
486	-1.23004
487	-1.23004
488	-1.23004
489	-1.46727
490	-1.46727
491	-1.46727
492	-1.46727
493	-1.58023
494	-1.58023
495	-1.58023
496	-1.58023
497	-1.58023
498	0.557637
499	0.557637
500	0.149434
501	0.149434
502	-0.537822
503	-0.537822
504	-0.537822
505	-0.537822
506	-0.537822
507	-0.537822
508	-0.479379
509	-0.479379
510	-0.479379
511	-0.895668
512	-0.895668
513	-0.895668
514	-0.895668
515	-0.332883
516	-0.332883
517	-0.978694
518	1.34406
519	1.34406
520	-1.09928
521	0.326693
522	0.326693
523	-0.634526
524	-1.16664
525	-1.22018
526	-0.158042
527	-0.158042
528	0.801053
529	0.801053
530	0.336114
531	-0.799747
532	-0.799747
533	-0.799747
534	-0.799747
535	-0.845858
536	0.699278
537	0.699278
538	0.699278
539	0.699278
540	-1.32335
541	-0.0774612
542	-0.0774612
543	-0.550898
544	-0.550898
545	-0.550898
546	-0.378842
547	-0.378842
548	-0.378842
549	1.10423
550	1.10423
551	0.327704
552	0.327704
553	0.327704
554	0.253654
555	1.03201
556	-0.133404
557	-0.769624
558	1.64958
559	1.64958
560	1.64958
561	0.278032
562	0.278032
563	0.278032
564	1.38692
565	0.133797
566	0.77471
567	0.77471
568	-1.1764
569	-1.1764
570	0.679494
571	0.232722
572	1.53218
573	1.53218
574	1.53218
575	1.53218
576	1.41145
577	1.41145
578	1.41145
579	-0.555381
580	-0.555381
581	-0.638584
582	-1.34582
583	-0.7182
584	-0.7182
585	-0.0579778
586	-0.0579778
587	-0.131026
588	0.662558
589	-1.20845
590	-0.571927
591	1.17592
592	-0.188847
593	0.422462
594	0.422462
595	0.652017
596	0.652017
597	0.652017
598	0.652017
599	0.652017
600	0.949274
601	-1.22645
602	-1.00323
603	-1.08279
604	-0.216796
605	-1.18808
606	-1.18808
607	-0.660516
608	0.744021
609	0.744021
610	-0.222835
611	-0.222835
612	-0.222835
613	-0.222835
614	1.18772
615	0.739495
616	-0.37086
617	-0.37086
618	-0.673885
619	-0.121264
620	-0.121264
621	1.11915
622	1.11915
623	1.11915
624	1.11915
625	1.11915
626	-0.84513
627	-0.84513
628	-0.84513
629	-0.84513
630	-0.84513
631	-0.919895
632	-0.919895
633	-0.919895
634	1.70645
635	1.70645
636	-0.705
637	-0.705
638	-0.77743
639	-0.77743
640	-0.77743
641	-0.77743
