step	x
1	0.663286
2	0.663286
3	0.663286
4	-0.659478
5	-0.659478
6	-0.785344
7	-0.785344
8	-0.785344
9	-0.785344
10	-0.785344
11	-0.785344
12	-0.785344
13	-0.805666
14	-0.805666
15	0.698198
16	0.91924
17	0.674822
18	0.674822
19	1.09579
20	0.54131
21	0.54131
22	0.54131
23	0.54131
24	0.54131
25	-0.0738115
26	-0.0738115
27	1.13379
28	-0.219042
29	1.08879
30	1.08879
31	-0.674425
32	0.682282
33	0.682282
34	0.944218
35	0.944218
36	0.944218
37	0.0758655
38	0.0758655
39	0.0758655
40	0.0758655
41	-0.613107
42	-0.102799
43	-0.889446
44	0.857534
45	0.857534
46	1.75686
47	1.50174
48	1.50174
49	-0.75583
50	-0.75583
51	-0.625063
52	-0.625063
53	-0.625063
54	1.19678
55	1.16828
56	1.16828
57	1.16828
58	1.14606
59	1.14606
60	0.289501
61	0.289501
62	0.289501
63	0.289501
64	-0.817594
65	0.516157
66	-0.61058
67	-0.61058
68	-0.61058
69	-0.61058
70	-0.61058
71	-0.680504
72	-0.680504
73	-0.331946
74	-0.800826
75	-0.800826
76	-0.800826
77	-0.800826
78	-0.800826
79	-0.800826
80	0.995517
81	0.487372
82	0.487372
83	0.561721
84	-1.29077
85	0.257171
86	0.257171
87	0.257171
88	0.257171
89	1.5311
90	-0.656384
91	-0.656384
92	-0.656384
93	-1.25469
94	-0.655125
95	-0.557658
96	0.773182
97	0.866393
98	0.866393
99	0.866393
100	-0.843202
101	-0.843202
102	-0.843202
103	-0.74297
104	-0.74297
105	0.419223
106	-1.43521
107	-1.43521
108	-1.43521
109	-0.902546
110	-0.110897
111	-1.22483
112	-1.22483
113	-1.22483
114	0.473763
115	0.473763
116	0.473763
117	-1.08865
118	0.301353
119	0.661065
120	0.729131
121	0.729131
122	0.729131
123	0.729131
124	0.729131
125	0.404807
126	0.404807
127	-1.25793
128	-1.12255
129	-1.12255
130	-0.880819
131	-0.880819
132	-1.32121
133	-1.72375
134	0.40977
135	0.40977
136	0.40977
137	-0.193191
138	-0.457786
139	-0.457786
140	-0.457786
141	-0.844918
142	-0.844918
143	-0.844918
144	-0.844918
145	0.360696
146	0.360696
147	-0.311068
148	-0.311068
149	-0.311068
150	-0.311068
151	-0.311068
152	-0.311068
153	0.819563
154	0.355531
155	0.355531
156	0.355531
157	1.4052
158	1.4052
159	1.4052
160	1.08009
161	1.16696
162	1.16696
163	1.16696
164	1.16696
165	1.13332
166	1.13332
167	-0.430545
168	-0.981956
169	-0.981956
170	-0.981956
171	0.544734
172	-0.428692
173	-1.78143
174	-1.78143
175	-1.78143
176	-1.78143
177	-1.22949
178	-1.22949
179	-1.3356
180	-1.3356
181	-0.563151
182	-0.563151
183	-0.563151
184	-0.563151
185	-0.563151
186	-1.0444
187	-0.654171
188	-0.654171
189	-0.654171
190	-0.269929
191	-0.269929
192	-0.268404
193	-0.529673
194	0.0938266
195	-1.19653
196	-1.19653
197	-1.19653
198	-0.552588
199	0.121181
200	-0.731819
201	-0.28259
202	-0.28259
203	1.47906
204	1.47906
205	0.418037
206	0.418037
207	-0.369754
208	-1.21587
209	0.972642
210	0.599572
211	-0.901485
212	0.86502
213	-0.0796175
214	-0.728549
215	-0.728549
216	-0.728549
217	-0.728549
218	-0.728549
219	-0.728549
220	-1.95616
221	-1.95616
222	0.477631
223	1.22129
224	0.102787
225	-1.04524
226	-0.92577
227	-0.92577
228	-0.713663
229	-0.713663
230	-1.18224
231	0.952935
232	0.952935
233	-0.418823
234	0.416667
235	-0.0381724
236	-0.793594
237	-0.793594
238	-0.699645
239	-0.699645
240	-0.699645
241	1.55586
242	0.654049
243	-0.55114
244	-0.55114
245	-0.55114
246	-0.55114
247	-0.00268973
248	-2.24413
249	-2.24413
250	-2.24413
251	-0.857444
252	-0.479712
253	0.0808896
254	0.0808896
255	0.0808896
