step	x
1	1.21172
2	-0.857666
3	0.438807
4	0.404771
5	-0.680787
6	-0.0871634
7	-0.0871634
8	0.737948
9	0.737948
10	1.4247
11	-0.637289
12	-0.637289
13	1.00487
14	-0.735889
15	0.784383
16	1.00067
17	1.00067
18	-0.56823
19	-0.56823
20	-0.56823
21	-0.56823
22	-0.421006
23	-0.463306
24	-0.463306
25	-1.41318
26	-1.41318
27	-1.41318
28	-0.152684
29	-1.7662
30	0.567194
31	-1.01861
32	-0.578688
33	0.241531
34	0.241531
35	0.241531
36	0.910824
37	2.06916
38	2.1056
39	1.74214
40	1.74214
41	1.74214
42	1.74214
43	1.49446
44	1.49446
45	2.15359
46	2.50011
47	2.50011
48	0.586395
49	0.586395
50	0.586395
51	1.64167
52	1.64167
53	-0.523672
54	-0.523672
55	-0.523672
56	0.273341
57	-0.112926
58	-0.112926
59	-2.00245
60	-2.00245
61	-2.00245
62	0.518058
63	-0.479654
64	0.369222
65	0.369222
66	0.369222
67	-1.4429
68	-1.9966
69	-0.971531
70	-0.971531
71	0.0104708
72	0.0104708
73	-1.70988
74	-0.430784
75	-0.430784
76	-0.430784
77	-0.430784
78	0.706309
79	0.706309
80	-1.59531
81	-1.59531
82	-1.59531
83	-1.60034
84	-1.60034
85	-0.57575
86	-0.57575
87	-0.57575
88	-1.30749
89	-0.801385
90	-2.50804
91	-2.50804
92	-1.84197
93	-1.27324
94	-1.27324
95	-0.458799
96	-0.458799
97	-0.458799
98	1.31527
99	1.31527
100	1.31527
101	1.08641
102	1.08641
103	1.08641
104	-0.210038
105	-0.210038
106	0.595351
107	-0.0468768
108	-1.17853
109	-1.17853
110	1.32306
111	1.32306
112	-0.549214
113	-0.549214
114	-1.78163
115	-1.78163
116	-1.78163
117	-1.78163
118	-1.78163
119	0.0958931
120	0.0958931
121	-0.306386
122	-0.306386
123	0.609373
124	-2.04851
125	0.410137
126	-0.460148
127	0.399645
128	-0.781654
129	-0.781654
130	-0.781654
131	-0.549572
132	0.0341519
133	1.75524
134	-0.860539
135	1.04213
136	-1.35076
137	-0.915471
138	-0.0441441
139	0.763237
140	0.763237
141	1.3753
142	-0.436384
143	-0.0996738
144	1.59608
145	1.59608
146	1.33962
147	0.100421
148	0.100421
149	0.100421
150	0.100421
151	-1.00664
152	-2.47844
153	-1.95372
154	-1.95372
155	-1.95372
156	-1.1858
157	-0.81326
158	0.145067
159	0.145067
160	0.145067
161	0.145067
162	0.145067
163	-0.449018
164	-0.449018
165	-0.449018
166	1.27199
167	1.73713
168	1.73713
169	1.73713
170	1.73713
171	1.03635
172	1.03635
173	1.98263
174	1.98263
175	-0.28607
176	-0.785597
177	-0.785597
178	-0.785597
179	-0.522992
180	1.05576
181	1.05576
182	0.739923
183	0.739923
184	0.739923
185	-1.12683
186	-1.12683
187	-1.12683
188	-1.12683
189	-1.12683
190	-1.12683
191	-1.12683
192	-1.12683
193	-1.12683
194	0.230382
195	0.230382
196	-1.86611
197	-1.86611
198	-0.300459
199	-0.300459
200	-0.300459
201	-0.300459
202	-0.300459
203	0.622503
204	1.72607
205	-0.283932
206	-0.283932
207	-0.295589
208	-0.295589
209	0.212778
210	0.516743
211	0.204135
212	2.38866
213	2.38866
214	2.38866
215	2.38866
216	0.786929
217	0.460681
218	0.961014
219	0.961014
220	0.309267
221	1.97328
222	-0.261974
223	-0.261974
224	-0.261974
225	-1.59666
226	-1.19736
227	-0.49288
228	0.476236
229	-0.414153
230	-0.414153
231	-0.414153
232	-0.0668276
233	-0.0668276
234	-0.0668276
235	-0.0668276
236	-0.0668276
237	-1.23564
238	-1.23564
239	0.866783
240	0.893126
241	0.893126
242	-1.23898
243	-1.23898
244	-1.23898
245	-1.23898
246	-1.34963
247	-0.572313
248	0.775952
249	0.0213292
250	-0.800615
251	1.30811
252	1.30811
253	-0.386779
254	0.891724
255	-1.52873
256	0.787848
257	0.246912
258	0.246912
259	-0.214153
260	-0.214153
261	0.349692
262	-2.20799
263	-2.33408
264	-1.65653
265	-1.222
266	-1.21409
267	1.08119
268	1.08119
269	1.65793
270	1.65793
271	-0.244295
272	1.85442
273	0.753325
274	0.753325
275	1.79482
276	1.79482
277	0.0499688
278	1.2678
279	1.60563
280	1.3915
281	0.38176
282	1.17161
283	1.17161
284	-1.01693
285	-1.01693
286	0.404647
287	1.23301
288	1.23301
289	-0.10072
290	-0.10072
291	-0.633461
292	0.205888
293	-0.846116
294	-0.846116
295	-0.0102873
296	-0.0102873
297	-0.0102873
298	0.944447
299	0.944447
300	-0.0913267
301	-0.0913267
302	-0.0913267
303	-0.446838
304	-2.02608
305	-1.86721
306	-1.86721
307	-1.86721
308	-1.5865
309	0.563638
310	-0.11647
311	-0.11647
312	2.20377
313	2.24163
314	1.72707
315	1.76124
316	0.451517
317	0.260017
318	0.0414185
319	2.52374
320	2.52374
321	0.44195
322	-0.302478
323	-0.302478
324	-0.302478
325	-1.25792
326	-0.0488881
327	-0.0488881
328	-0.0488881
329	-0.0488881
330	0.232709
331	0.795715
332	0.795715
333	0.795715
334	0.556559
335	0.556559
336	1.73389
337	-0.528899
338	1.22139
339	1.22139
340	0.409141
341	1.09314
342	-1.13583
343	-0.651062
344	-0.928534
345	0.770826
346	0.549015
347	-0.797031
348	-0.644244
349	-0.644244
350	-0.644244
351	0.863291
352	-0.549632
353	-0.549632
354	-0.100921
355	-1.85531
356	0.413878
357	0.413878
358	1.09161
359	1.20518
360	2.06007
361	2.06007
362	2.06007
363	-0.52647
364	-0.52647
365	0.428685
366	0.428685
367	-0.322505
368	-1.56101
369	0.188871
370	0.512602
371	-1.37685
372	0.908747
373	0.908747
374	0.73471
375	0.73471
376	0.73471
377	0.73471
378	0.73471
379	0.313094
380	0.239328
381	1.19793
382	1.19793
383	1.19793
384	1.19793
385	1.19532
386	-0.91992
387	-0.91992
388	0.984867
389	1.20101
390	-0.222678
391	1.50001
392	1.50001
393	0.981547
394	-0.0671363
395	-0.0671363
396	-0.305561
397	1.23118
398	-0.95075
399	0.47097
400	-0.474237
401	-0.725593
402	1.5219
403	-0.470932
404	1.6269
405	1.6269
406	1.6269
407	-0.130879
408	1.20168
409	-0.365344
410	-0.365344
411	-0.365344
412	0.561771
413	0.561771
414	1.49778
415	1.49778
416	1.49778
417	1.49778
418	1.49778
419	1.22498
420	-0.471882
421	2.20976
422	1.43895
423	1.43895
424	1.43895
425	1.43895
426	1.67321
427	-0.910833
428	0.0593177
429	2.17132
430	2.17132
431	2.17132
432	0.628805
433	1.23176
434	-0.449722
435	-0.232123
436	-0.232123
437	-0.232123
438	-2.10717
439	-0.556567
440	-0.556567
441	-0.556567
442	0.422637
443	0.822445
444	0.707678
445	0.707678
446	0.707678
447	0.707678
448	0.707678
449	-0.0359672
450	1.43658
451	-0.164404
452	-0.749602
453	-0.282915
454	-1.5438
455	-0.229456
456	-0.229456
457	-0.229456
458	-0.985265
459	1.5317
460	1.22592
461	-0.510183
462	1.76928
463	0.722419
464	0.722419
465	-0.645823
466	-1.65911
467	-0.942613
468	-0.942613
469	-1.56134
470	1.03245
471	1.03245
472	1.03245
473	2.98101
474	2.98101
475	2.58734
476	2.58734
477	1.83182
478	1.83182
479	-0.904884
480	0.407157
481	1.46141
482	1.46141
483	-1.08389
484	0.551316
485	0.551316
486	0.115614
487	1.84112
488	1.55608
489	0.542614
490	1.23372
491	-1.44449
492	-1.40655
493	-0.858147
494	0.847977
495	0.0377129
496	0.0377129
497	1.02303
498	1.02303
499	-0.326335
500	-0.326335
501	-0.326335
502	0.943926
503	0.171687
504	0.171687
505	0.171687
506	1.70268
507	1.70268
508	-0.644319
509	-0.644319
510	-0.644319
511	1.9891
512	1.9891
513	1.38121
514	-0.487897
515	-0.487897
516	-0.487897
517	-1.62142
518	-1.27585
519	-1.27585
520	-0.733016
521	-0.733016
522	-0.733016
523	-0.733016
524	-0.733016
525	-0.387861
526	0.0886303
527	-0.397671
528	1.34381
529	-1.37912
530	-1.37912
531	-1.37912
532	-1.37912
533	-1.60378
534	-1.60378
535	-1.5234
536	0.823383
537	0.171286
538	-0.368621
539	0.311363
540	-0.0836782
541	1.16074
542	-1.06128
543	-1.31473
544	-1.31473
545	0.0527803
546	-1.59314
547	-2.04854
548	-2.47095
549	-1.20347
550	-1.20347
551	0.929779
552	0.929779
553	0.856822
554	1.65648
555	1.65648
556	1.74204
557	0.700056
558	-0.84311
559	-0.84311
560	0.175746
561	0.175746
562	-1.11764
563	-1.11764
564	1.39726
565	-0.915248
566	-0.915248
567	-0.842539
568	0.670077
569	0.260082
570	-1.37228
571	-1.37228
572	0.924511
573	0.924511
574	1.01884
575	-0.636058
576	1.30935
577	0.767054
578	0.287663
579	-2.22998
580	-2.22998
581	-2.22998
582	-0.764211
583	1.14638
584	-0.761514
585	-0.761514
586	1.2588
587	-0.57422
588	-0.57422
589	0.391448
590	0.391448
591	-0.661252
592	0.586417
593	-0.927782
594	-0.927782
595	1.53237
596	1.53237
597	1.5127
598	1.5127
599	1.5127
600	1.5127
601	-0.691497
602	-0.691497
603	0.0245982
604	0.0245982
605	0.0245982
606	-1.11629
607	-0.226171
608	-0.226171
609	0.0503046
610	0.0503046
611	0.0503046
612	0.0503046
613	0.0503046
614	0.0503046
615	0.0503046
616	0.0503046
617	-0.339702
618	0.423067
619	0.423067
620	1.94394
621	1.26612
622	1.26612
623	0.305416
624	0.381803
625	1.51383
626	1.51383
627	-0.0303248
628	-0.0303248
629	-0.0303248
630	2.27557
631	2.27557
632	2.27557
633	0.682203
634	2.06417
635	2.06417
636	0.898261
637	0.898261
638	1.50878
639	-0.688802
640	-1.0229
641	0.0580332
642	1.37821
643	0.986451
644	0.839413
645	-0.0422324
646	-1.48177
647	0.324054
648	-0.132823
649	-0.132823
650	-0.132823
651	1.72699
652	0.0668649
653	1.77449
654	0.924374
655	0.924374
656	-1.1915
657	-0.00287428
658	2.06742
659	1.68052
660	-0.0815639
661	-0.899048
662	1.23992
663	0.590915
664	1.08333
665	-0.177802
666	-1.6631
667	-1.6631
668	-1.6631
669	-1.19233
670	1.095
671	-0.451122
672	-0.272283
673	-0.272283
674	-0.272283
675	0.186741
676	-0.867455
677	-0.735922
678	1.29099
679	-1.43561
680	-1.23562
681	-1.23562
682	0.10828
683	-1.6331
684	-1.6331
685	-1.6331
686	-1.6331
687	0.678397
688	0.489329
689	0.489329
690	0.489329
691	-0.0527459
692	1.62628
693	0.156449
694	0.156449
695	-1.69562
696	-2.14224
697	-0.213976
698	-0.213976
699	-0.213976
700	1.98743
701	-0.725843
702	0.267802
703	-0.823611
704	-0.823611
705	-0.823611
706	-2.12917
707	0.298216
708	1.33855
709	1.33855
710	1.33855
711	-0.369677
712	-0.369677
713	-0.725879
714	0.913204
715	-0.823453
716	0.0669021
717	0.0669021
718	-0.991222
719	-1.12352
720	-1.12352
721	1.04091
722	-0.81231
723	-0.81231
724	-0.81231
725	-0.101023
726	-0.101023
727	-0.101023
728	0.295072
729	-0.0806542
730	-0.47678
731	0.669988
732	1.62132
733	1.60774
734	1.60774
735	1.60774
736	1.60774
737	1.60774
738	1.60774
739	0.961954
740	-0.732109
741	1.81717
742	0.72575
743	0.173645
744	0.922842
745	0.922842
746	-1.74127
747	-0.752209
748	-0.752209
749	-0.752209
750	-0.467975
751	-0.467975
752	-0.467975
753	-1.6763
754	-1.6763
755	-1.6763
756	-1.6763
757	0.453685
758	0.453685
759	1.78451
760	1.78451
761	1.78451
762	0.407171
763	0.407171
764	1.63018
765	0.041279
766	1.61671
767	1.61671
768	1.61671
769	1.61671
770	1.61671
771	-0.908605
772	-0.908605
773	-0.908605
774	0.87368
775	0.87368
776	-0.883588
777	-0.883588
778	-0.883588
779	-0.883588
780	1.01358
781	1.01358
782	1.05188
783	-0.69114
784	-0.69114
785	-0.69114
786	-0.69114
787	-1.86383
788	-1.86383
789	-1.86383
790	-0.940775
791	-0.940775
792	-0.940775
793	0.177703
794	0.177703
795	-2.41367
796	-2.03563
797	-1.48622
798	-1.48622
799	-0.304106
800	0.419464
801	1.20258
802	1.20258
803	1.20258
804	1.20258
805	2.06745
806	0.394516
807	0.394516
808	0.394516
809	0.394516
810	-1.07584
811	-2.16979
812	-2.22336
813	0.140566
814	0.140566
815	0.34206
816	0.34206
817	0.34206
818	0.34206
819	-0.927281
820	1.31282
821	0.110177
822	0.110177
823	1.13441
824	1.13441
825	1.13441
826	-1.21696
827	-1.18599
828	0.393658
829	0.156585
830	-1.04247
831	0.735376
832	-1.80478
833	-0.0149983
834	-0.0149983
835	-1.42177
836	-1.87544
837	-2.4957
838	-2.49258
839	-0.885259
840	-0.885259
841	-0.885259
842	-0.885259
843	-0.960747
844	0.16457
845	1.19794
846	1.19794
847	-0.540272
848	-1.82814
849	0.275881
850	0.275881
851	-0.758555
852	0.701198
853	0.79549
854	0.0477941
855	-0.296006
856	-0.296006
857	-0.296006
858	0.409741
859	-0.785244
860	-1.11864
861	-1.35685
862	0.169618
863	0.169618
864	-0.894009
865	-0.894009
866	-0.894009
867	0.341055
868	0.0511285
869	0.48694
870	2.03887
871	0.758884
872	0.758884
873	1.94097
874	1.94097
875	0.179312
876	-0.241884
877	-0.241884
878	1.05399
879	1.05399
880	1.05399
881	-1.5588
882	-1.5588
883	0.187053
884	0.450032
885	0.450032
886	0.450032
887	-1.09951
888	-0.475677
889	-0.0955976
890	-0.706592
891	-0.706592
892	-0.706592
893	-0.706592
894	-0.0092489
895	-0.0092489
896	0.483546
897	0.556779
898	0.556779
899	0.209776
900	0.209776
901	-1.37417
902	-1.37417
903	-1.72192
904	-1.72192
905	-1.72192
906	0.357873
907	-0.822695
908	-0.665432
909	-0.665432
910	-0.665432
911	-0.412252
912	0.765634
913	0.100991
914	-1.60979
915	-1.60979
916	-0.411962
917	1.87973
918	1.87973
919	0.686091
920	-0.553709
921	1.45442
922	-0.626942
923	-0.991234
924	0.73272
925	0.73272
926	-0.78246
927	1.49275
928	1.41821
929	2.02302
930	0.199839
931	0.840236
932	0.840236
933	0.840236
934	0.840236
935	0.405996
936	-0.989198
937	-0.819842
938	-0.819842
939	-0.819842
940	-0.819842
941	1.68664
942	1.20193
943	1.39879
944	0.799452
945	1.62963
946	-0.506118
947	2.13462
948	2.13462
