step	x
1	-1.47728
2	-1.47728
3	-1.47728
4	-1.51131
5	-2.59687
6	-2.00325
7	-2.00325
8	-2.00325
9	-2.00325
10	-2.00325
11	-2.00325
12	-2.00325
13	-2.00325
14	-2.00325
15	-2.00325
16	-1.78696
17	-1.78696
18	-1.78696
19	-1.78696
20	-1.78696
21	-1.78696
22	-1.63974
23	-1.68204
24	-1.68204
25	-2.63191
26	-2.63191
27	-2.63191
28	-1.37142
29	-1.37142
30	-1.37142
31	-2.95723
32	-2.5173
33	-1.69708
34	-1.69708
35	-1.69708
36	-1.69708
37	-1.69708
38	-1.66064
39	-2.0241
40	-2.0241
41	-2.0241
42	-2.0241
43	-2.27178
44	-2.27178
45	-1.61265
46	-1.26613
47	-1.26613
48	-1.26613
49	-1.26613
50	1.109
51	2.16428
52	2.16428
53	2.16428
54	2.16428
55	2.16428
56	2.16428
57	2.16428
58	2.16428
59	2.16428
60	2.16428
61	2.16428
62	2.16428
63	2.16428
64	2.16428
65	2.16428
66	2.16428
67	2.16428
68	1.61057
69	2.63564
70	2.38575
71	2.38575
72	2.38575
73	2.38575
74	2.38575
75	2.38575
76	2.38575
77	2.38575
78	2.38575
79	2.38575
80	2.38575
81	1.60846
82	1.60846
83	1.60343
84	1.60343
85	1.60343
86	1.60343
87	1.60343
88	0.871695
89	1.3778
90	1.3778
91	1.3778
92	2.04387
93	2.04387
94	2.04387
95	2.04387
96	2.04387
97	2.04387
98	2.04387
99	2.04387
100	2.04387
101	1.81502
102	1.81502
103	1.81502
104	1.81502
105	1.81502
106	1.81502
107	1.81502
108	1.81502
109	1.81502
110	1.81502
111	1.81502
112	1.81502
113	1.81502
114	1.81502
115	1.81502
116	1.81502
117	1.81502
118	1.81502
119	1.81502
120	1.81502
121	1.81502
122	1.81502
123	1.81502
124	-0.842867
125	1.61578
126	1.61578
127	2.47558
128	2.47558
129	2.47558
130	2.47558
131	2.47558
132	2.47558
133	2.47558
134	2.47558
135	2.47558
136	2.47558
137	2.47558
138	2.47558
139	2.47558
140	2.47558
141	2.47558
142	2.47558
143	2.47558
144	2.47558
145	2.47558
146	2.21912
147	2.21912
148	2.21912
149	2.21912
150	2.21912
151	2.21912
152	2.21912
153	2.21912
154	2.21912
155	2.21912
156	2.21912
157	2.59166
158	2.59166
159	2.59166
160	2.59166
161	2.59166
162	2.59166
163	1.99758
164	1.99758
165	1.99758
166	1.99758
167	1.99758
168	1.99758
169	1.99758
170	1.99758
171	1.99758
172	1.99758
173	1.99758
174	1.99758
175	1.99758
176	1.99758
177	1.99758
178	1.99758
179	1.99758
180	1.99758
181	1.99758
182	1.68174
183	1.68174
184	1.68174
185	1.68174
186	1.68174
187	1.68174
188	1.68174
189	1.68174
190	1.68174
191	1.68174
192	1.68174
193	1.68174
194	1.68174
195	1.68174
196	1.68174
197	1.68174
198	1.68174
199	1.68174
200	1.68174
201	1.68174
202	1.68174
203	1.68174
204	2.78531
205	2.78531
206	1.28332
207	1.27166
208	1.27166
209	1.78003
210	2.08399
211	1.77138
212	1.77138
213	2.21983
214	2.21983
215	2.21983
216	2.21983
217	1.89359
218	1.89359
219	1.89359
220	1.89359
221	1.89359
222	1.89359
223	1.89359
224	1.89359
225	1.89359
226	2.29289
227	2.29289
228	2.29289
229	2.29289
230	2.29289
231	2.29289
232	2.64022
233	2.64022
234	2.64022
235	2.64022
236	2.64022
237	1.4714
238	1.4714
239	1.4714
240	1.49775
241	1.49775
242	1.49775
243	1.49775
244	1.49775
245	1.49775
246	1.38709
247	2.16441
248	2.16441
249	2.16441
250	1.34246
251	1.34246
252	1.34246
253	1.34246
254	2.62097
255	2.62097
256	2.62097
257	2.08003
258	2.08003
259	1.61897
260	1.61897
261	2.18281
262	2.18281
263	2.05673
264	2.05673
265	2.05673
266	2.06464
267	2.06464
268	2.06464
269	2.06464
270	2.06464
271	2.06464
272	2.06464
273	2.06464
274	2.06464
275	2.06464
276	2.42788
277	2.42788
278	2.42788
279	2.7657
280	2.55158
281	1.54184
