beta	meanH	err	mu	sigma
0.2	2.14193	0.213678	0.815835	0.925858
0.24	1.42688	0.170625	0.935295	0.868542
0.288	1.27577	0.146533	0.22952	1.0035
0.3456	0.681707	0.0764567	0.667161	0.639947
0.41472	0.661768	0.103734	0.314871	1.09494
0.497664	0.548035	0.104842	0.23925	1.5016
0.597197	0.692044	0.184908	1.29955	0.313681
0.716636	0.42971	0.0849427	0.41268	0.826609
0.859963	0.235344	0.0767587	0.903627	0.393584
1.03196	0.147865	0.0663756	0.366846	0.633345
1.23835	0.118319	0.0594137	0.127989	1.09054
1.48602	0.0348985	0.0500937	0.280812	1.13116
1.78322	-0.108319	0.0430344	0.645524	0.607421
2.13986	-0.118239	0.0250023	0.87779	1.05117
2.56784	-0.146388	0.0165479	0.394075	0.878579
3.0814	-0.166748	0.0270958	0.0878868	0.765724
3.69769	-0.144511	0.0412996	0.525914	0.639475
4.43722	-0.180673	0.0290291	0.855669	0.6806
5.32467	-0.251494	0.01856	1.00458	0.710381
6.3896	-0.211461	0.0307597	0.386144	0.984788
7.66752	-0.308562	0.0297615	0.657329	0.758977
9.20102	-0.271464	0.0200674	0.734162	0.622348
11.0412	-0.403232	0.0130571	0.875865	0.615402
13.2495	-0.316266	0.0226872	0.599266	0.799935
15.8994	-0.357047	0.0209758	1.01607	0.632557
19.0792	-0.326324	0.0189329	0.864837	0.758366
22.8951	-0.389134	0.00834765	0.708527	0.54768
27.4741	-0.395681	0.0129873	0.858453	0.65943
32.9689	-0.418193	0.00479704	0.827779	0.633592
39.5627	-0.422214	0.00135703	0.859541	0.601093
47.4753	-0.437525	0.000410014	0.762845	0.641393
56.9703	-0.439647	0.00037511	0.796427	0.596871
68.3644	-0.443187	0.00016091	0.853857	0.624685
82.0373	-0.444237	-nan	0.853857	0.624685
98.4447	-0.444237	-nan	0.853857	0.624685
118.134	-0.444237	-nan	0.853857	0.624685
141.76	-0.444237	-nan	0.853857	0.624685
170.112	-0.444046	0.000130515	0.75384	0.582957
204.135	-0.442935	2.8856e-09	0.75384	0.582957
244.962	-0.442935	2.8856e-09	0.75384	0.582957
293.954	-0.442935	2.8856e-09	0.75384	0.582957
352.745	-0.442935	2.8856e-09	0.75384	0.582957
423.294	-0.442935	2.8856e-09	0.75384	0.582957
507.953	-0.442935	2.8856e-09	0.75384	0.582957
609.544	-0.444427	0.000483098	0.818145	0.640518
731.452	-0.445496	0.000130297	0.783109	0.654324
877.743	-0.448556	-nan	0.783109	0.654324
1053.29	-0.448556	-nan	0.783109	0.654324
1263.95	-0.448556	-nan	0.783109	0.654324
1516.74	-0.448556	-nan	0.783109	0.654324
