beta	meanH	err
0.2	2.14193	0.213678
0.24	1.42688	0.170625
0.288	1.27577	0.146533
0.3456	0.681707	0.0764567
0.41472	0.661768	0.103734
0.497664	0.548035	0.104842
0.597197	0.692044	0.184908
0.716636	0.42971	0.0849427
0.859963	0.235344	0.0767587
1.03196	0.147865	0.0663756
1.23835	0.118319	0.0594137
1.48602	0.0348985	0.0500937
1.78322	-0.108319	0.0430344
2.13986	-0.118239	0.0250023
2.56784	-0.146388	0.0165479
3.0814	-0.166748	0.0270958
3.69769	-0.144511	0.0412996
4.43722	-0.180673	0.0290291
5.32467	-0.251494	0.01856
6.3896	-0.211461	0.0307597
7.66752	-0.308562	0.0297615
9.20102	-0.271464	0.0200674
11.0412	-0.403232	0.0130571
13.2495	-0.316266	0.0226872
15.8994	-0.357047	0.0209758
19.0792	-0.326324	0.0189329
22.8951	-0.389134	0.00834765
27.4741	-0.395681	0.0129873
32.9689	-0.418193	0.00479704
39.5627	-0.422214	0.00135703
